Simulation Time,Red_delay,Pie_delay,CoDel_delay,FqCoDel_delay,Cobalt_delay,dAQM1_delay,dAQM2_delay,dAQM3_delay,dAQM4_delay,dAQM5_delay,dAQM6_delay,dAQM7_delay,dAQM8_delay,dAQM9_delay,dAQM10_delay,dAQM11_delay
0.1,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,6.00279,10.5028,7.00279,10.0028,5.50279,4.50279,7.50279,8.00279,8.00279,8.00279
0.2,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,6.00279,10.5028,7.00279,10.0028,5.50279,4.50279,7.50279,8.00279,8.00279,8.00279
0.3,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,6.00279,10.5028,7.00279,10.0028,5.50279,4.50279,7.50279,8.00279,8.00279,8.00279
0.4,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,6.00279,10.5028,7.00279,10.0028,5.50279,4.50279,7.50279,8.00279,8.00279,8.00279
0.5,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,6.00279,10.5028,7.00279,10.0028,5.50279,4.50279,7.50279,8.00279,8.00279,8.00279
0.6,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,6.00279,10.5028,7.00279,10.0028,5.50279,4.50279,7.50279,8.00279,8.00279,8.00279
0.7,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,6.00279,10.5028,7.00279,10.0028,5.50279,4.50279,7.50279,8.00279,8.00279,8.00279
0.8,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,6.00279,10.5028,7.00279,10.0028,5.50279,4.50279,7.50279,8.00279,8.00279,8.00279
0.9,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,6.00279,10.5028,7.00279,10.0028,5.50279,4.50279,7.50279,8.00279,8.00279,8.00279
1.0,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,6.00279,10.5028,7.00279,10.0028,5.50279,4.50279,7.50279,8.00279,8.00279,8.00279
1.1,4.75933,3.96076,5.96241,2.25548,6.19394,3.89029,3.68417,5.92618,4.15939,5.87991,3.58044,3.12826,4.42848,4.93535,4.93535,4.93535
1.2,4.52145,3.86212,5.86423,2.13577,5.98673,3.70707,3.59788,5.84482,4.08613,5.70212,3.42501,2.95154,4.34544,4.73213,4.73213,4.73213
1.3,4.43264,3.82626,5.82736,2.09211,5.90941,3.63987,3.56677,5.81442,4.05856,5.63642,3.3685,2.88596,4.31499,4.65635,4.65635,4.65635
1.4,4.38888,3.80793,5.80934,2.06989,5.87128,3.60593,3.55068,5.79946,4.04512,5.60358,3.33961,2.85337,4.29961,4.61894,4.61894,4.61894
1.5,4.36277,3.79732,5.79852,2.05698,5.84855,3.5861,3.54146,5.79053,4.03703,5.58422,3.32289,2.83406,4.29062,4.59666,4.59666,4.59666
1.6,4.34394,3.78969,5.79071,2.04769,5.83216,3.57181,3.53483,5.78408,4.03119,5.57027,3.31086,2.82015,4.28414,4.58059,4.58059,4.58059
1.7,4.33145,3.78463,5.78553,2.04153,5.82129,3.56234,3.53043,5.77981,4.02732,5.56102,3.30289,2.81091,4.27985,4.56993,4.56993,4.56993
1.8,4.32153,3.78069,5.7814,2.03672,5.81265,3.55491,3.52703,5.77641,4.02422,5.55372,3.29667,2.80362,4.27649,4.56147,4.56147,4.56147
1.9,4.31403,3.77758,5.7783,2.03295,5.80612,3.54914,3.52431,5.77385,4.02191,5.54812,3.29178,2.79804,4.27387,4.55506,4.55506,4.55506
2.0,4.30813,3.7752,5.77585,2.03005,5.80099,3.54467,3.52224,5.77183,4.02008,5.54375,3.28802,2.79369,4.27185,4.55003,4.55003,4.55003
2.1,3.41698,3.24504,4.39928,2.08055,4.72864,2.81867,2.88799,4.36243,3.30875,4.21596,3.05081,2.59487,3.37947,3.81016,3.81016,3.81016
2.2,3.34778,3.09415,4.33118,1.92801,4.51114,2.79417,2.82332,4.31215,3.20486,4.16073,2.83576,2.44337,3.32034,3.63316,3.63316,3.63316
2.3,3.33079,3.04623,4.31516,1.87989,4.44006,2.79438,2.80998,4.30241,3.17549,4.15081,2.76399,2.39555,3.30795,3.57645,3.57645,3.57645
2.4,3.32904,3.02986,4.3159,1.86596,4.4108,2.80141,2.81082,4.30607,3.16899,4.15311,2.73588,2.37895,3.31149,3.55553,3.55553,3.55553
2.5,3.33121,3.02432,4.31891,1.85898,4.39703,2.81042,2.81522,4.31086,3.16815,4.15712,2.72471,2.3738,3.31612,3.54605,3.54605,3.54605
2.6,3.33504,3.02197,4.32347,1.85617,4.38993,2.81769,2.82007,4.31738,3.17094,4.16188,2.71716,2.37084,3.32123,3.54153,3.54153,3.54153
2.7,3.34049,3.02468,4.32914,1.85758,4.38823,2.82506,2.82674,4.32435,3.17627,4.16929,2.71636,2.37132,3.327,3.54073,3.54073,3.54073
2.8,3.34562,3.02606,4.33475,1.85935,4.38692,2.83204,2.83265,4.3316,3.17968,4.17504,2.7156,2.3716,3.33236,3.54025,3.54025,3.54025
2.9,3.35167,3.02983,4.34184,1.86382,4.38684,2.83929,2.83808,4.33815,3.18476,4.18067,2.71662,2.37421,3.33851,3.54195,3.54195,3.54195
3.0,3.35653,3.03287,4.3468,1.86707,4.3871,2.84591,2.84303,4.34296,3.1892,4.18466,2.71713,2.37614,3.3445,3.54362,3.54362,3.54362
3.1,8.17459,10.7448,5.77888,10.3374,7.34125,9.01179,8.69069,9.18053,9.27613,8.91685,8.19298,7.76711,7.98446,9.04876,9.04876,9.04876
3.2,17.841,15.9775,14.4423,16.4771,15.2224,17.0268,15.9902,17.5532,17.6327,16.797,15.5082,16.448,16.2443,17.5557,17.5557,17.5557
3.3,24.6923,23.4982,19.6279,23.356,24.3387,22.5262,23.1359,25.6246,22.0464,24.2815,22.6248,22.1735,22.2977,26.6611,26.6611,26.6611
3.4,32.9139,31.3878,26.9057,30.6842,30.0894,29.9994,31.9208,33.0022,29.0245,31.7556,30.0134,26.5914,30.9136,34.5981,34.5981,34.5981
3.5,40.6945,38.4252,33.0884,34.8228,36.4981,36.4668,39.9013,39.6333,36.5089,37.2005,35.4566,33.785,39.0534,41.4382,41.4382,41.4382
3.6,47.841,45.0171,40.7717,44.2273,45.013,43.7206,45.7314,47.4349,42.9874,45.4012,43.6748,41.8368,46.6801,49.3496,49.3496,49.3496
3.7,53.1645,52.9061,50.8828,52.5079,50.695,50.8825,52.7496,54.3489,48.138,52.9324,51.7251,49.0627,55.6463,56.2595,56.2595,56.2595
3.8,59.64,60.344,55.9843,59.6935,59.0486,62.2519,62.111,63.7195,56.9392,62.3353,60.4062,58.3557,63.013,63.0374,63.0374,63.0374
3.9,70.6545,65.6884,63.6524,68.1167,68.0885,69.6578,68.0274,73.3616,65.6792,69.8915,68.3685,67.8046,70.2131,69.4499,69.4499,69.4499
4.0,77.8774,75.4762,67.9835,77.0877,76.4197,77.5637,74.9525,81.2295,75.1884,78.1995,76.2585,75.7875,77.9988,77.6911,77.6911,77.6911
4.1,71.3282,69.7542,64.6538,65.0189,69.0005,69.3058,67.2692,72.2042,67.0373,70.1424,68.8039,68.1338,71.1819,68.825,68.825,68.825
4.2,80.01,80.141,71.7895,72.8199,75.6295,80.0024,73.7322,80.7779,75.4234,76.64,75.5813,76.3198,80.0104,73.591,73.591,73.243
4.3,87.6559,89.6299,79.6165,80.6459,84.6864,86.0942,81.458,89.333,80.3254,84.7671,82.5387,83.8924,90.1301,78.9906,78.9906,81.2031
4.4,95.1243,98.2038,89.2807,87.2247,91.4389,93.3004,87.2249,95.6753,88.8824,93.07,88.2254,93.247,99.1073,85.4492,85.4492,86.1762
4.5,102.923,107.516,95.8919,93.9524,100.802,99.4246,95.194,102.205,99.0803,102.176,97.9602,101.655,107.786,92.487,93.302,91.8857
4.6,109.201,116.29,101.63,101.422,109.455,109.281,102.261,111.306,108.895,111.428,105.272,110.958,117.04,98.1999,99.868,100.439
4.7,119.913,123.57,110.855,108.684,114.513,117.734,110.416,119.477,118.764,119.248,114.47,117.479,125.984,104.943,107.764,106.466
4.8,130.451,132.645,118.506,116.596,119.26,125.61,120.298,127.519,127.796,127.168,123.699,124.817,136.38,112.427,116.132,114.333
4.9,138.183,140.922,128.283,124.588,123.829,135.234,129.446,134.808,135.796,136.485,134.136,133.695,144.62,118.621,123.272,126.018
5.0,145.556,148.515,138.338,131.906,127.179,144.468,139.756,143.41,144.235,144.219,142.206,143.544,152.678,124.719,129.512,132.57
5.1,129.042,136.387,122.794,128.878,110.416,148.037,129.279,127.701,145.528,129.326,125.876,128.849,139.784,112.803,119.366,123.182
5.2,138.501,148.011,130.549,127.816,115.807,157.253,141.174,136.232,143.757,136.204,134.896,138.866,153.751,118.019,126.079,131.83
5.3,150.057,162.01,140.179,137.155,120.768,157.854,152.067,144.489,155.411,143.237,142.897,148.978,163.452,125.395,134.735,142.958
5.4,158.897,171.027,149.742,145.712,123.98,168.169,167.421,154.656,166.965,151.741,151.028,158.84,175.368,131.98,142.378,152.407
5.5,168.604,181.583,160.069,157.107,128.803,180.378,177.918,163.115,179.002,160.401,159.985,169.625,190.764,139.515,149.394,163.179
5.6,178.771,196.104,168.745,164.202,133.899,192.248,184.509,171.816,187.499,168.599,168.165,179.865,201.387,145.149,155.865,174.223
5.7,189.626,208.24,178.148,172.929,138.956,206.774,192.089,180.574,195.969,177.78,178.287,192.865,211.981,151.318,161.765,183.287
5.8,198.904,219.577,187.62,183.662,145.26,217.441,199.673,186.512,202.651,187.61,189.017,206.332,222.646,158.634,167.24,192.328
5.9,207.375,232.296,199.287,193.773,151.865,227.785,207.197,193.588,210.936,198.226,199.153,220.223,233.115,168.252,173.105,201.601
6.0,216.778,244.659,207.496,204.611,158.877,239.582,215.503,200.755,219.122,206.896,208.294,230.654,245.463,176.214,178.56,210.678
