Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM1_fct,dAQM2_fct,dAQM3_fct,dAQM4_fct,dAQM5_fct,dAQM6_fct,dAQM7_fct,dAQM8_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
0.1,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00600279,0.0105028,0.00700279,0.0100028,0.00550279,0.00450279,0.00750279,0.00800279,0.00800279,0.00800279
0.2,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00600279,0.0105028,0.00700279,0.0100028,0.00550279,0.00450279,0.00750279,0.00800279,0.00800279,0.00800279
0.3,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00600279,0.0105028,0.00700279,0.0100028,0.00550279,0.00450279,0.00750279,0.00800279,0.00800279,0.00800279
0.4,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00600279,0.0105028,0.00700279,0.0100028,0.00550279,0.00450279,0.00750279,0.00800279,0.00800279,0.00800279
0.5,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00600279,0.0105028,0.00700279,0.0100028,0.00550279,0.00450279,0.00750279,0.00800279,0.00800279,0.00800279
0.6,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00600279,0.0105028,0.00700279,0.0100028,0.00550279,0.00450279,0.00750279,0.00800279,0.00800279,0.00800279
0.7,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00600279,0.0105028,0.00700279,0.0100028,0.00550279,0.00450279,0.00750279,0.00800279,0.00800279,0.00800279
0.8,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00600279,0.0105028,0.00700279,0.0100028,0.00550279,0.00450279,0.00750279,0.00800279,0.00800279,0.00800279
0.9,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00600279,0.0105028,0.00700279,0.0100028,0.00550279,0.00450279,0.00750279,0.00800279,0.00800279,0.00800279
1.0,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00600279,0.0105028,0.00700279,0.0100028,0.00550279,0.00450279,0.00750279,0.00800279,0.00800279,0.00800279
1.1,0.050037,0.051537,0.052537,0.049787,0.051787,0.050787,0.051537,0.052787,0.051037,0.052287,0.051037,0.049287,0.051787,0.050787,0.050787,0.050787
1.2,0.0985704,0.10007,0.10107,0.0983204,0.10032,0.0993204,0.10007,0.10132,0.0995704,0.10082,0.0995704,0.0978204,0.10032,0.0993204,0.0993204,0.0993204
1.3,0.14897,0.15047,0.15147,0.14872,0.15072,0.14972,0.15047,0.15172,0.14997,0.15122,0.14997,0.14822,0.15072,0.14972,0.14972,0.14972
1.4,0.19937,0.20087,0.20187,0.19912,0.20112,0.20012,0.20087,0.20212,0.20037,0.20162,0.20037,0.19862,0.20112,0.20012,0.20012,0.20012
1.5,0.247904,0.249404,0.250404,0.247654,0.249654,0.248654,0.249404,0.250654,0.248904,0.250154,0.248904,0.247154,0.249654,0.248654,0.248654,0.248654
1.6,0.30017,0.30167,0.30267,0.29992,0.30192,0.30092,0.30167,0.30292,0.30117,0.30242,0.30117,0.29942,0.30192,0.30092,0.30092,0.30092
1.7,0.348704,0.350204,0.351204,0.348454,0.350454,0.349454,0.350204,0.351454,0.349704,0.350954,0.349704,0.347954,0.350454,0.349454,0.349454,0.349454
1.8,0.399104,0.400604,0.401604,0.398854,0.400854,0.399854,0.400604,0.401854,0.400104,0.401354,0.400104,0.398354,0.400854,0.399854,0.399854,0.399854
1.9,0.449504,0.451004,0.452004,0.449254,0.451254,0.450254,0.451004,0.452254,0.450504,0.451754,0.450504,0.448754,0.451254,0.450254,0.450254,0.450254
2.0,0.498037,0.499537,0.500537,0.497787,0.499787,0.498787,0.499537,0.500787,0.499037,0.500287,0.499037,0.497287,0.499787,0.498787,0.498787,0.498787
2.1,0.396756,0.397799,0.398708,0.39542,0.396661,0.397238,0.397692,0.398479,0.396729,0.398097,0.396693,0.395602,0.397897,0.396026,0.396026,0.396026
2.2,0.46399,0.465187,0.465868,0.462552,0.463864,0.464549,0.464965,0.465436,0.463955,0.465334,0.463859,0.462728,0.465207,0.463263,0.463263,0.463263
