Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM1_th,dAQM2_th,dAQM3_th,dAQM4_th,dAQM5_th,dAQM6_th,dAQM7_th,dAQM8_th,dAQM9_th,dAQM10_th,dAQM11_th
0.1,51.5355,73.733,36.9355,127.881,38.2114,92.3692,63.9702,38.2114,62.3661,41.3204,81.2743,84.7472,87.9271,49.7595,49.7595,49.7595
0.2,51.5355,73.733,36.9355,127.881,38.2114,92.3692,63.9702,38.2114,62.3661,41.3204,81.2743,84.7472,87.9271,49.7595,49.7595,49.7595
0.3,51.5355,73.733,36.9355,127.881,38.2114,92.3692,63.9702,38.2114,62.3661,41.3204,81.2743,84.7472,87.9271,49.7595,49.7595,49.7595
0.4,51.5355,73.733,36.9355,127.881,38.2114,92.3692,63.9702,38.2114,62.3661,41.3204,81.2743,84.7472,87.9271,49.7595,49.7595,49.7595
0.5,51.5355,73.733,36.9355,127.881,38.2114,92.3692,63.9702,38.2114,62.3661,41.3204,81.2743,84.7472,87.9271,49.7595,49.7595,49.7595
0.6,51.5355,73.733,36.9355,127.881,38.2114,92.3692,63.9702,38.2114,62.3661,41.3204,81.2743,84.7472,87.9271,49.7595,49.7595,49.7595
0.7,51.5355,73.733,36.9355,127.881,38.2114,92.3692,63.9702,38.2114,62.3661,41.3204,81.2743,84.7472,87.9271,49.7595,49.7595,49.7595
0.8,51.5355,73.733,36.9355,127.881,38.2114,92.3692,63.9702,38.2114,62.3661,41.3204,81.2743,84.7472,87.9271,49.7595,49.7595,49.7595
0.9,51.5355,73.733,36.9355,127.881,38.2114,92.3692,63.9702,38.2114,62.3661,41.3204,81.2743,84.7472,87.9271,49.7595,49.7595,49.7595
1.0,51.5355,73.733,36.9355,127.881,38.2114,92.3692,63.9702,38.2114,62.3661,41.3204,81.2743,84.7472,87.9271,49.7595,49.7595,49.7595
1.1,429.724,439.408,421.685,466.482,422.871,449.057,434.366,422.149,434.226,423.878,443.178,445.77,446.668,428.458,428.458,428.458
1.2,429.091,439.553,421.466,466.627,422.347,449.026,434.596,422.025,434.102,423.659,443.324,445.452,446.727,428.039,428.039,428.039
1.3,428.934,439.622,421.426,466.696,422.219,449.041,434.691,422.013,434.09,423.618,443.393,445.383,446.769,427.941,427.941,427.941
1.4,428.835,439.637,421.385,466.711,422.135,449.028,434.72,421.986,434.063,423.577,443.408,445.328,446.77,427.871,427.871,427.871
1.5,428.79,439.654,421.372,466.728,422.098,449.03,434.743,421.98,434.058,423.564,443.424,445.307,446.78,427.843,427.843,427.843
