Simulation Time,Red_delay,Pie_delay,CoDel_delay,FqCoDel_delay,Cobalt_delay,dAQM9_delay,dAQM10_delay,dAQM11_delay
0.1,38.058,56.8701,65.1926,49.8428,48.1587,51.2843,38.8934,38.8934
0.2,120.436,142.477,133.613,138.332,135.604,138.296,133.535,133.535
0.3,181.129,192.697,188.578,194.8,188.575,192.437,188.64,188.64
0.4,208.222,213.361,221.737,216.218,215.511,214.546,212.709,212.709
0.5,218.364,220.766,233.064,224.563,227.765,223.216,225.599,225.599
0.6,258.934,274.337,270.01,270.084,273.436,271.584,266.193,266.193
0.7,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
0.8,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
0.9,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.0,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.1,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.2,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.3,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.4,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.5,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.6,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.7,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.8,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.9,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.0,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.1,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.2,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.3,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.4,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.5,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.6,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.7,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.8,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.9,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
3.0,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
3.1,218.738,235.211,228.549,229.395,231.551,233.116,223.022,223.022
3.2,179.854,207.33,201.796,198.97,194.637,200.988,192.419,192.419
3.3,163.144,188.861,190.323,180.999,179.702,186.944,179.974,179.974
3.4,161.951,180.131,182.219,177.789,181.296,195.032,177.96,177.96
3.5,164.828,180.292,184.269,184.323,195.75,205.008,180.041,180.041
3.6,173.856,185.163,191.908,194.711,206.403,218.287,187.339,187.339
3.7,182.192,198.063,203.783,206.804,219.028,232.994,196.534,196.534
3.8,192.715,214.104,217.755,220.716,232.941,248.411,206.265,206.265
3.9,208.249,230.836,232.71,236.888,247.995,266.772,219.651,219.651
