Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
0.1,0.038058,0.0568701,0.0651926,0.0498428,0.0481587,0.0512843,0.0388934,0.0388934
0.2,0.120436,0.142477,0.133613,0.138332,0.135604,0.138296,0.133535,0.133535
0.3,0.181129,0.192697,0.188578,0.1948,0.188575,0.192437,0.18864,0.18864
0.4,0.208222,0.213361,0.221737,0.216218,0.215511,0.214546,0.212709,0.212709
0.5,0.218364,0.220766,0.233064,0.224563,0.227765,0.223216,0.225599,0.225599
0.6,0.258934,0.274337,0.27001,0.270084,0.273436,0.271584,0.266193,0.266193
0.7,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
0.8,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
0.9,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.0,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.1,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.2,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.3,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.4,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.5,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.6,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.7,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.8,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.9,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.0,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.1,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.2,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.3,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.4,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.5,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.6,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.7,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.8,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.9,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
3.0,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
3.1,1.06494,1.09838,1.1178,1.14663,1.04658,1.09556,1.15025,1.15025
3.2,1.82796,1.74164,1.77648,1.82868,1.76895,1.80517,1.8182,1.8182
3.3,2.22439,2.27266,2.22689,2.33167,2.26519,2.21791,2.31683,2.31683
3.4,2.48592,2.57864,2.53696,2.6455,2.60516,2.57805,2.65299,2.65299
3.5,2.70452,2.76177,2.73791,2.80169,2.78589,2.71202,2.76812,2.76812
3.6,2.78235,2.83129,2.79115,2.86791,2.85915,2.76885,2.83176,2.83176
3.7,2.8724,2.91497,2.84507,2.9269,2.93052,2.84497,2.9002,2.9002
3.8,2.93126,2.99882,2.92076,3.00307,3.02654,2.95351,2.95819,2.95819
3.9,3.03086,3.09937,2.98854,3.10225,3.15612,3.10613,3.01841,3.01841
4.0,3.16131,3.17143,3.09615,3.2089,3.20678,3.19972,3.10677,3.10677
4.1,3.27107,3.26246,3.16671,3.26568,3.29406,3.33391,3.18089,3.18089
4.2,3.37805,3.34064,3.22022,3.34734,3.37426,3.44763,3.24292,3.24292
4.3,3.43837,3.4249,3.29248,3.48248,3.44207,3.51231,3.34034,3.34034
4.4,3.50304,3.53015,3.44085,3.57206,3.53472,3.60524,3.41073,3.41073
4.5,3.59638,3.59224,3.53491,3.62775,3.58473,3.69537,3.48648,3.48648
4.6,3.68299,3.72529,3.64092,3.6956,3.66849,3.7923,3.54539,3.54539
