Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM9_th,dAQM10_th,dAQM11_th
0.1,32.2503,12.4255,9.39484,12.5663,16.1846,15.562,23.5854,23.5854
0.2,12.6453,4.39045,4.4103,4.55343,5.88476,5.27351,7.13465,7.13465
0.3,7.49088,3.14784,3.14119,3.13598,3.97842,3.55798,4.57671,4.57671
0.4,6.37747,2.88362,2.70359,2.85529,3.48489,3.18261,3.98047,3.98047
0.5,5.62991,2.78925,2.52993,2.74621,3.27335,3.02554,3.63686,3.63686
0.6,4.24499,2.06353,2.02663,2.06086,2.40671,2.25599,2.7523,2.7523
0.7,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
0.8,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
0.9,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.0,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.1,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.2,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.3,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.4,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.5,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.6,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.7,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.8,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.9,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.0,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.1,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.2,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.3,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.4,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.5,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.6,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.7,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.8,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.9,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
3.0,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
3.1,3.63224,1.62591,1.59131,1.53612,2.06422,1.69851,2.14358,2.14358
3.2,3.43717,1.65807,1.64559,1.43414,1.91599,1.4018,1.50876,1.50876
3.3,3.71454,1.81532,1.80912,1.57311,1.84714,1.90642,1.71555,1.71555
3.4,4.56377,2.34704,2.4879,2.32778,2.61013,2.82023,2.23829,2.23829
3.5,5.32045,3.15805,3.25261,3.41706,3.84518,4.17176,3.12968,3.12968
3.6,6.35047,4.08459,4.33706,4.60664,5.28835,5.53633,3.9894,3.9894
3.7,7.34067,5.18637,5.40911,5.80432,6.67013,6.83336,4.81521,4.81521
3.8,8.28697,6.25104,6.36858,6.92294,7.93217,8.0901,5.5852,5.5852
3.9,9.13646,7.26858,7.43869,7.90699,9.05626,9.15529,6.42932,6.42932
4.0,9.64513,8.28351,8.38861,8.79711,10.2447,10.305,7.2201,7.2201
4.1,10.0147,9.23343,9.34051,9.70233,11.326,11.3779,7.97133,7.97133
4.2,11.0517,10.0654,10.2044,10.5934,12.3889,12.4265,8.83634,8.83634
4.3,12.0974,10.8997,11.1521,11.3702,13.4423,13.4728,9.60863,9.60863
4.4,13.0898,11.6824,12.0336,12.1736,14.3692,14.4899,10.527,10.527
4.5,13.8561,12.459,13.0114,12.9949,15.3406,15.4011,11.5506,11.5506
4.6,14.7718,13.2532,13.8848,13.8016,16.3062,16.3089,12.553,12.553
4.7,15.7312,13.9887,14.8185,14.5926,17.1228,17.1913,13.3882,13.3882
4.8,16.6479,14.7978,15.5726,15.1518,17.9369,18.0013,14.2902,14.2902
4.9,17.5035,15.657,16.3569,15.8401,18.6514,18.6821,15.1553,15.1553
5.0,18.2969,16.4871,17.1436,16.4408,19.4119,19.4589,16.0031,16.0031
5.1,19.081,17.2787,17.9302,17.1007,20.2479,20.2494,16.7969,16.7969
5.2,19.8347,18.0166,18.6903,17.8222,20.8949,21.0009,17.5872,17.5872
5.3,20.5382,18.7446,19.4821,18.4886,21.5297,21.6705,18.3538,18.3538
5.4,21.2846,19.4288,20.159,19.2252,22.2277,22.2953,19.0383,19.0383
5.5,21.8594,20.0976,20.8648,19.9038,22.8171,22.8671,19.6419,19.6419
