Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM9_th,dAQM10_th,dAQM11_th
0.1,60.0672,45.6887,51.8369,56.3269,39.8184,53.2973,45.7022,45.7022
0.2,17.1903,10.9519,14.8466,11.7047,11.7122,16.1403,18.6861,18.6861
0.3,8.66144,6.376,8.11702,6.72206,6.93231,9.09872,9.28798,9.28798
0.4,7.38756,5.47287,6.72448,5.79909,5.703,7.35196,7.54617,7.54617
0.5,7.10681,5.08746,5.86189,5.4971,5.29385,7.06664,7.15259,7.15259
0.6,4.94012,3.65256,4.59255,3.87768,3.86283,4.89788,5.12298,5.12298
0.7,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
0.8,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
0.9,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
1.0,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
1.1,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
1.2,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
1.3,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
1.4,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
1.5,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
1.6,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
1.7,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
1.8,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
1.9,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
2.0,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
2.1,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
2.2,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
2.3,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
2.4,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
2.5,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
2.6,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
2.7,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
2.8,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
2.9,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
3.0,4.47028,3.35777,4.07879,3.51138,3.46875,4.39121,4.60317,4.60317
3.1,3.91889,1.77906,2.53738,2.63182,2.11899,3.02329,4.08985,4.08985
3.2,2.76947,1.9576,2.41154,2.44256,2.14634,3.26237,3.00489,3.00489
3.3,2.84316,2.32658,2.13133,2.86401,2.49064,2.65628,3.24578,3.24578
3.4,2.94978,3.57698,2.87048,3.27693,2.77313,2.89906,3.1304,3.1304
3.5,4.23596,4.92033,3.89353,4.63134,4.29638,4.10056,4.33432,4.33432
3.6,5.62122,6.27329,5.16954,5.91558,5.7643,5.60453,5.81043,5.81043
3.7,6.97405,7.66307,6.27577,7.27751,7.16833,6.99917,7.21679,7.21679
3.8,8.18859,8.92555,7.22854,8.51885,8.44081,8.29998,8.52421,8.52421
3.9,9.45362,10.1263,8.20547,9.70212,9.57957,9.56876,9.72175,9.72175
4.0,10.5734,11.2337,9.12728,10.82,10.6268,10.7161,10.863,10.863
4.1,11.7383,12.1981,10.0259,11.8082,11.7485,11.8647,12.0323,12.0323
4.2,12.768,13.185,10.931,12.8527,12.8167,12.9126,13.07,13.07
4.3,13.7494,14.1854,11.6626,13.838,13.7618,13.8873,14.0886,14.0886
4.4,14.7246,15.0905,12.5084,14.8395,14.6372,14.8479,15.0453,15.0453
4.5,15.6791,15.9771,13.2211,15.7575,15.5676,15.7209,15.9906,15.9906
4.6,16.5411,16.8667,13.9538,16.6256,16.5004,16.6303,16.9129,16.9129
4.7,17.3845,17.7767,14.7716,17.52,17.3066,17.4524,17.801,17.801
4.8,18.219,18.5008,15.6203,18.3507,18.1894,17.8814,18.5955,18.5955
4.9,18.9743,19.2628,16.3899,19.0995,18.9195,18.6944,18.9052,18.9052
5.0,19.6854,19.9245,17.242,19.888,19.5916,19.4197,19.6862,19.6862
5.1,20.3408,20.6356,18.0002,20.5913,20.2908,20.2266,20.408,20.408
5.2,21.0608,21.3976,18.7715,21.2488,20.9953,20.9382,21.1937,21.1937
5.3,21.6968,22.0661,19.4291,21.8442,21.7426,21.6386,21.8756,21.8756
5.4,22.3121,22.5952,20.1075,22.4915,22.3868,22.3068,22.5079,22.5079
5.5,23.0071,23.2898,20.7588,23.1027,23.0937,22.9074,23.1576,23.1576
5.6,23.57,23.879,21.3958,23.7141,23.729,23.603,23.7181,23.7181
5.7,24.2077,24.4723,22.0281,24.381,24.2515,24.1995,24.3202,24.3202
5.8,24.7375,25.0801,22.6836,24.9672,24.889,24.7665,24.9141,24.9141
5.9,25.259,25.573,23.2852,25.4764,25.4575,25.238,25.4334,25.4334
6.0,25.7642,26.0738,23.8813,25.9652,25.9514,25.8118,25.9144,25.9144
6.1,26.2784,26.5783,24.4189,26.4397,26.503,26.2911,26.457,26.457
6.2,26.7123,27.0075,24.976,26.9377,26.9597,26.8118,26.9773,26.9773
6.3,27.2033,27.5418,25.4622,27.3802,27.4025,27.268,27.3846,27.3846
6.4,27.6151,27.9656,26.0198,27.9297,27.917,27.6968,27.9048,27.9048
6.5,28.1312,28.4297,26.4024,28.3762,28.4123,28.1149,28.3723,28.3723
6.6,28.5073,28.8539,26.8701,28.8077,28.8742,28.5796,28.832,28.832
6.7,28.9699,29.2671,27.282,29.2521,29.2579,29.0253,29.2146,29.2146
6.8,29.3571,29.6462,27.7429,29.6783,29.7425,29.4324,29.6314,29.6314
6.9,29.8169,30.0593,28.1595,30.063,30.0778,29.8581,30.022,30.022
7.0,30.2112,30.4611,28.5988,30.4705,30.5112,30.1874,30.4236,30.4236
