Simulation Time,Red_delay,Pie_delay,CoDel_delay,FqCoDel_delay,Cobalt_delay,dAQM9_delay,dAQM10_delay,dAQM11_delay
0.1,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,8.00279,8.00279
0.2,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,8.00279,8.00279
0.3,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,8.00279,8.00279
0.4,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,8.00279,8.00279
0.5,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,8.00279,8.00279
0.6,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,8.00279,8.00279
0.7,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,8.00279,8.00279
0.8,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,8.00279,8.00279
0.9,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,8.00279,8.00279
1.0,7.50279,6.50279,10.5028,3.00279,10.5028,6.00279,8.00279,8.00279
1.1,7.87761,5.87761,7.37761,4.37761,9.00261,6.87761,7.62761,7.62761
1.2,7.87761,5.87761,7.37761,4.37761,9.00261,6.87761,7.62761,7.62761
1.3,7.87761,5.87761,7.37761,4.37761,9.00261,6.87761,7.62761,7.62761
1.4,7.87761,5.87761,7.37761,4.37761,9.00261,6.87761,7.62761,7.62761
1.5,7.87761,5.87761,7.37761,4.37761,9.00261,6.87761,7.62761,7.62761
1.6,7.87761,5.87761,7.37761,4.37761,9.00261,6.87761,7.62761,7.62761
1.7,7.87761,5.87761,7.37761,4.37761,9.00261,6.87761,7.62761,7.62761
1.8,7.87761,5.87761,7.37761,4.37761,9.00261,6.87761,7.62761,7.62761
1.9,7.87761,5.87761,7.37761,4.37761,9.00261,6.87761,7.62761,7.62761
2.0,7.87761,5.87761,7.37761,4.37761,9.00261,6.87761,7.62761,7.62761
2.1,6.66921,6.33588,6.33588,4.50255,8.58588,5.66921,7.16921,7.16921
2.2,6.66921,6.33588,6.33588,4.50255,8.58588,5.66921,7.16921,7.16921
2.3,6.66921,6.33588,6.33588,4.50255,8.58588,5.66921,7.16921,7.16921
2.4,6.66921,6.33588,6.33588,4.50255,8.58588,5.66921,7.16921,7.16921
2.5,6.66921,6.33588,6.33588,4.50255,8.58588,5.66921,7.16921,7.16921
2.6,4.48209,5.03605,5.36621,3.04796,6.62574,3.6059,5.28129,5.28129
2.7,4.37377,4.98047,5.31293,2.98665,6.52831,3.51707,5.18903,5.18903
2.8,4.3339,4.96049,5.29303,2.96465,6.49243,3.48509,5.15513,5.15513
2.9,4.31386,4.95011,5.28322,2.9532,6.47441,3.46852,5.13805,5.13805
3.0,4.3021,4.94419,5.27737,2.94667,6.46383,3.45904,5.12805,5.12805
3.1,9.5582,10.6116,8.58594,9.73299,9.40953,10.7344,9.4737,9.4737
3.2,15.8299,16.6531,15.0656,15.791,15.5812,16.8532,15.7077,15.7077
3.3,22.1465,23.1937,21.1998,21.9896,21.0717,23.4099,21.8789,21.8789
3.4,28.2768,29.2293,27.7771,27.8875,27.0465,29.8116,23.7888,28.0155
3.5,30.5048,31.0343,29.3622,30.0442,29.4447,28.8364,22.5168,28.3951
3.6,29.7698,29.5951,28.6272,29.2163,27.9205,28.3336,21.3408,27.219
3.7,29.7333,29.5362,28.5907,29.1652,27.8435,28.3056,21.2767,27.155
3.8,29.7199,29.5152,28.5772,29.1458,27.8151,28.2952,21.2528,27.1311
3.9,29.7131,29.5042,28.5705,29.1364,27.8009,28.2901,21.2411,27.1193
4.0,29.7091,29.498,28.5665,29.1308,27.7925,28.287,21.234,27.1123
4.1,23.0547,23.3997,22.1844,22.508,22.082,22.7408,16.4003,22.3913
4.2,21.3474,21.7189,20.5016,20.8291,20.4251,21.2532,15.1899,22.3879
4.3,20.0114,20.4024,19.1841,19.5155,19.1285,20.0868,14.2425,22.3853
4.4,18.7813,19.1913,17.9714,18.3058,17.9355,19.012,13.3702,20.0162
4.5,17.7947,18.2184,16.9982,17.3347,16.9786,18.1468,12.6697,17.3057
4.6,15.7167,16.0373,15.5401,15.3553,15.7343,14.9687,11.3571,15.151
4.7,14.8334,15.1668,14.6923,14.4985,14.9139,14.1225,10.7303,14.0096
4.8,14.1327,14.477,14.0098,13.8152,14.2483,13.4802,10.2338,13.268
4.9,13.4696,13.8237,13.3601,13.1652,13.6117,12.8831,9.76314,12.5983
5.0,12.9184,13.2815,12.8192,12.625,13.0815,12.3897,9.37364,12.0481
5.1,11.4039,12.457,12.253,11.9228,12.0514,11.4471,8.82416,11.0805
5.2,11.4044,12.4557,12.2511,11.9233,12.0531,11.4404,8.8272,11.0753
5.3,11.4044,12.4545,12.25,11.9246,12.0549,11.4356,8.82947,11.0709
5.4,11.4052,12.4535,12.2488,11.9254,12.0569,11.4313,8.83198,11.0685
5.5,11.4061,12.4531,12.2485,11.9265,12.0586,11.4288,8.83405,11.0667
5.6,10.6539,11.3314,11.4765,11.2679,10.9204,10.2465,8.4259,10.6952
5.7,10.6169,11.279,11.4438,11.2368,10.8696,10.1869,8.40225,10.6741
5.8,10.6034,11.2595,11.4318,11.2255,10.8512,10.1634,8.39393,10.6668
5.9,10.5963,11.2485,11.424,11.2189,10.8418,10.1513,8.38959,10.6629
6.0,10.5922,11.2416,11.4192,11.2156,10.8365,10.1431,8.3871,10.6607
6.1,9.6222,10.4687,10.8136,10.5678,10.4643,9.96092,8.47397,10.4228
6.2,9.63053,10.4756,10.8227,10.5764,10.4724,9.96904,8.48219,10.4298
6.3,9.637,10.4816,10.8303,10.5827,10.4781,9.97488,8.48874,10.4363
6.4,9.64374,10.4872,10.8375,10.5894,10.4839,9.9808,8.49569,10.4416
6.5,9.64911,10.4915,10.8432,10.5948,10.4881,9.9853,8.5007,10.4459
6.6,8.95604,9.20025,9.42502,9.29588,9.41826,8.95573,7.60913,9.43268
6.7,8.60067,8.82713,9.04035,8.92394,9.05094,8.61878,7.34313,9.07802
6.8,8.30976,8.53202,8.74091,8.63044,8.75963,8.35349,7.1333,8.79383
6.9,8.04545,8.26782,8.45397,8.3471,8.49931,8.11691,6.93121,8.53697
7.0,7.78412,8.00841,8.21356,8.10824,8.24428,7.88457,6.76093,8.28636
7.1,7.845,7.59561,7.5696,7.95802,8.31394,7.75635,6.53151,8.87431
7.2,7.65846,7.40645,7.38348,7.77426,8.1285,7.59019,6.40751,8.69261
7.3,7.49731,7.24415,7.2219,7.61463,7.97038,7.44427,6.28385,8.53681
7.4,7.34898,7.09498,7.06013,7.46696,7.81031,7.29996,6.16956,8.3796
7.5,7.19532,6.94576,6.92056,7.31637,7.67336,7.17562,6.07164,8.24535
7.6,6.90395,6.41626,6.24268,6.68702,6.88039,6.30302,5.19022,7.36211
7.7,6.89203,6.39816,6.21161,6.66464,6.84546,6.2649,5.15121,7.32247
7.8,6.89034,6.3946,6.20385,6.65977,6.83576,6.25248,5.13983,7.31092
7.9,6.8916,6.39567,6.2019,6.66008,6.83344,6.24824,5.13712,7.30704
8.0,6.89406,6.398,6.20209,6.66188,6.83416,6.24755,5.13769,7.30691
8.1,6.66106,6.90987,6.66887,7.02345,7.54607,6.76819,5.83656,7.55718
8.2,6.67247,6.91819,6.67742,7.03423,7.55342,6.7762,5.84663,7.56423
8.3,6.67874,6.92545,6.68531,7.04379,7.56068,6.78227,5.85456,7.57109
8.4,6.68528,6.93171,6.69183,7.0506,7.56626,6.78945,5.86019,7.57698
8.5,6.69116,6.93899,6.69954,7.05671,7.57176,6.79613,5.86672,7.58308
8.6,5.84006,6.46144,6.38863,6.33215,6.68309,6.11011,5.42446,6.24555
8.7,5.8095,6.44511,6.38078,6.31106,6.64536,6.08433,5.40716,6.19355
8.8,5.80176,6.44248,6.38126,6.30685,6.63529,6.07865,5.40413,6.17902
8.9,5.80044,6.44397,6.38423,6.30686,6.6324,6.0775,5.40531,6.17331
9.0,5.80187,6.44649,6.38778,6.30938,6.63321,6.07945,5.40744,6.17174
9.1,6.72444,7.70285,7.11725,7.51343,7.15329,5.96461,5.91474,6.77674
9.2,7.00875,7.84344,7.32426,7.73121,7.29256,6.29793,6.1332,7.00171
9.3,7.38227,8.1855,7.59272,7.88595,7.56627,6.54793,6.44438,7.30036
9.4,7.6807,8.52819,7.96092,8.12355,8.0102,7.08982,6.76158,7.64582
9.5,8.16597,9.06158,8.38074,8.41997,8.40928,7.61094,7.34248,8.01906
9.6,9.62332,9.46948,9.04977,9.07441,8.20543,7.75321,8.02948,8.71101
9.7,10.5189,10.5829,10.3196,10.6375,8.81908,9.74814,8.84875,10.2409
9.8,11.5005,11.6956,11.5477,12.1057,9.73107,10.8636,9.39541,11.1933
9.9,12.3257,12.1624,12.6681,13.4318,10.4361,11.571,10.2005,12.1491
10.0,12.8278,12.7452,13.0849,14.3292,10.7059,12.3283,10.983,12.8877
10.1,13.2316,12.6939,13.907,14.6578,11.4051,13.0131,12.085,13.4338
10.2,14.364,13.897,18.2507,16.4331,12.4127,20.4904,13.4877,14.4201
10.3,15.6911,15.5122,19.5488,18.1406,13.9933,21.8749,15.003,15.7305
10.4,17.1477,17.2339,20.8762,19.455,15.7508,23.4398,16.4551,17.046
10.5,18.6189,18.4415,22.4142,20.7655,17.1292,24.9421,17.7525,18.2555
10.6,20.0017,18.7929,23.0419,20.5497,18.121,27.5964,19.5503,18.9782
10.7,21.7715,20.8662,24.8959,22.4245,20.5565,29.8829,21.5538,21.1241
10.8,23.823,23.2754,27.0146,24.7408,22.8647,32.0224,23.1142,23.4497
10.9,26.3267,25.7073,29.4011,27.0698,24.6836,34.4014,24.9306,25.8705
