Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
0.1,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00800279,0.00800279
0.2,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00800279,0.00800279
0.3,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00800279,0.00800279
0.4,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00800279,0.00800279
0.5,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00800279,0.00800279
0.6,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00800279,0.00800279
0.7,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00800279,0.00800279
0.8,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00800279,0.00800279
0.9,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00800279,0.00800279
1.0,0.00750279,0.00650279,0.0105028,0.00300279,0.0105028,0.00600279,0.00800279,0.00800279
1.1,0.0120038,0.00850382,0.00950382,0.00725382,0.0127538,0.0107538,0.0112538,0.0112538
1.2,0.0120038,0.00850382,0.00950382,0.00725382,0.0127538,0.0107538,0.0112538,0.0112538
1.3,0.0120038,0.00850382,0.00950382,0.00725382,0.0127538,0.0107538,0.0112538,0.0112538
1.4,0.0120038,0.00850382,0.00950382,0.00725382,0.0127538,0.0107538,0.0112538,0.0112538
1.5,0.0120038,0.00850382,0.00950382,0.00725382,0.0127538,0.0107538,0.0112538,0.0112538
1.6,0.0120038,0.00850382,0.00950382,0.00725382,0.0127538,0.0107538,0.0112538,0.0112538
1.7,0.0120038,0.00850382,0.00950382,0.00725382,0.0127538,0.0107538,0.0112538,0.0112538
1.8,0.0120038,0.00850382,0.00950382,0.00725382,0.0127538,0.0107538,0.0112538,0.0112538
1.9,0.0120038,0.00850382,0.00950382,0.00725382,0.0127538,0.0107538,0.0112538,0.0112538
2.0,0.0120038,0.00850382,0.00950382,0.00725382,0.0127538,0.0107538,0.0112538,0.0112538
2.1,0.0108375,0.0105042,0.00917083,0.00800416,0.0136708,0.0093375,0.0116708,0.0116708
2.2,0.0108375,0.0105042,0.00917083,0.00800416,0.0136708,0.0093375,0.0116708,0.0116708
2.3,0.0108375,0.0105042,0.00917083,0.00800416,0.0136708,0.0093375,0.0116708,0.0116708
2.4,0.0108375,0.0105042,0.00917083,0.00800416,0.0136708,0.0093375,0.0116708,0.0116708
2.5,0.0108375,0.0105042,0.00917083,0.00800416,0.0136708,0.0093375,0.0116708,0.0116708
2.6,0.536193,0.539193,0.53786,0.53636,0.539693,0.536026,0.538026,0.538026
2.7,0.568549,0.571549,0.570215,0.568715,0.572049,0.568382,0.570382,0.570382
2.8,0.602149,0.605149,0.603815,0.602315,0.605649,0.601982,0.603982,0.603982
2.9,0.635749,0.638749,0.637415,0.635915,0.639249,0.635582,0.637582,0.637582
3.0,0.668104,0.671104,0.669771,0.668271,0.671604,0.667937,0.669937,0.669937
3.1,1.30158,1.30479,1.30091,1.3034,1.30216,1.30563,1.30198,1.30198
3.2,1.35228,1.35525,1.35093,1.35293,1.34996,1.3563,1.35261,1.35261
3.3,1.39954,1.40559,1.40087,1.40391,1.4012,1.4051,1.40205,1.40205
3.4,1.45241,1.45435,1.45005,1.45381,1.451,1.45645,1.45221,1.45261
3.5,1.48557,1.48822,1.4832,1.48686,1.48596,1.48977,1.48383,1.47834
3.6,1.88234,1.88374,1.87997,1.88263,1.88023,1.88704,1.87884,1.87335
3.7,1.9066,1.90801,1.90424,1.90689,1.9045,1.91131,1.90311,1.89762
3.8,1.9318,1.93321,1.92944,1.93209,1.9297,1.93651,1.92831,1.92282
3.9,1.957,1.95841,1.95464,1.95729,1.9549,1.96171,1.95351,1.94802
4.0,1.98127,1.98267,1.9789,1.98156,1.97916,1.98597,1.97778,1.97229
4.1,1.74021,1.74283,1.73916,1.7405,1.73886,1.74522,1.73801,1.60014
4.2,1.78053,1.78316,1.77948,1.78082,1.77926,1.78546,1.77834,1.61955
4.3,1.82002,1.82275,1.81906,1.82046,1.81879,1.82504,1.81789,1.63971
4.4,1.8604,1.8631,1.85935,1.86074,1.85914,1.86538,1.8582,1.85834
4.5,1.90001,1.90259,1.89894,1.9003,1.89867,1.90497,1.8978,1.89856
4.6,2.23483,2.23757,2.23517,2.23592,2.23578,2.23585,2.23352,2.23499
4.7,2.27513,2.27791,2.27553,2.27623,2.27615,2.27618,2.27387,2.27446
4.8,2.31475,2.31739,2.31503,2.31581,2.31582,2.31576,2.31343,2.31409
4.9,2.35576,2.35846,2.35608,2.3569,2.35676,2.35683,2.35445,2.35504
5.0,2.39466,2.39739,2.39502,2.39572,2.39559,2.39565,2.39344,2.39396
5.1,2.2807,2.28452,2.28289,2.2832,2.28258,2.28261,2.28046,2.28097
5.2,2.3143,2.31809,2.31648,2.31673,2.31609,2.31613,2.31405,2.31456
5.3,2.3473,2.35107,2.34951,2.34971,2.3492,2.3491,2.3471,2.34761
