Simulation Time,Red_plr,Pie_plr,CoDel_plr,FqCoDel_plr,Cobalt_plr,dAQM9_plr,dAQM10_plr,dAQM11_plr
0.1,0,0,0,0,0,0.0,0,0.0
0.2,0,0,0,0,0,0.0,0,0.0
0.3,0,0,0,0,0,0.0,0,0.0
0.4,0,0,0,0,0,0.0,0,0.0
0.5,0,0,0,0,0,0.0,0,0.0
0.6,0,0,0,0,0,0.0,0,0.0
0.7,0,0,0,0,0,0.0,0,0.0
0.8,0,0,0,0,0,0.0,0,0.0
0.9,0,0,0,0,0,0.0,0,0.0
1.0,0,0,0,0,0,0.0,0,0.0
1.1,0,0,0,0,0,0.0,0,0.0
1.2,0,0,0,0,0,0.0,0,0.0
1.3,0,0,0,0,0,0.0,0,0.0
1.4,0,0,0,0,0,0.0,0,0.0
1.5,0,0,0,0,0,0.0,0,0.0
1.6,0,0,0,0,0,0.0,0,0.0
1.7,0,0,0,0,0,0.0,0,0.0
1.8,0,0,0,0,0,0.0,0,0.0
1.9,0,0,0,0,0,0.0,0,0.0
2.0,0,0,0,0,0,0.0,0,0.0
2.1,0,0,0,0,0,0.0,0,0.0
2.2,0,0,0,0,0,0.0,0,0.0
2.3,0,0,0,0,0,0.0,0,0.0
2.4,0,0,0,0,0,0.0,0,0.0
2.5,0,0,0,0,0,0.0,0,0.0
2.6,0,0,0,0,0,0.0,0,0.0
2.7,0,0,0,0,0,0.0,0,0.0
2.8,0,0,0,0,0,0.0,0,0.0
2.9,0,0,0,0,0,0.0,0,0.0
3.0,0,0,0,0,0,0.0,0,0.0
3.1,0,0,0,0,0,0.00189394,0,0.00189394
3.2,0,0,0,0,0,0.00189394,0,0.00189394
3.3,0,0,0,0,0,0.00189394,0,0.00189394
3.4,0,0,0,0,0,0.00178571,0,0.0126812
3.5,0,0,0,0,0,0.00178571,0,0.0160714
3.6,0,0,0,0,0,0.00178571,0,0.0160714
3.7,0,0,0,0,0,0.00178571,0,0.0160714
3.8,0,0,0,0,0,0.00178571,0,0.0160714
3.9,0,0,0,0,0,0.00178571,0,0.0160714
