Simulation Time,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM9_ql,dAQM10_ql,dAQM11_ql
0.004,1,1,1,1,1,1,1,1
0.004,0,0,0,0,0,0,0,0
0.00500026,1,1,1,1,1,1,1,1
0.00500026,0,0,0,0,0,0,0,0
0.00600151,1,1,1,1,1,1,1,1
0.00600151,0,0,0,0,0,0,0,0
0.0130028,1,1,1,1,1,1,1,1
0.0130028,0,0,0,0,0,0,0,0
0.0140031,1,1,1,1,1,1,1,1
0.0140031,0,0,0,0,0,0,0,0
0.0150043,1,1,1,1,1,1,1,1
0.0150043,0,0,0,0,0,0,0,0
1.007,1,1,1,1,1,1,1,1
1.007,0,0,0,0,0,0,0,0
1.008,1,1,1,1,1,1,1,1
1.008,0,0,0,0,0,0,0,0
1.009,1,1,1,1,1,1,1,1
1.009,0,0,0,0,0,0,0,0
1.016,1,1,1,1,1,1,1,1
1.016,0,0,0,0,0,0,0,0
1.017,1,1,1,1,1,1,1,1
1.017,0,0,0,0,0,0,0,0
1.018,1,1,1,1,1,1,1,1
1.018,0,0,0,0,0,0,0,0
1.01901,1,1,1,1,1,1,1,1
1.01901,0,0,0,0,0,0,0,0
2.009,1,1,1,1,1,1,1,1
2.009,0,0,0,0,0,0,0,0
2.01,1,1,1,1,1,1,1,1
2.01,0,0,0,0,0,0,0,0
2.011,1,1,1,1,1,1,1,1
2.011,0,0,0,0,0,0,0,0
2.015,1,1,1,1,1,1,1,1
2.015,0,0,0,0,0,0,0,0
2.016,1,1,1,1,1,1,1,1
2.016,0,0,0,0,0,0,0,0
2.017,1,1,1,1,1,1,1,1
2.017,0,0,0,0,0,0,0,0
2.01801,1,1,1,1,1,1,1,1
2.01801,0,0,0,0,0,0,0,0
2.50747,1,1,1,1,1,1,1,1
2.50747,0,0,0,0,0,0,0,0
2.50847,1,1,1,1,1,1,1,1
2.50847,0,0,0,0,0,0,0,0
2.51493,1,1,1,1,1,1,1,1
2.51493,0,0,0,0,0,0,0,0
2.51594,1,1,1,1,1,1,1,1
2.51594,0,0,0,0,0,0,0,0
2.5224,1,1,1,1,1,1,1,1
2.5224,0,0,0,0,0,0,0,0
2.52341,1,1,1,1,1,1,1,1
2.52341,0,0,0,0,0,0,0,0
2.52987,1,1,1,1,1,1,1,1
2.52987,0,0,0,0,0,0,0,0
2.53087,1,1,1,1,1,1,1,1
2.53087,0,0,0,0,0,0,0,0
2.53733,1,1,1,1,1,1,1,1
2.53733,0,0,0,0,0,0,0,0
2.53834,1,1,1,1,1,1,1,1
2.53834,0,0,0,0,0,0,0,0
2.5448,1,1,1,1,1,1,1,1
2.5448,0,0,0,0,0,0,0,0
2.54581,1,1,1,1,1,1,1,1
2.54581,0,0,0,0,0,0,0,0
2.55227,1,1,1,1,1,1,1,1
2.55227,0,0,0,0,0,0,0,0
2.55327,1,1,1,1,1,1,1,1
2.55327,0,0,0,0,0,0,0,0
2.55973,1,1,1,1,1,1,1,1
2.55973,0,0,0,0,0,0,0,0
2.56074,1,1,1,1,1,1,1,1
2.56074,0,0,0,0,0,0,0,0
2.5672,1,1,1,1,1,1,1,1
2.5672,0,0,0,0,0,0,0,0
2.56821,1,1,1,1,1,1,1,1
2.56821,0,0,0,0,0,0,0,0
2.57467,1,1,1,1,1,1,1,1
2.57467,0,0,0,0,0,0,0,0
2.57567,1,1,1,1,1,1,1,1
2.57567,0,0,0,0,0,0,0,0
2.58213,1,1,1,1,1,1,1,1
2.58213,0,0,0,0,0,0,0,0
2.58314,1,1,1,1,1,1,1,1
2.58314,0,0,0,0,0,0,0,0
2.5896,1,1,1,1,1,1,1,1
2.5896,0,0,0,0,0,0,0,0
2.59061,1,1,1,1,1,1,1,1
2.59061,0,0,0,0,0,0,0,0
2.59707,1,1,1,1,1,1,1,1
2.59707,0,0,0,0,0,0,0,0
2.59807,1,1,1,1,1,1,1,1
2.59807,0,0,0,0,0,0,0,0
2.60453,1,1,1,1,1,1,1,1
2.60453,0,0,0,0,0,0,0,0
2.60554,1,1,1,1,1,1,1,1
2.60554,0,0,0,0,0,0,0,0
2.612,1,1,1,1,1,1,1,1
2.612,0,0,0,0,0,0,0,0
2.61301,1,1,1,1,1,1,1,1
2.61301,0,0,0,0,0,0,0,0
2.61947,1,1,1,1,1,1,1,1
2.61947,0,0,0,0,0,0,0,0
2.62047,1,1,1,1,1,1,1,1
2.62047,0,0,0,0,0,0,0,0
2.62693,1,1,1,1,1,1,1,1
2.62693,0,0,0,0,0,0,0,0
2.62794,1,1,1,1,1,1,1,1
2.62794,0,0,0,0,0,0,0,0
2.6344,1,1,1,1,1,1,1,1
2.6344,0,0,0,0,0,0,0,0
2.63541,1,1,1,1,1,1,1,1
2.63541,0,0,0,0,0,0,0,0
2.64187,1,1,1,1,1,1,1,1
2.64187,0,0,0,0,0,0,0,0
2.64287,1,1,1,1,1,1,1,1
2.64287,0,0,0,0,0,0,0,0
2.64933,1,1,1,1,1,1,1,1
2.64933,0,0,0,0,0,0,0,0
2.65034,1,1,1,1,1,1,1,1
2.65034,0,0,0,0,0,0,0,0
2.6568,1,1,1,1,1,1,1,1
2.6568,0,0,0,0,0,0,0,0
2.65781,1,1,1,1,1,1,1,1
2.65781,0,0,0,0,0,0,0,0
2.66427,1,1,1,1,1,1,1,1
2.66427,0,0,0,0,0,0,0,0
2.66527,1,1,1,1,1,1,1,1
2.66527,0,0,0,0,0,0,0,0
2.67173,1,1,1,1,1,1,1,1
2.67173,0,0,0,0,0,0,0,0
2.67274,1,1,1,1,1,1,1,1
2.67274,0,0,0,0,0,0,0,0
2.6792,1,1,1,1,1,1,1,1
2.6792,0,0,0,0,0,0,0,0
2.68021,1,1,1,1,1,1,1,1
2.68021,0,0,0,0,0,0,0,0
2.68667,1,1,1,1,1,1,1,1
2.68667,0,0,0,0,0,0,0,0
2.68767,1,1,1,1,1,1,1,1
2.68767,0,0,0,0,0,0,0,0
2.69413,1,1,1,1,1,1,1,1
2.69413,0,0,0,0,0,0,0,0
2.69514,1,1,1,1,1,1,1,1
2.69514,0,0,0,0,0,0,0,0
2.7016,1,1,1,1,1,1,1,1
2.7016,0,0,0,0,0,0,0,0
2.70261,1,1,1,1,1,1,1,1
2.70261,0,0,0,0,0,0,0,0
2.70907,1,1,1,1,1,1,1,1
2.70907,0,0,0,0,0,0,0,0
2.71007,1,1,1,1,1,1,1,1
2.71007,0,0,0,0,0,0,0,0
2.71653,1,1,1,1,1,1,1,1
2.71653,0,0,0,0,0,0,0,0
2.71754,1,1,1,1,1,1,1,1
2.71754,0,0,0,0,0,0,0,0
2.724,1,1,1,1,1,1,1,1
2.724,0,0,0,0,0,0,0,0
2.72501,1,1,1,1,1,1,1,1
2.72501,0,0,0,0,0,0,0,0
2.73147,1,1,1,1,1,1,1,1
2.73147,0,0,0,0,0,0,0,0
2.73247,1,1,1,1,1,1,1,1
2.73247,0,0,0,0,0,0,0,0
2.73893,1,1,1,1,1,1,1,1
2.73893,0,0,0,0,0,0,0,0
2.73994,1,1,1,1,1,1,1,1
2.73994,0,0,0,0,0,0,0,0
2.7464,1,1,1,1,1,1,1,1
2.7464,0,0,0,0,0,0,0,0
2.74741,1,1,1,1,1,1,1,1
2.74741,0,0,0,0,0,0,0,0
2.75387,1,1,1,1,1,1,1,1
2.75387,0,0,0,0,0,0,0,0
2.75487,1,1,1,1,1,1,1,1
2.75487,0,0,0,0,0,0,0,0
2.76133,1,1,1,1,1,1,1,1
2.76133,0,0,0,0,0,0,0,0
2.76234,1,1,1,1,1,1,1,1
2.76234,0,0,0,0,0,0,0,0
2.7688,1,1,1,1,1,1,1,1
2.7688,0,0,0,0,0,0,0,0
2.76981,1,1,1,1,1,1,1,1
2.76981,0,0,0,0,0,0,0,0
2.77627,1,1,1,1,1,1,1,1
2.77627,0,0,0,0,0,0,0,0
2.77727,1,1,1,1,1,1,1,1
2.77727,0,0,0,0,0,0,0,0
2.78373,1,1,1,1,1,1,1,1
2.78373,0,0,0,0,0,0,0,0
2.78474,1,1,1,1,1,1,1,1
2.78474,0,0,0,0,0,0,0,0
2.7912,1,1,1,1,1,1,1,1
