Simulation Time,Red_sj,Pie_sj,CoDel_sj,FqCoDel_sj,Cobalt_sj,dAQM9_sj,dAQM10_sj,dAQM11_sj
0.004,0,0,0,0,0,0,0,0
0.00500026,0,0,0,0,0,0,0,0
0.00600151,0,0,0,0,0,0,0,0
0.0130028,0,0,0,0,0,0,0,0
0.0140031,0,0,0,0,0,0,0,0
0.0150043,0,0,0,0,0,0,0,0
1.007,0,0,0,0,0,0,0,0
1.008,0,0,0,0,0,0,0,0
1.009,0,0,0,0,0,0,0,0
1.016,0,0,0,0,0,0,0,0
1.017,0,0,0,0,0,0,0,0
1.018,0,0,0,0,0,0,0,0
1.01901,0,0,0,0,0,0,0,0
2.009,0,0,0,0,0,0,0,0
2.01,0,0,0,0,0,0,0,0
2.011,0,0,0,0,0,0,0,0
2.015,0,0,0,0,0,0,0,0
2.016,0,0,0,0,0,0,0,0
2.017,0,0,0,0,0,0,0,0
2.01801,0,0,0,0,0,0,0,0
2.50747,0,0,0,0,0,0,0,0
2.50847,0,0,0,0,0,0,0,0
2.51493,0,0,0,0,0,0,0,0
2.51594,0,0,0,0,0,0,0,0
2.5224,0,0,0,0,0,0,0,0
2.52341,0,0,0,0,0,0,0,0
2.52987,0,0,0,0,0,0,0,0
2.53087,0,0,0,0,0,0,0,0
2.53733,0,0,0,0,0,0,0,0
2.53834,0,0,0,0,0,0,0,0
2.5448,0,0,0,0,0,0,0,0
2.54581,0,0,0,0,0,0,0,0
2.55227,0,0,0,0,0,0,0,0
2.55327,0,0,0,0,0,0,0,0
2.55973,0,0,0,0,0,0,0,0
2.56074,0,0,0,0,0,0,0,0
2.5672,0,0,0,0,0,0,0,0
2.56821,0,0,0,0,0,0,0,0
2.57467,0,0,0,0,0,0,0,0
2.57567,0,0,0,0,0,0,0,0
2.58213,0,0,0,0,0,0,0,0
2.58314,0,0,0,0,0,0,0,0
2.5896,0,0,0,0,0,0,0,0
2.59061,0,0,0,0,0,0,0,0
2.59707,0,0,0,0,0,0,0,0
2.59807,0,0,0,0,0,0,0,0
2.60453,0,0,0,0,0,0,0,0
2.60554,0,0,0,0,0,0,0,0
2.612,0,0,0,0,0,0,0,0
2.61301,0,0,0,0,0,0,0,0
2.61947,0,0,0,0,0,0,0,0
2.62047,0,0,0,0,0,0,0,0
2.62693,0,0,0,0,0,0,0,0
2.62794,0,0,0,0,0,0,0,0
2.6344,0,0,0,0,0,0,0,0
2.63541,0,0,0,0,0,0,0,0
2.64187,0,0,0,0,0,0,0,0
2.64287,0,0,0,0,0,0,0,0
2.64933,0,0,0,0,0,0,0,0
2.65034,0,0,0,0,0,0,0,0
2.6568,0,0,0,0,0,0,0,0
2.65781,0,0,0,0,0,0,0,0
2.66427,0,0,0,0,0,0,0,0
2.66527,0,0,0,0,0,0,0,0
2.67173,0,0,0,0,0,0,0,0
2.67274,0,0,0,0,0,0,0,0
2.6792,0,0,0,0,0,0,0,0
2.68021,0,0,0,0,0,0,0,0
2.68667,0,0,0,0,0,0,0,0
2.68767,0,0,0,0,0,0,0,0
2.69413,0,0,0,0,0,0,0,0
2.69514,0,0,0,0,0,0,0,0
2.7016,0,0,0,0,0,0,0,0
2.70261,0,0,0,0,0,0,0,0
2.70907,0,0,0,0,0,0,0,0
2.71007,0,0,0,0,0,0,0,0
2.71653,0,0,0,0,0,0,0,0
2.71754,0,0,0,0,0,0,0,0
2.724,0,0,0,0,0,0,0,0
2.72501,0,0,0,0,0,0,0,0
2.73147,0,0,0,0,0,0,0,0
2.73247,0,0,0,0,0,0,0,0
2.73893,0,0,0,0,0,0,0,0
2.73994,0,0,0,0,0,0,0,0
2.7464,0,0,0,0,0,0,0,0
2.74741,0,0,0,0,0,0,0,0
2.75387,0,0,0,0,0,0,0,0
2.75487,0,0,0,0,0,0,0,0
2.76133,0,0,0,0,0,0,0,0
2.76234,0,0,0,0,0,0,0,0
2.7688,0,0,0,0,0,0,0,0
2.76981,0,0,0,0,0,0,0,0
2.77627,0,0,0,0,0,0,0,0
2.77727,0,0,0,0,0,0,0,0
2.78373,0,0,0,0,0,0,0,0
2.78474,0,0,0,0,0,0,0,0
2.7912,0,0,0,0,0,0,0,0
2.79221,0,0,0,0,0,0,0,0
2.79867,0,0,0,0,0,0,0,0
2.79967,0,0,0,0,0,0,0,0
2.80613,0,0,0,0,0,0,0,0
2.80714,0,0,0,0,0,0,0,0
2.8136,0,0,0,0,0,0,0,0
2.81461,0,0,0,0,0,0,0,0
2.82107,0,0,0,0,0,0,0,0
2.82207,0,0,0,0,0,0,0,0
2.82853,0,0,0,0,0,0,0,0
2.82954,0,0,0,0,0,0,0,0
2.836,0,0,0,0,0,0,0,0
2.83701,0,0,0,0,0,0,0,0
2.84347,0,0,0,0,0,0,0,0
2.84447,0,0,0,0,0,0,0,0
2.85093,0,0,0,0,0,0,0,0
2.85194,0,0,0,0,0,0,0,0
2.8584,0,0,0,0,0,0,0,0
2.85941,0,0,0,0,0,0,0,0
2.86587,0,0,0,0,0,0,0,0
2.86687,0,0,0,0,0,0,0,0
2.87333,0,0,0,0,0,0,0,0
2.87434,0,0,0,0,0,0,0,0
2.8808,0,0,0,0,0,0,0,0
2.88181,0,0,0,0,0,0,0,0
2.88827,0,0,0,0,0,0,0,0
2.88927,0,0,0,0,0,0,0,0
2.89573,0,0,0,0,0,0,0,0
2.89674,0,0,0,0,0,0,0,0
2.9032,0,0,0,0,0,0,0,0
2.90421,0,0,0,0,0,0,0,0
2.91067,0,0,0,0,0,0,0,0
2.91167,0,0,0,0,0,0,0,0
2.91813,0,0,0,0,0,0,0,0
2.91914,0,0,0,0,0,0,0,0
2.9256,0,0,0,0,0,0,0,0
2.92661,0,0,0,0,0,0,0,0
