Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM9_th,dAQM10_th,dAQM11_th
0.1,51.5355,73.733,36.9355,127.881,38.2114,92.3692,49.7595,49.7595
0.2,51.5355,73.733,36.9355,127.881,38.2114,92.3692,49.7595,49.7595
0.3,51.5355,73.733,36.9355,127.881,38.2114,92.3692,49.7595,49.7595
0.4,51.5355,73.733,36.9355,127.881,38.2114,92.3692,49.7595,49.7595
0.5,51.5355,73.733,36.9355,127.881,38.2114,92.3692,49.7595,49.7595
0.6,51.5355,73.733,36.9355,127.881,38.2114,92.3692,49.7595,49.7595
0.7,51.5355,73.733,36.9355,127.881,38.2114,92.3692,49.7595,49.7595
0.8,51.5355,73.733,36.9355,127.881,38.2114,92.3692,49.7595,49.7595
0.9,51.5355,73.733,36.9355,127.881,38.2114,92.3692,49.7595,49.7595
1.0,51.5355,73.733,36.9355,127.881,38.2114,92.3692,49.7595,49.7595
1.1,46.3531,67.4682,63.0547,91.802,41.8286,66.88,48.1166,48.1166
1.2,46.3531,67.4682,63.0547,91.802,41.8286,66.88,48.1166,48.1166
1.3,46.3531,67.4682,63.0547,91.802,41.8286,66.88,48.1166,48.1166
1.4,46.3531,67.4682,63.0547,91.802,41.8286,66.88,48.1166,48.1166
1.5,46.3531,67.4682,63.0547,91.802,41.8286,66.88,48.1166,48.1166
1.6,46.3531,67.4682,63.0547,91.802,41.8286,66.88,48.1166,48.1166
1.7,46.3531,67.4682,63.0547,91.802,41.8286,66.88,48.1166,48.1166
1.8,46.3531,67.4682,63.0547,91.802,41.8286,66.88,48.1166,48.1166
1.9,46.3531,67.4682,63.0547,91.802,41.8286,66.88,48.1166,48.1166
2.0,46.3531,67.4682,63.0547,91.802,41.8286,66.88,48.1166,48.1166
2.1,57.8201,59.6667,68.9545,95.0631,42.7228,83.8424,52.0925,52.0925
2.2,57.8201,59.6667,68.9545,95.0631,42.7228,83.8424,52.0925,52.0925
2.3,57.8201,59.6667,68.9545,95.0631,42.7228,83.8424,52.0925,52.0925
2.4,57.8201,59.6667,68.9545,95.0631,42.7228,83.8424,52.0925,52.0925
2.5,57.8201,59.6667,68.9545,95.0631,42.7228,83.8424,52.0925,52.0925
2.6,60.5506,55.7166,55.6824,92.9397,44.0279,86.4971,53.0546,53.0546
2.7,74.9905,70.1543,70.1212,107.377,58.4676,100.935,67.494,67.494
2.8,88.7666,83.9287,83.8965,121.152,72.2434,114.71,81.2696,81.2696
2.9,100.258,95.4184,95.3869,132.642,83.7344,126.2,92.7604,92.7604
3.0,110.601,105.76,105.729,142.984,94.0773,136.543,103.103,103.103
3.1,101.673,91.2537,116.271,106.524,111.078,105.909,110.558,110.558
3.2,122.661,112.282,137.666,127.555,132.049,126.96,131.993,131.993
3.3,141.81,132.055,157.72,146.86,151.13,146.869,152.025,152.025
3.4,160.434,150.564,175.775,165.874,169.335,164.722,170.23,170.713
3.5,169.677,159.361,184.808,175.147,179.01,174.82,178.895,176.403
3.6,161.828,160.683,176.958,162.091,180.223,157.717,176.224,173.732
3.7,172.656,171.511,187.787,172.921,191.053,168.546,187.054,184.562
3.8,182.988,181.842,198.118,183.253,201.385,178.877,197.386,194.894
3.9,191.605,190.459,206.736,191.871,210.003,187.494,206.005,203.513
4.0,199.362,198.216,214.493,199.629,217.76,195.251,213.762,211.27
4.1,173.098,168.658,184.542,174.387,184.242,166.061,195.315,197.826
4.2,181.137,176.697,192.581,182.426,192.277,174.09,203.351,202.92
4.3,188.741,184.295,200.181,190.022,199.879,181.676,210.95,207.913
4.4,195.679,191.232,207.123,196.961,206.814,188.601,217.889,207.133
4.5,201.982,197.544,213.428,203.272,213.127,194.896,224.193,218.614
4.6,205.343,201.844,204.736,206.435,201.729,202.229,216.283,215.683
4.7,216.353,212.851,215.742,217.444,212.734,213.227,227.289,227.786
4.8,226.702,223.207,226.098,227.794,223.078,223.569,237.64,238.134
4.9,235.754,232.255,235.148,236.84,232.134,232.609,246.689,247.19
5.0,243.874,240.373,243.265,244.965,240.259,240.725,254.803,255.309
5.1,208.967,194.117,196.145,197.89,198.075,198.445,208.939,208.946
5.2,215.665,200.816,202.843,204.591,204.778,205.148,215.638,215.645
5.3,221.996,207.148,209.172,210.923,211.103,211.48,221.966,221.973
5.4,227.779,212.923,214.954,216.7,216.888,217.262,227.752,227.759
5.5,233.028,218.185,220.212,221.959,222.147,222.512,233.0,233.007
5.6,233.785,221.84,221.463,221.797,225.913,226.29,224.709,224.165
5.7,242.959,231.013,230.633,230.965,235.078,235.464,233.88,233.335
5.8,251.582,239.634,239.254,239.591,243.707,244.089,242.509,241.964
5.9,259.122,247.169,246.792,247.132,251.249,251.633,250.039,249.494
6.0,265.893,253.947,253.568,253.9,258.014,258.402,256.813,256.267
6.1,232.975,214.957,212.943,213.866,216.784,216.178,214.865,214.453
6.2,238.716,220.699,218.683,219.609,222.529,221.914,220.604,220.198
6.3,244.146,226.124,224.112,225.038,227.957,227.345,226.03,225.624
6.4,249.099,231.078,229.067,229.994,232.911,232.3,230.987,230.583
6.5,253.608,235.587,233.568,234.497,237.417,236.804,235.492,235.085
6.6,237.046,229.261,227.572,228.216,227.615,226.939,226.762,226.714
6.7,246.132,238.345,236.657,237.304,236.703,236.024,235.841,235.797
6.8,254.635,246.85,245.164,245.794,245.202,244.514,244.346,244.3
6.9,262.192,254.388,252.691,253.305,252.752,252.053,251.872,251.842
7.0,269.104,261.31,259.623,260.255,259.666,258.977,258.8,258.77
7.1,231.097,227.195,228.687,224.001,222.857,223.264,226.209,220.611
7.2,236.919,233.145,234.643,229.948,228.807,229.21,232.099,226.564
7.3,242.637,238.736,240.236,235.538,234.391,234.798,237.751,232.148
7.4,247.789,243.891,245.346,240.709,239.509,239.888,242.848,237.264
7.5,252.585,248.689,250.184,245.49,244.342,244.741,247.695,242.094
7.6,237.951,240.875,243.845,238.6,237.964,239.21,242.128,236.53
7.7,245.903,248.823,251.786,246.55,245.917,247.167,250.082,244.481
7.8,253.346,256.26,259.232,253.996,253.366,254.606,257.511,251.917
7.9,259.945,262.854,265.825,260.557,259.962,261.199,264.1,258.501
8.0,265.993,268.903,271.881,266.644,266.019,267.253,270.165,264.563
8.1,240.379,234.809,237.518,233.218,231.564,233.237,235.671,231.426
8.2,245.663,240.093,242.754,238.507,236.848,238.529,240.957,236.712
8.3,250.637,245.067,247.777,243.475,241.821,243.498,245.929,241.673
8.4,255.213,249.607,252.311,248.063,246.4,248.023,250.509,246.21
8.5,259.478,253.908,256.624,252.32,250.659,252.337,254.774,250.524
8.6,255.106,246.928,247.001,247.36,246.273,247.046,246.716,247.416
8.7,262.169,253.992,254.072,254.431,253.332,254.103,253.78,254.483
8.8,268.784,260.605,260.685,261.042,259.956,260.719,260.399,261.099
8.9,274.636,266.466,266.544,266.907,265.783,266.585,266.269,266.932
9.0,280.029,271.859,271.927,272.282,271.196,271.97,271.642,272.343
9.1,241.348,233.574,234.255,234.0,234.114,241.978,235.202,235.155
9.2,245.61,238.369,239.258,238.765,239.014,246.291,239.83,239.432
9.3,250.544,242.499,243.543,243.612,242.513,250.428,244.24,244.074
9.4,253.977,246.086,247.637,247.378,246.802,254.404,246.863,248.311
9.5,257.097,249.966,251.038,250.751,250.513,257.723,251.065,251.694
9.6,244.956,244.459,244.971,244.401,246.926,251.129,245.671,245.835
9.7,251.172,249.696,250.579,248.95,253.512,257.838,252.918,251.249
9.8,256.065,256.159,255.47,254.022,258.267,263.259,258.3,256.231
9.9,262.982,261.819,261.239,258.736,264.31,269.069,263.524,262.032
10.0,267.689,266.164,267.124,262.754,269.778,273.625,268.273,266.107
10.1,237.457,235.541,242.504,229.894,234.55,250.645,232.582,233.316
10.2,240.672,237.717,233.396,233.108,237.07,239.958,236.127,236.485
10.3,243.501,240.744,236.378,237.506,239.464,242.613,239.674,238.954
10.4,247.071,245.45,238.63,240.972,243.36,246.592,243.716,242.947
10.5,250.536,249.955,242.684,244.601,246.418,250.135,247.546,246.388
