Simulation Time,Red_delay,Pie_delay,CoDel_delay,FqCoDel_delay,Cobalt_delay,dAQM9_delay,dAQM10_delay,dAQM11_delay
0.1,38.058,56.8701,65.1926,49.8428,48.1587,51.2843,38.8934,38.8934
0.2,120.436,142.477,133.613,138.332,135.604,138.296,133.535,133.535
0.3,181.129,192.697,188.578,194.8,188.575,192.437,188.64,188.64
0.4,208.222,213.361,221.737,216.218,215.511,214.546,212.709,212.709
0.5,218.364,220.766,233.064,224.563,227.765,223.216,225.599,225.599
0.6,258.934,274.337,270.01,270.084,273.436,271.584,266.193,266.193
0.7,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
0.8,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
0.9,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.0,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.1,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.2,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.3,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.4,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.5,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.6,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.7,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.8,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
1.9,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.0,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.1,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.2,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.3,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.4,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.5,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.6,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.7,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.8,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
2.9,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
3.0,263.612,281.251,274.343,277.075,278.104,277.958,271.606,271.606
3.1,218.738,235.889,228.549,228.225,231.755,233.116,225.894,225.894
3.2,187.553,203.249,201.958,193.466,198.306,205.553,205.484,205.484
3.3,173.074,182.062,186.197,188.474,179.29,207.703,205.951,205.951
3.4,178.721,183.166,183.511,196.593,178.835,215.845,212.197,212.197
3.5,189.674,198.549,193.472,213.016,189.793,222.591,218.379,218.379
3.6,202.948,212.948,202.276,228.966,203.67,232.82,226.915,226.915
3.7,216.223,231.217,215.232,245.419,220.027,246.526,238.621,238.621
3.8,233.298,249.148,234.824,261.262,238.982,259.283,251.634,251.634
3.9,250.945,269.333,255.002,279.189,258.998,273.571,267.659,267.659
