Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
0.1,0.038058,0.0568701,0.0651926,0.0498428,0.0481587,0.0512843,0.0388934,0.0388934
0.2,0.120436,0.142477,0.133613,0.138332,0.135604,0.138296,0.133535,0.133535
0.3,0.181129,0.192697,0.188578,0.1948,0.188575,0.192437,0.18864,0.18864
0.4,0.208222,0.213361,0.221737,0.216218,0.215511,0.214546,0.212709,0.212709
0.5,0.218364,0.220766,0.233064,0.224563,0.227765,0.223216,0.225599,0.225599
0.6,0.258934,0.274337,0.27001,0.270084,0.273436,0.271584,0.266193,0.266193
0.7,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
0.8,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
0.9,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.0,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.1,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.2,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.3,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.4,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.5,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.6,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.7,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.8,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
1.9,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.0,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.1,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.2,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.3,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.4,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.5,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.6,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.7,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.8,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
2.9,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
3.0,0.263612,0.281251,0.274343,0.277075,0.278104,0.277958,0.271606,0.271606
3.1,1.06494,1.08613,1.1178,1.15616,1.07696,1.09556,1.10041,1.10041
3.2,1.84304,1.77731,1.84991,1.88748,1.6674,1.69735,1.82474,1.82474
3.3,2.28689,2.25887,2.28199,2.25871,2.18944,2.27897,2.32808,2.32808
3.4,2.49987,2.57717,2.58306,2.52889,2.48925,2.46653,2.46602,2.46602
3.5,2.61124,2.77386,2.79796,2.68839,2.69293,2.60433,2.60609,2.60609
3.6,2.70416,2.87077,2.87948,2.73324,2.78574,2.68254,2.73777,2.73777
3.7,2.79366,2.91972,2.96641,2.81698,2.82958,2.75749,2.81481,2.81481
3.8,2.89085,2.96612,3.07375,2.93559,2.889,2.82779,2.88899,2.88899
3.9,2.97348,3.01653,3.1636,3.02124,2.9638,2.90651,2.99977,2.99977
4.0,3.02263,3.0903,3.25575,3.07375,3.05585,2.99455,3.10778,3.10778
4.1,3.10719,3.16216,3.30951,3.18681,3.12077,3.09665,3.20271,3.20271
4.2,3.18907,3.22995,3.39336,3.28209,3.17981,3.19987,3.34656,3.34656
4.3,3.29477,3.32937,3.46951,3.39546,3.23718,3.3429,3.41572,3.41572
4.4,3.40543,3.42577,3.59249,3.4919,3.30477,3.50931,3.52077,3.52077
4.5,3.56947,3.51727,3.6765,3.60962,3.37854,3.59461,3.67708,3.67708
4.6,3.69701,3.59243,3.73029,3.69307,3.47394,3.719,3.7917,3.7917
