Simulation Time,Red_sj,Pie_sj,CoDel_sj,FqCoDel_sj,Cobalt_sj,dAQM9_sj,dAQM10_sj,dAQM11_sj
0.0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0
0.00100026,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
0.00200126,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0
0.00300226,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0
0.00400326,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0
0.00500426,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0
0.00600526,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0
