Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM9_th,dAQM10_th,dAQM11_th
0.1,32.2503,12.4255,9.39484,12.5663,16.1846,15.562,23.5854,23.5854
0.2,12.6453,4.39045,4.4103,4.55343,5.88476,5.27351,7.13465,7.13465
0.3,7.49088,3.14784,3.14119,3.13598,3.97842,3.55798,4.57671,4.57671
0.4,6.37747,2.88362,2.70359,2.85529,3.48489,3.18261,3.98047,3.98047
0.5,5.62991,2.78925,2.52993,2.74621,3.27335,3.02554,3.63686,3.63686
0.6,4.24499,2.06353,2.02663,2.06086,2.40671,2.25599,2.7523,2.7523
0.7,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
0.8,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
0.9,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.0,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.1,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.2,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.3,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.4,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.5,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.6,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.7,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.8,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
1.9,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.0,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.1,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.2,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.3,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.4,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.5,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.6,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.7,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.8,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
2.9,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
3.0,3.8371,1.92485,1.89879,1.93396,2.24424,2.1015,2.54978,2.54978
3.1,3.63224,1.64358,1.59131,1.51561,1.95857,1.69851,2.19512,2.19512
3.2,3.43391,1.50422,1.44079,1.29554,1.95622,1.8792,2.22613,2.22613
3.3,3.91034,1.85291,1.73309,2.01733,1.77047,2.33394,2.76187,2.76187
3.4,4.98287,2.53712,2.51884,3.17452,2.61549,3.49821,4.12751,4.12751
3.5,6.28875,3.74716,3.60286,4.49207,3.83186,4.8322,5.44006,5.44006
3.6,7.67644,5.13395,4.76508,5.95243,5.26624,6.24066,6.7511,6.7511
3.7,8.97477,6.5463,5.91966,7.28136,6.70551,7.57321,8.09423,8.09423
3.8,10.2416,7.9039,7.02312,8.4298,8.00752,8.87576,9.38009,9.38009
3.9,11.3853,9.21073,8.2408,9.64914,9.21774,10.0601,10.5288,10.5288
4.0,12.572,10.3807,9.37802,10.8428,10.381,11.2138,11.1172,11.1172
4.1,13.6988,11.5117,10.5912,11.9287,11.5545,12.2833,12.1982,12.1982
4.2,14.5711,12.604,11.5952,12.9347,12.7071,13.2687,13.184,13.184
4.3,15.62,13.6014,12.6631,13.9202,13.7718,14.2187,14.2062,14.2062
4.4,16.5816,14.5969,13.6199,14.8476,14.7669,15.0922,15.1356,15.1356
4.5,17.1893,15.5081,14.5552,15.7286,15.7123,15.9768,15.9962,15.9962
4.6,18.0784,16.3802,15.5304,16.584,16.5804,16.9047,16.8404,16.8404
4.7,18.8734,17.2719,16.3453,17.4842,17.4357,17.6052,17.7498,17.7498
4.8,19.6805,18.0764,17.1957,18.3034,18.2284,18.4076,18.5464,18.5464
4.9,19.9499,18.8642,18.0141,19.0793,19.0208,19.2408,19.3558,19.3558
5.0,20.7167,19.6179,18.8154,19.8427,19.7378,20.0069,20.1404,20.1404
5.1,21.4687,20.4214,19.5338,20.6067,20.4466,20.7343,20.9232,20.9232
5.2,22.2218,21.179,20.3035,21.3328,21.1889,21.4313,21.6045,21.6045
5.3,22.9121,21.7206,20.9857,22.0076,21.8673,22.1674,22.2569,22.2569
5.4,23.5031,22.3793,21.557,22.6439,22.4323,22.8052,22.9047,22.9047
5.5,24.0851,23.0809,22.2225,23.2566,22.9644,23.4676,23.51,23.51
