Simulation Time,Red_delay,Pie_delay,CoDel_delay,FqCoDel_delay,Cobalt_delay,dAQM9_delay,dAQM10_delay,dAQM11_delay
0.1,43.1946,29.7464,35.8647,32.8255,32.9229,28.6506,28.6506,41.3391
0.2,139.564,128.717,126.13,128.123,118.537,126.329,126.329,133.744
0.3,189.79,187.803,187.92,185.27,184.948,185.353,185.353,191.271
0.4,212.011,213.34,221.9,218.611,216.774,211.772,211.772,218.102
0.5,233.694,226.672,230.616,231.781,227.087,222.784,222.784,230.085
0.6,266.836,268.076,267.508,260.841,264.043,264.197,264.197,269.682
0.7,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
0.8,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
0.9,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
1.0,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
1.1,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
1.2,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
1.3,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
1.4,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
1.5,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
1.6,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
1.7,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
1.8,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
1.9,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
2.0,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
2.1,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
2.2,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
2.3,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
2.4,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
2.5,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
2.6,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
2.7,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
2.8,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
2.9,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
3.0,273.716,271.174,269.323,270.169,266.103,269.812,269.812,275.295
3.1,225.066,226.278,222.823,220.655,222.654,225.154,225.154,226.257
3.2,193.77,193.578,195.622,192.78,202.593,197.09,197.09,197.025
3.3,187.445,178.597,193.917,189.809,194.559,186.478,186.478,192.207
3.4,200.805,176.021,200.719,201.53,198.549,189.749,189.749,194.945
3.5,214.546,189.268,208.868,213.278,209.833,193.493,193.493,205.912
3.6,228.447,202.512,218.759,226.97,219.783,203.757,203.757,216.244
3.7,241.651,218.52,231.032,237.91,230.341,215.878,215.878,227.02
3.8,257.698,236.69,247.616,253.12,246.583,229.996,229.996,239.851
3.9,275.909,256.105,263.881,270.821,260.977,247.04,247.04,251.373
4.0,291.016,276.309,284.206,287.321,281.38,264.429,264.429,268.485
4.1,312.821,299.019,304.751,306.497,301.75,282.839,282.839,287.685
4.2,333.194,324.375,324.419,326.562,324.709,305.524,305.524,304.592
4.3,352.439,350.956,346.781,348.634,343.287,323.317,323.317,322.873
4.4,375.55,376.791,368.664,372.795,366.321,341.173,341.173,341.648
4.5,397.933,401.924,397.655,394.338,392.031,365.955,365.955,363.363
4.6,419.023,431.383,423.955,415.107,418.024,389.795,389.795,387.6
4.7,439.554,453.647,449.879,440.907,435.213,420.179,420.179,409.056
4.8,462.847,484.822,480.976,468.926,459.971,448.753,448.753,433.581
4.9,483.025,508.601,507.177,496.858,485.031,475.434,475.434,451.636
5.0,511.325,530.024,538.228,521.103,512.448,507.488,507.488,479.366
5.1,539.406,555.175,565.595,546.768,538.489,540.3,540.3,502.98
5.2,569.553,584.449,591.222,577.553,564.458,572.858,572.858,525.932
5.3,596.993,611.457,617.023,612.191,601.733,603.404,603.404,549.973
5.4,629.671,641.161,642.269,642.89,631.884,628.347,628.347,585.469
5.5,664.005,665.822,667.78,676.614,657.987,655.132,655.132,619.199
5.6,693.797,705.075,698.431,702.579,688.039,687.407,687.407,649.509
5.7,718.319,734.062,734.822,729.518,710.119,716.785,716.785,684.291
5.8,747.378,768.612,768.934,754.458,739.102,753.794,753.794,710.767
5.9,771.724,792.339,811.166,789.821,760.945,777.65,777.65,738.814
6.0,800.579,821.07,833.183,824.397,789.378,809.097,809.097,772.222
6.1,835.247,854.84,859.389,856.499,824.372,840.152,840.152,807.987
6.2,869.674,888.54,886.307,879.461,854.81,866.261,866.261,839.071
6.3,902.744,920.525,917.069,913.76,892.834,893.066,893.066,869.017
6.4,932.251,964.259,951.035,941.507,921.661,919.424,919.424,894.464
6.5,964.942,1011.23,990.07,980.941,958.295,943.557,943.557,923.786
6.6,996.954,1042.83,1019.17,1018.26,998.222,975.702,975.702,969.217
6.7,1023.03,1073.95,1050.46,1057.72,1024.48,1003.34,1003.34,996.087
6.8,1057.78,1112.39,1093.12,1089.57,1052.73,1033.78,1033.78,1027.28
6.9,1090.46,1142.83,1123.09,1121.11,1081.17,1059.0,1059.0,1063.96
7.0,1126.62,1167.19,1155.63,1159.31,1112.25,1094.51,1094.51,1100.29
7.1,1157.26,1204.39,1187.39,1200.31,1154.04,1133.31,1133.31,1132.78
7.2,1187.78,1240.7,1229.97,1229.45,1196.76,1158.93,1158.93,1158.46
7.3,1222.77,1281.43,1262.99,1264.74,1229.6,1188.54,1188.54,1194.61
7.4,1252.21,1326.65,1295.47,1291.89,1257.54,1216.7,1216.7,1229.03
7.5,1303.28,1365.73,1326.08,1335.43,1289.83,1247.95,1247.95,1257.8
7.6,1342.46,1401.56,1356.95,1360.56,1327.56,1276.63,1276.63,1282.44
7.7,1377.72,1434.71,1390.07,1384.86,1359.1,1306.35,1306.35,1307.48
7.8,1411.57,1464.93,1424.69,1418.37,1382.46,1331.79,1331.79,1344.97
7.9,1437.28,1507.27,1455.43,1455.32,1426.74,1359.73,1359.73,1370.76
8.0,1481.75,1539.71,1480.99,1488.94,1459.45,1387.08,1387.08,1392.78
8.1,1512.66,1579.3,1503.46,1545.17,1499.83,1421.86,1421.86,1426.15
8.2,1547.03,1608.83,1541.13,1573.67,1543.2,1456.42,1456.42,1460.45
8.3,1583.77,1639.57,1568.87,1618.45,1573.78,1495.43,1495.43,1488.99
8.4,1624.86,1676.9,1611.68,1650.42,1612.98,1524.77,1524.77,1513.59
8.5,1662.18,1717.07,1647.31,1671.15,1641.7,1564.62,1564.62,1549.46
8.6,1687.96,1748.26,1689.61,1713.05,1673.95,1604.01,1604.01,1590.94
8.7,1736.1,1777.6,1716.57,1748.49,1696.95,1643.91,1643.91,1642.01
8.8,1782.69,1826.25,1762.22,1777.53,1734.38,1672.15,1672.15,1675.13
8.9,1822.84,1863.43,1803.93,1811.5,1772.49,1713.14,1713.14,1711.23
9.0,1847.14,1907.45,1828.89,1848.2,1812.82,1744.16,1744.16,1742.48
9.1,1879.01,1950.9,1876.08,1903.33,1844.07,1783.56,1783.56,1771.5
9.2,1932.4,1979.13,1913.5,1936.27,1893.87,1817.26,1817.26,1810.49
9.3,1970.17,2007.79,1956.6,1976.28,1933.31,1854.76,1854.76,1847.0
9.4,1996.1,2042.54,1995.54,2024.07,1964.11,1895.21,1895.21,1873.34
9.5,2043.33,2079.55,2064.59,2057.81,2000.16,1923.08,1923.08,1914.75
9.6,2075.11,2117.02,2098.56,2089.02,2055.8,1966.68,1966.68,1962.34
9.7,2105.77,2159.06,2142.05,2124.16,2088.97,2002.92,2002.92,1987.22
9.8,2132.82,2193.51,2189.05,2164.29,2137.57,2028.05,2028.05,2028.49
9.9,2155.95,2240.43,2237.45,2211.6,2178.99,2071.88,2071.88,2059.79
10.0,2192.9,2269.88,2285.65,2262.34,2214.61,2109.95,2109.95,2086.52
10.1,2244.76,2303.75,2336.41,2314.25,2255.68,2139.25,2139.25,2112.5
10.2,2293.71,2338.55,2378.4,2352.44,2296.65,2171.17,2171.17,2143.41
10.3,2325.57,2381.71,2413.16,2383.94,2327.74,2209.72,2209.72,2173.35
10.4,2373.68,2416.65,2444.92,2424.09,2374.54,2253.02,2253.02,2218.75
10.5,2403.24,2457.37,2502.55,2458.22,2425.04,2289.63,2289.63,2250.26
10.6,2446.12,2504.57,2531.0,2503.94,2471.72,2313.28,2313.28,2270.83
10.7,2477.61,2540.33,2565.7,2537.7,2508.15,2350.05,2350.05,2315.82
10.8,2521.61,2583.81,2595.79,2580.22,2552.37,2380.37,2380.37,2341.49
10.9,2570.21,2618.41,2628.47,2613.7,2596.69,2410.83,2410.83,2379.92
11.0,2608.88,2657.72,2659.11,2640.79,2640.88,2452.94,2452.94,2409.87
11.1,2643.72,2701.04,2687.2,2665.38,2684.62,2493.95,2493.95,2448.98
11.2,2672.8,2734.93,2740.38,2684.53,2717.76,2527.27,2527.27,2480.79
11.3,2706.69,2758.49,2767.81,2704.95,2748.94,2566.2,2564.32,2504.72
11.4,2744.73,2789.35,2808.96,2719.95,2792.0,2593.35,2592.61,2541.08
