Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
0.1,0.0431946,0.0297464,0.0358647,0.0328255,0.0329229,0.0286506,0.0286506,0.0413391
0.2,0.139564,0.128717,0.12613,0.128123,0.118537,0.126329,0.126329,0.133744
0.3,0.18979,0.187803,0.18792,0.18527,0.184948,0.185353,0.185353,0.191271
0.4,0.212011,0.21334,0.2219,0.218611,0.216774,0.211772,0.211772,0.218102
0.5,0.233694,0.226672,0.230616,0.231781,0.227087,0.222784,0.222784,0.230085
0.6,0.266836,0.268076,0.267508,0.260841,0.264043,0.264197,0.264197,0.269682
0.7,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
0.8,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
0.9,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
1.0,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
1.1,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
1.2,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
1.3,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
1.4,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
1.5,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
1.6,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
1.7,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
1.8,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
1.9,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
2.0,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
2.1,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
2.2,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
2.3,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
2.4,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
2.5,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
2.6,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
2.7,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
2.8,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
2.9,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
3.0,0.273716,0.271174,0.269323,0.270169,0.266103,0.269812,0.269812,0.275295
3.1,1.09388,1.09834,1.1243,1.13151,1.08699,1.11552,1.11552,1.18308
3.2,1.75705,1.7471,1.73725,1.78666,1.7769,1.71356,1.71356,1.79694
3.3,2.21759,2.25478,2.28896,2.30621,2.16667,2.25132,2.25132,2.24871
3.4,2.52438,2.61233,2.53755,2.51419,2.38545,2.50664,2.50664,2.48729
3.5,2.63931,2.8397,2.68126,2.61647,2.54751,2.6867,2.6867,2.59494
3.6,2.72369,2.91889,2.79387,2.67346,2.69629,2.75134,2.75134,2.67077
3.7,2.84954,2.98081,2.87264,2.83442,2.80016,2.81939,2.81939,2.76632
3.8,2.96852,3.04983,2.95455,2.90944,2.94947,2.88699,2.88699,2.90653
3.9,3.04236,3.12042,2.99594,3.03965,2.9954,2.98596,2.98596,2.9658
4.0,3.13974,3.1702,3.10662,3.08966,3.11163,3.04233,3.04233,3.07351
4.1,3.26147,3.23464,3.17683,3.19738,3.1896,3.12062,3.12062,3.15741
4.2,3.35474,3.32243,3.24885,3.28947,3.32044,3.24892,3.24892,3.23195
4.3,3.40398,3.43738,3.32915,3.40506,3.43179,3.32094,3.32094,3.30108
4.4,3.4834,3.5418,3.41157,3.55,3.56639,3.37387,3.37387,3.37947
4.5,3.65129,3.61049,3.52729,3.61698,3.69862,3.47269,3.47269,3.48954
4.6,3.71816,3.73287,3.62921,3.69113,3.80543,3.59464,3.59464,3.60987
4.7,3.77247,3.80092,3.70159,3.80171,3.84939,3.74709,3.74709,3.70769
4.8,3.87488,3.91874,3.81162,3.89849,3.90685,3.86506,3.86506,3.82441
4.9,3.9174,4.00128,3.90885,3.98164,4.01647,3.93003,3.93003,3.87565
5.0,4.00109,4.04794,4.02987,4.04584,4.09066,3.99858,3.99858,4.00672
5.1,4.07924,4.09849,4.12252,4.14218,4.16945,4.12212,4.12212,4.07016
5.2,4.16714,4.19437,4.19097,4.23226,4.26171,4.25158,4.25158,4.15683
5.3,4.25913,4.26173,4.24675,4.32987,4.39293,4.32441,4.32441,4.20924
5.4,4.36937,4.34226,4.32564,4.40217,4.47849,4.37851,4.37851,4.31949
5.5,4.49202,4.39822,4.382,4.51641,4.53951,4.46789,4.46789,4.44553
5.6,4.58516,4.53688,4.45764,4.57851,4.63654,4.53887,4.53887,4.51724
5.7,4.64498,4.59761,4.62307,4.63358,4.67929,4.61971,4.61971,4.67669
5.8,4.71588,4.71201,4.741,4.69197,4.74429,4.7453,4.7453,4.77167
5.9,4.77424,4.77256,4.86837,4.83066,4.79243,4.78561,4.78561,4.83225
6.0,4.86979,4.84222,4.92022,4.93,4.86789,4.88935,4.88935,4.97066
6.1,4.9762,4.93701,4.98542,5.00903,4.96135,4.95711,4.95711,5.06935
6.2,5.09791,5.01945,5.04784,5.05955,5.03343,5.02121,5.02121,5.13745
6.3,5.18915,5.10322,5.1183,5.14191,5.15308,5.0768,5.0768,5.19821
6.4,5.29015,5.24808,5.2146,5.20353,5.22003,5.13144,5.13144,5.25347
6.5,5.37426,5.41731,5.3566,5.31414,5.33952,5.18214,5.18214,5.33496
6.6,5.4516,5.48815,5.4181,5.41395,5.49482,5.27349,5.27349,5.47039
6.7,5.5199,5.54526,5.488,5.51974,5.55992,5.33869,5.33869,5.54535
6.8,5.59433,5.64917,5.61521,5.57343,5.63153,5.40842,5.40842,5.64931
6.9,5.67573,5.72489,5.70281,5.65901,5.71428,5.46741,5.46741,5.73151
7.0,5.76373,5.77485,5.77327,5.77844,5.77551,5.55797,5.55797,5.82224
7.1,5.83323,5.86526,5.82582,5.90332,5.87052,5.66182,5.66182,5.89219
7.2,5.89498,5.96215,5.92916,5.97618,5.99066,5.70825,5.70825,5.94385
7.3,5.9937,6.07243,6.00557,6.07757,6.08056,5.79329,5.79329,6.06087
7.4,6.06288,6.19021,6.08933,6.12211,6.15112,5.85506,5.85506,6.13359
7.5,6.21826,6.2767,6.16271,6.25815,6.23986,5.93225,5.93225,6.19481
