Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM9_th,dAQM10_th,dAQM11_th
0.1,39.4486,38.4455,35.9548,33.6598,35.5375,49.0823,49.0823,31.4552
0.2,7.93422,11.3417,11.9219,10.047,13.9802,15.4148,15.4148,9.01912
0.3,5.03154,6.51974,6.72642,6.08709,7.62075,8.77674,8.77674,5.41037
0.4,4.44172,5.57186,5.42894,5.0474,6.28879,7.42665,7.42665,4.58981
0.5,3.8903,5.16898,5.121,4.59981,5.84014,6.91834,6.91834,4.27237
0.6,2.95753,3.72384,3.6882,3.46545,4.2731,4.88022,4.88022,3.13384
0.7,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
0.8,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
0.9,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
1.0,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
1.1,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
1.2,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
1.3,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
1.4,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
1.5,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
1.6,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
1.7,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
1.8,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
1.9,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
2.0,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
2.1,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
2.2,2.71869,3.37332,3.39537,3.14633,3.88298,4.36612,4.36612,2.87095
