Simulation Time,Red_delay,Pie_delay,CoDel_delay,FqCoDel_delay,Cobalt_delay,dAQM9_delay,dAQM10_delay,dAQM11_delay
0.1,16.7386,16.3649,13.8214,10.5399,12.9528,19.9678,19.9678,19.9678
0.2,63.2014,67.6545,68.3405,56.8624,52.3766,60.3651,60.3651,60.3651
0.3,113.014,91.0714,106.589,117.299,101.734,115.893,115.893,115.893
0.4,141.576,143.824,124.316,156.407,135.567,147.386,147.386,147.386
0.5,173.503,148.524,148.21,200.382,156.959,167.854,167.854,167.854
0.6,195.107,211.104,187.992,230.708,193.562,215.602,215.602,215.602
0.7,242.616,227.691,212.969,249.57,229.09,237.548,237.548,237.548
0.8,254.982,247.248,250.912,278.536,251.075,273.755,273.755,273.755
0.9,302.186,262.672,280.429,285.473,270.845,291.504,291.504,291.504
1.0,353.89,299.133,312.143,310.977,311.953,326.79,326.79,326.79
1.1,362.557,311.652,313.651,319.917,336.641,354.877,354.877,354.877
1.2,377.563,328.866,318.301,333.407,346.829,375.739,375.739,375.739
1.3,408.917,352.916,348.925,387.251,369.454,403.673,403.673,403.673
1.4,413.777,367.209,385.134,418.069,404.445,418.746,418.746,418.746
1.5,416.441,385.514,413.483,438.379,416.437,444.763,444.763,444.763
1.6,422.891,414.365,440.109,471.544,410.428,479.633,479.633,479.633
1.7,448.601,474.99,472.157,479.515,442.384,494.689,494.689,494.689
1.8,457.394,485.712,489.713,487.118,480.101,513.454,513.454,513.454
1.9,498.999,513.361,500.677,525.032,506.57,540.509,540.509,540.509
2.0,535.745,524.465,536.867,531.337,522.263,557.762,557.762,557.762
2.1,559.634,528.919,551.269,543.826,565.455,587.174,587.174,587.174
2.2,589.157,525.08,560.746,560.503,582.655,604.089,604.089,604.089
2.3,625.024,537.047,558.045,583.886,590.827,606.947,606.947,606.947
2.4,638.62,566.962,571.528,604.853,610.746,621.54,621.54,621.54
2.5,656.074,615.083,618.796,621.757,629.378,649.328,649.328,649.328
2.6,666.561,668.137,629.586,641.886,643.476,686.869,686.869,686.869
2.7,686.569,699.615,656.916,662.718,681.743,702.939,702.939,702.939
2.8,695.155,716.159,670.321,688.617,717.652,721.029,721.029,721.029
2.9,703.43,722.314,679.925,713.143,727.772,746.353,746.353,746.353
3.0,725.411,738.631,708.441,736.798,742.424,765.486,765.486,765.486
3.1,744.212,748.599,725.154,763.739,751.309,786.413,786.413,786.413
3.2,791.522,779.895,737.808,788.88,768.481,811.778,811.778,811.778
3.3,815.039,786.091,749.742,815.389,781.156,830.184,830.184,830.184
3.4,839.04,801.737,770.295,841.377,797.766,854.79,854.79,854.79
3.5,854.593,817.652,792.418,868.185,823.125,877.565,877.565,877.565
3.6,880.275,837.416,817.254,893.053,846.978,904.038,904.038,904.038
3.7,903.025,860.496,843.543,922.471,870.471,933.656,933.656,933.656
3.8,926.589,879.994,869.593,950.518,896.39,958.758,958.758,958.758
3.9,952.781,900.825,895.567,980.161,922.604,985.231,985.231,985.231
4.0,976.582,923.239,923.101,1008.77,947.849,1010.14,1010.14,1010.14
4.1,998.918,947.933,948.934,1038.66,973.722,1038.52,1038.52,1038.52
4.2,1027.09,972.081,975.661,1067.2,999.019,1067.3,1067.3,1067.3
4.3,1054.02,996.66,1004.66,1095.0,1025.24,1093.47,1093.47,1093.47
4.4,1081.85,1021.8,1031.42,1124.85,1052.41,1121.87,1121.87,1121.87
4.5,1110.69,1048.37,1058.42,1154.98,1080.0,1151.31,1151.31,1151.31
4.6,1138.61,1075.25,1085.16,1184.27,1108.26,1178.46,1178.46,1178.46
4.7,1167.24,1101.94,1113.32,1212.81,1136.16,1207.75,1207.75,1207.75
4.8,1193.27,1128.52,1142.17,1243.73,1163.29,1235.95,1235.95,1235.95
4.9,1220.28,1155.93,1169.09,1275.23,1192.35,1265.06,1265.06,1265.06
5.0,1250.1,1182.28,1196.08,1303.77,1220.0,1294.39,1294.39,1294.39
5.1,1278.29,1207.97,1225.74,1335.35,1248.0,1324.16,1324.16,1324.16
5.2,1306.3,1235.38,1251.88,1362.62,1277.0,1352.44,1352.44,1352.44
5.3,1336.35,1262.08,1279.25,1392.03,1304.91,1383.85,1383.85,1383.85
5.4,1365.26,1291.3,1308.18,1421.56,1333.57,1411.96,1411.96,1411.96
5.5,1393.17,1319.79,1336.51,1451.4,1362.38,1443.11,1443.11,1443.11
5.6,1421.59,1348.92,1364.4,1482.04,1391.28,1472.41,1472.41,1472.41
5.7,1449.66,1377.33,1391.57,1512.29,1420.24,1502.63,1502.63,1502.63
5.8,1477.03,1405.35,1419.1,1543.38,1448.41,1531.41,1531.41,1531.41
5.9,1505.72,1433.78,1447.86,1574.06,1478.85,1559.55,1559.55,1559.55
6.0,1534.44,1461.42,1477.46,1605.48,1506.82,1591.23,1591.23,1591.23
6.1,1563.62,1490.4,1504.85,1636.57,1536.72,1620.71,1620.71,1620.71
6.2,1594.24,1517.12,1532.74,1666.33,1565.26,1651.59,1651.59,1651.59
6.3,1622.24,1543.17,1560.71,1694.86,1594.75,1681.99,1681.99,1681.99
6.4,1652.69,1572.65,1589.57,1724.5,1625.02,1711.51,1711.51,1711.51
6.5,1683.52,1597.75,1619.84,1755.33,1654.09,1740.89,1740.89,1740.89
6.6,1712.79,1626.8,1649.18,1786.64,1681.54,1771.21,1771.21,1771.21
6.7,1742.45,1655.23,1679.9,1818.23,1711.44,1802.28,1802.28,1802.28
6.8,1772.82,1683.97,1706.91,1848.74,1739.95,1831.33,1831.33,1831.33
6.9,1802.73,1714.33,1736.7,1879.28,1768.31,1863.55,1863.55,1863.55
7.0,1833.7,1744.43,1763.4,1910.98,1797.96,1895.02,1895.02,1895.02
7.1,1864.98,1773.56,1794.85,1941.01,1828.4,1924.77,1924.77,1924.77
7.2,1895.45,1802.3,1822.58,1972.55,1857.68,1954.85,1954.85,1954.85
7.3,1923.64,1830.62,1853.17,2003.12,1886.48,1984.44,1984.44,1984.44
7.4,1954.18,1860.63,1883.54,2034.16,1917.23,2015.18,2015.18,2015.18
7.5,1984.18,1891.35,1914.39,2062.9,1947.03,2043.94,2043.94,2043.94
7.6,2014.53,1921.89,1942.83,2094.4,1976.46,2074.59,2074.59,2074.59
7.7,2044.73,1949.29,1972.4,2123.21,2006.49,2104.64,2104.64,2104.64
7.8,2075.37,1979.29,2001.65,2153.09,2035.3,2135.05,2135.05,2135.05
7.9,2106.0,2007.57,2031.31,2184.56,2064.85,2165.53,2165.53,2165.53
