Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
0.1,0.0282006,0.0224452,0.0223227,0.027354,0.0285949,0.0246558,0.0246558,0.0246558
0.2,0.123452,0.108048,0.119913,0.113384,0.132228,0.113539,0.113539,0.113539
0.3,0.211779,0.218029,0.21151,0.215558,0.2127,0.215672,0.215672,0.215672
0.4,0.301099,0.313565,0.315072,0.297877,0.292532,0.299189,0.299189,0.299189
0.5,0.37977,0.406667,0.402851,0.385668,0.397637,0.383748,0.383748,0.383748
0.6,0.479618,0.488777,0.493254,0.483181,0.484436,0.484576,0.484576,0.484576
0.7,0.565287,0.578572,0.581087,0.567274,0.56595,0.569552,0.569552,0.569552
0.8,0.659354,0.659639,0.664821,0.645442,0.673858,0.65974,0.65974,0.65974
0.9,0.750606,0.758062,0.77016,0.763217,0.76042,0.754168,0.754168,0.754168
1.0,0.837363,0.857525,0.854675,0.838854,0.85943,0.842382,0.842382,0.842382
1.1,0.941674,0.940975,0.947073,0.93001,0.942788,0.931501,0.931501,0.931501
1.2,1.03375,1.04756,1.03247,1.03441,1.04088,1.01892,1.01892,1.01892
1.3,1.12446,1.13499,1.14295,1.12505,1.13238,1.11618,1.11618,1.11618
1.4,1.22766,1.2294,1.2324,1.22117,1.22688,1.21647,1.21647,1.21647
1.5,1.32297,1.34166,1.33654,1.32899,1.32363,1.33181,1.33181,1.33181
1.6,1.42756,1.43064,1.43562,1.42084,1.43099,1.42011,1.42011,1.42011
1.7,1.5264,1.52348,1.52735,1.52839,1.53464,1.51802,1.51802,1.51802
1.8,1.62372,1.63541,1.62634,1.62439,1.6305,1.62794,1.62794,1.62794
1.9,1.72549,1.72304,1.71464,1.72877,1.73215,1.72293,1.72293,1.72293
2.0,1.82712,1.81773,1.82931,1.82188,1.82167,1.81854,1.81854,1.81854
2.1,1.9256,1.92641,1.92808,1.92191,1.92169,1.91596,1.91596,1.91596
2.2,2.02114,2.0327,2.02628,2.02953,2.01519,2.01087,2.01087,2.01087
2.3,2.12415,2.12322,2.12802,2.12898,2.10815,2.11476,2.11476,2.11476
2.4,2.20032,2.23739,2.24271,2.22232,2.22068,2.21524,2.21524,2.21524
2.5,2.30399,2.30868,2.33308,2.32787,2.31324,2.31697,2.31697,2.31697
2.6,2.40434,2.42703,2.41954,2.42502,2.42261,2.42055,2.42055,2.42055
2.7,2.50641,2.51524,2.53466,2.52331,2.5224,2.51092,2.51092,2.51092
2.8,2.61005,2.61782,2.63134,2.6137,2.60483,2.59224,2.59224,2.59224
2.9,2.70478,2.71646,2.72378,2.71554,2.69899,2.70115,2.70115,2.70115
3.0,2.81669,2.81976,2.81298,2.82325,2.81081,2.79427,2.79427,2.79427
3.1,2.91202,2.92461,2.91837,2.91989,2.90085,2.89278,2.89278,2.89278
3.2,3.02028,3.01698,3.02634,3.01209,3.0078,3.00122,3.00122,3.00122
3.3,3.11785,3.116,3.10921,3.11875,3.10558,3.09894,3.09894,3.09894
3.4,3.21108,3.22371,3.22132,3.22577,3.21022,3.20974,3.20974,3.20974
3.5,3.30789,3.32082,3.32701,3.31766,3.30569,3.31207,3.31207,3.31207
3.6,3.41184,3.4092,3.42416,3.40363,3.417,3.40063,3.40063,3.40063
3.7,3.51843,3.52284,3.52234,3.51288,3.51294,3.50694,3.50694,3.50694
3.8,3.62839,3.61684,3.61547,3.61147,3.61625,3.61363,3.61363,3.61363
3.9,3.73279,3.71889,3.71785,3.71502,3.72795,3.70241,3.70241,3.70241
4.0,3.82408,3.81833,3.81682,3.81247,3.82623,3.80944,3.80944,3.80944
4.1,3.90328,3.92295,3.90935,3.91978,3.92048,3.90605,3.90605,3.90605
4.2,4.0098,4.00236,4.02184,4.01646,4.0134,4.01822,4.01822,4.01822
4.3,4.1131,4.1098,4.12965,4.11925,4.10553,4.10816,4.10816,4.10816
4.4,4.21389,4.21526,4.22733,4.22325,4.22511,4.20237,4.20237,4.20237
4.5,4.3087,4.31563,4.33499,4.32139,4.31769,4.30969,4.30969,4.30969
4.6,4.41761,4.42227,4.41679,4.41278,4.42409,4.41387,4.41387,4.41387
4.7,4.52647,4.521,4.52152,4.51592,4.51245,4.50753,4.50753,4.50753
4.8,4.61433,4.61112,4.62146,4.61797,4.60751,4.6047,4.6047,4.6047
4.9,4.71475,4.71675,4.71408,4.72356,4.71408,4.71204,4.71204,4.71204
5.0,4.81054,4.82002,4.82362,4.80464,4.82168,4.81178,4.81178,4.81178
5.1,4.9219,4.91459,4.92866,4.91889,4.90998,4.91403,4.91403,4.91403
5.2,5.02494,5.0153,5.0108,4.99819,5.02244,5.02074,5.02074,5.02074
5.3,5.1284,5.11902,5.11434,5.1103,5.11327,5.10968,5.10968,5.10968
5.4,5.22727,5.21938,5.21848,5.2171,5.20975,5.20486,5.20486,5.20486
5.5,5.31959,5.31965,5.32352,5.31925,5.3167,5.31175,5.31175,5.31175
5.6,5.42278,5.42109,5.42535,5.41909,5.41717,5.4083,5.4083,5.4083
5.7,5.51912,5.52226,5.53026,5.51761,5.51916,5.51651,5.51651,5.51651
5.8,5.60936,5.61062,5.62128,5.61947,5.61793,5.5992,5.5992,5.5992
5.9,5.71486,5.70406,5.72224,5.72352,5.71449,5.70035,5.70035,5.70035
6.0,5.81769,5.82154,5.82408,5.82313,5.80458,5.80275,5.80275,5.80275
6.1,5.91628,5.92993,5.91814,5.92531,5.91571,5.90998,5.90998,5.90998
6.2,6.02047,6.02025,6.01933,6.01574,6.01173,6.00317,6.00317,6.00317
6.3,6.1098,6.11339,6.11621,6.10847,6.10724,6.09619,6.09619,6.09619
6.4,6.21253,6.21571,6.21063,6.20737,6.21815,6.19815,6.19815,6.19815
6.5,6.31574,6.31786,6.32462,6.32793,6.31151,6.30613,6.30613,6.30613
6.6,6.41426,6.416,6.42579,6.42148,6.40607,6.41269,6.41269,6.41269
6.7,6.50669,6.51485,6.52716,6.53171,6.51016,6.51559,6.51559,6.51559
6.8,6.6017,6.59945,6.63505,6.6183,6.60845,6.60672,6.60672,6.60672
6.9,6.70998,6.71785,6.73146,6.71392,6.70515,6.71157,6.71157,6.71157
7.0,6.82547,6.81123,6.82242,6.8242,6.80904,6.82225,6.82225,6.82225
7.1,6.93032,6.91954,6.92194,6.9131,6.89773,6.91368,6.91368,6.91368
7.2,7.02251,7.0198,7.0196,7.02222,7.00135,7.00633,7.00633,7.00633
7.3,7.11534,7.11871,7.13223,7.11518,7.10558,7.11046,7.11046,7.11046
7.4,7.21,7.2203,7.23005,7.21797,7.20983,7.21133,7.21133,7.21133
7.5,7.32202,7.31912,7.31555,7.32707,7.30673,7.29879,7.29879,7.29879
7.6,7.41771,7.42539,7.41808,7.42595,7.42204,7.42037,7.42037,7.42037
7.7,7.50844,7.52237,7.51086,7.51312,7.52479,7.52143,7.52143,7.52143
7.8,7.61743,7.60819,7.62027,7.62252,7.61864,7.59799,7.59799,7.59799
7.9,7.71968,7.71563,7.71482,7.71872,7.71892,7.69691,7.69691,7.69691
8.0,7.81547,7.81537,7.81362,7.83515,7.81198,7.81338,7.81338,7.81338
8.1,7.90839,7.9148,7.91619,7.92859,7.91201,7.90522,7.90522,7.90522
