Simulation Time,Red_plr,Pie_plr,CoDel_plr,FqCoDel_plr,Cobalt_plr,dAQM9_plr,dAQM10_plr,dAQM11_plr
0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0,0.0,0.0,0.000125,0.0,0.000128205,0.000384615,0.000384615
5.6,0,0.0,0.0,0.000123457,0.000138889,0.000126582,0.000506329,0.000632911
5.7,0,0.0,0.0,0.000365854,0.000272109,0.000125,0.00075,0.000875
5.8,0,0.0,0.0,0.00035503,0.000533333,0.000245399,0.00110429,0.00122699
5.9,0,0.0,0.0,0.000697674,0.000924174,0.000363636,0.00109091,0.00121212
6.0,0,0.0,0.0,0.00137931,0.00142782,0.000477725,0.00120062,0.00143738
6.1,0,0.0,0.0,0.00135593,0.00178659,0.000823345,0.0017741,0.00223335
6.2,0,0.000127861,0.0,0.00145572,0.00275693,0.0010412,0.00209614,0.00278124
6.3,0,0.000126263,0.0,0.00143896,0.00332873,0.00113697,0.00239971,0.00364458
6.4,0,0.000247878,0.000119048,0.0030533,0.00446714,0.00112175,0.00248062,0.00404466
6.5,0,0.00060585,0.000116279,0.00333384,0.00463818,0.00109776,0.00286424,0.00418879
6.6,0,0.00106567,0.000457143,0.00428019,0.00527426,0.00108848,0.00317382,0.00460688
6.7,0,0.0019675,0.000569488,0.00509364,0.00711581,0.00141295,0.00425751,0.0057944
6.8,0,0.00273597,0.000676083,0.00675477,0.00921894,0.00206003,0.00686401,0.00950386
6.9,0,0.00422322,0.00188404,0.00740654,0.0105254,0.00283574,0.00935333,0.0140973
7.0,0,0.00562659,0.0022908,0.0107151,0.0134466,0.00412843,0.012782,0.0202247
7.1,0,0.00826848,0.0036656,0.011982,0.0181577,0.00439972,0.0163377,0.0275214
7.2,0,0.0112257,0.00477217,0.0149032,0.0256963,0.00562068,0.0198242,0.0332697
7.3,0,0.0144941,0.00755102,0.018953,0.032938,0.00672465,0.0238086,0.0405546
7.4,0,0.0184397,0.0105584,0.0205193,0.0412488,0.00771911,0.0289922,0.0481956
7.5,0,0.0228232,0.0128984,0.0228371,0.0465203,0.00887525,0.0326696,0.0531672
7.6,0,0.0285661,0.0159942,0.0272187,0.0571729,0.0103078,0.0379472,0.060678
7.7,0,0.0339601,0.0207833,0.0335058,0.0633111,0.0117237,0.0421059,0.0679539
7.8,0,0.0404672,0.0253323,0.0434044,0.0723312,0.0128035,0.0476419,0.0745258
7.9,0,0.0483879,0.0292268,0.0528725,0.0839507,0.0140608,0.0515967,0.079969
8.0,0,0.0575235,0.0357782,0.0605048,0.0952644,0.0156873,0.0566544,0.0858277
8.1,0,0.0687989,0.0448203,0.0675084,0.105915,0.0174555,0.0628682,0.0924484
8.2,0,0.0779545,0.0493896,0.0800326,0.118668,0.0190832,0.0685857,0.0992978
8.3,0,0.0898541,0.0572893,0.0905594,0.129839,0.0211287,0.0750131,0.107379
8.4,0,0.10095,0.0669678,0.103598,0.138423,0.0229442,0.0818547,0.114578
8.5,0,0.111997,0.0723914,0.111224,0.149174,0.0241339,0.0881342,0.122496
8.6,0,0.124064,0.0876524,0.123261,0.159364,0.0257434,0.0933973,0.129364
8.7,0,0.136686,0.0974022,0.136774,0.17058,0.0273525,0.10018,0.136416
8.8,0,0.146736,0.107478,0.148482,0.182185,0.0290924,0.10556,0.143789
8.9,0,0.155401,0.11634,0.159054,0.194295,0.030553,0.110261,0.152277
9.0,0,0.165644,0.12628,0.168115,0.202739,0.0323734,0.117942,0.159677
9.1,0,0.175834,0.133915,0.180118,0.213954,0.0341288,0.125121,0.168729
9.2,0,0.186065,0.147767,0.189891,0.22367,0.035784,0.131255,0.175658
9.3,0,0.197074,0.161475,0.203867,0.231961,0.0373858,0.135426,0.181369
9.4,0,0.205545,0.170014,0.217521,0.241654,0.0388955,0.140254,0.187525
9.5,0,0.215447,0.18039,0.226643,0.253928,0.0412223,0.145686,0.194092
9.6,0,0.225166,0.190627,0.235236,0.261623,0.0426619,0.150621,0.201111
9.7,0,0.235498,0.200901,0.243275,0.27305,0.0444842,0.156763,0.20907
9.8,0,0.245885,0.209645,0.254887,0.282144,0.0463315,0.161978,0.21636
9.9,0,0.256183,0.218977,0.266671,0.296759,0.0475411,0.167424,0.222568
10.0,0,0.266363,0.229472,0.278923,0.303083,0.0489693,0.171334,0.229328
