Simulation Time,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM9_ql,dAQM10_ql,dAQM11_ql
0.0311481,1,1.0,1,1,1,1,1,1.0
0.0311481,0,0.0,0,0,0,0,0,0.0
0.0321484,1,1.0,1,1,1,1,1,1.0
0.0321484,0,0.0,0,0,0,0,0,0.0
0.0331496,1,1.0,1,1,1,1,1,1.0
0.0331496,0,0.0,0,0,0,0,0,0.0
0.0334798,1,1.0,1,1,1,1,1,1.0
0.0334798,0,0.0,0,0,0,0,0,0.0
0.0351516,1,1.0,1,1,1,1,1,1.0
0.0351516,0,0.0,0,0,0,0,0,0.0
0.0354391,1,1.0,1,1,1,1,1,1.0
0.0354391,0,0.0,0,0,0,0,0,0.0
0.0356441,1,1.0,1,1,1,1,1,1.0
0.0356441,0,0.0,0,0,0,0,0,0.0
0.0362915,1,1.0,1,1,1,1,1,1.0
0.0362915,0,0.0,0,0,0,0,0,0.0
0.0364404,1,1.0,1,1,1,1,1,1.0
0.0364404,0,0.0,0,0,0,0,0,0.0
0.0372323,1,1.0,1,1,1,1,1,1.0
0.0372323,0,0.0,0,0,0,0,0,0.0
0.0385336,1,1.0,1,1,1,1,1,1.0
0.0385336,0,0.0,0,0,0,0,0,0.0
0.0395348,1,1.0,1,1,1,1,1,1.0
0.0395348,0,0.0,0,0,0,0,0,0.0
0.0398099,1,1.0,1,1,1,1,1,1.0
0.0398099,0,0.0,0,0,0,0,0,0.0
0.0407693,1,1.0,1,1,1,1,1,1.0
0.0407693,0,0.0,0,0,0,0,0,0.0
0.0414423,1,1.0,1,1,1,1,1,1.0
0.0414423,0,0.0,0,0,0,0,0,0.0
0.0416131,1,1.0,1,1,1,1,1,1.0
0.0416131,0,0.0,0,0,0,0,0,0.0
0.0416387,1,1.0,1,1,1,1,1,1.0
0.0416387,0,0.0,0,0,0,0,0,0.0
0.0425368,1,1.0,1,1,1,1,1,1.0
0.0425368,0,0.0,0,0,0,0,0,0.0
0.0426484,1,1.0,1,1,1,1,1,1.0
0.0426484,0,0.0,0,0,0,0,0,0.0
0.0436496,1,1.0,1,1,1,1,1,1.0
0.0436496,0,0.0,0,0,0,0,0,0.0
0.0437439,1,1.0,1,1,1,1,1,1.0
0.0437439,0,0.0,0,0,0,0,0,0.0
0.0456579,1,1.0,1,1,1,1,1,1.0
0.0456579,0,0.0,0,0,0,0,0,0.0
0.0466516,1,1.0,1,1,1,1,1,1.0
0.0466516,0,0.0,0,0,0,0,0,0.0
0.0466591,1,1.0,1,1,1,1,1,1.0
0.0466591,0,0.0,0,0,0,0,0,0.0
0.0471454,1,1.0,1,1,1,1,1,1.0
0.0471454,0,0.0,0,0,0,0,0,0.0
0.0472029,1,1.0,1,1,1,1,1,1.0
0.0472029,0,0.0,0,0,0,0,0,0.0
0.0476599,1,1.0,1,1,1,1,1,1.0
0.0476599,0,0.0,0,0,0,0,0,0.0
0.0483809,1,1.0,1,1,1,1,1,1.0
0.0483809,0,0.0,0,0,0,0,0,0.0
0.0486611,1,1.0,1,1,1,1,1,1.0
0.0486611,0,0.0,0,0,0,0,0,0.0
0.0505878,1,1.0,1,1,1,1,1,1.0
0.0505878,0,0.0,0,0,0,0,0,0.0
0.0507296,1,1.0,1,1,1,1,1,1.0
0.0507296,0,0.0,0,0,0,0,0,0.0
0.0512332,1,1.0,1,1,1,1,1,1.0
0.0512332,0,0.0,0,0,0,0,0,0.0
0.0517432,1,1.0,1,1,1,1,1,1.0
0.0517432,0,0.0,0,0,0,0,0,0.0
0.052456,1,1.0,1,1,1,1,1,1.0
0.052456,0,0.0,0,0,0,0,0,0.0
0.0528306,1,1.0,1,1,1,1,1,1.0
0.0528306,0,0.0,0,0,0,0,0,0.0
0.0531518,1,1.0,1,1,1,1,1,1.0
0.0531518,0,0.0,0,0,0,0,0,0.0
0.0534565,1,1.0,1,1,1,1,1,1.0
0.0534565,0,0.0,0,0,0,0,0,0.0
0.0539422,1,1.0,1,1,1,1,1,1.0
0.0539422,0,0.0,0,0,0,0,0,0.0
0.0547245,1,1.0,1,1,1,1,1,1.0
0.0547245,0,0.0,0,0,0,0,0,0.0
0.0549432,1,1.0,1,1,1,1,1,1.0
0.0549432,0,0.0,0,0,0,0,0,0.0
0.0549465,1,1.0,1,1,1,1,1,1.0
0.0549465,0,0.0,0,0,0,0,0,0.0
0.0552021,1,1.0,1,1,1,1,1,1.0
0.0552021,0,0.0,0,0,0,0,0,0.0
0.0552236,1,1.0,1,1,1,1,1,1.0
0.0552236,0,0.0,0,0,0,0,0,0.0
0.0552323,1,1.0,1,1,1,1,1,1.0
0.0552323,0,0.0,0,0,0,0,0,0.0
0.0556101,1,1.0,1,1,1,1,1,1.0
0.0556101,0,0.0,0,0,0,0,0,0.0
0.0559444,1,1.0,1,1,1,1,1,1.0
0.0559444,0,0.0,0,0,0,0,0,0.0
0.0559551,1,1.0,1,1,1,1,1,1.0
0.0559551,0,0.0,0,0,0,0,0,0.0
0.0562915,1,1.0,1,1,1,1,1,1.0
0.0562915,0,0.0,0,0,0,0,0,0.0
0.0572032,1,1.0,1,1,1,1,1,1.0
0.0572032,0,0.0,0,0,0,0,0,0.0
0.0579613,1,1.0,1,1,1,1,1,1.0
0.0579613,0,0.0,0,0,0,0,0,0.0
0.0584462,1,1.0,1,1,1,1,1,1.0
0.0584462,0,0.0,0,0,0,0,0,0.0
0.0589626,1,1.0,1,1,1,1,1,1.0
0.0589626,0,0.0,0,0,0,0,0,0.0
0.0593131,1,1.0,1,1,1,1,1,1.0
0.0593131,0,0.0,0,0,0,0,0,0.0
0.0603809,1,1.0,1,1,1,1,1,1.0
0.0603809,0,0.0,0,0,0,0,0,0.0
0.0609772,1,1.0,1,1,1,1,1,1.0
0.0609772,0,0.0,0,0,0,0,0,0.0
0.0611644,1,1.0,1,1,1,1,1,1.0
0.0611644,0,0.0,0,0,0,0,0,0.0
0.0612605,1,1.0,1,1,1,1,1,1.0
0.0612605,0,0.0,0,0,0,0,0,0.0
0.0612644,1,1.0,1,1,1,1,1,1.0
0.0612644,0,0.0,0,0,0,0,0,0.0
0.0615732,1,1.0,1,1,1,1,1,1.0
0.0615732,0,0.0,0,0,0,0,0,0.0
0.0619332,1,1.0,1,1,1,1,1,1.0
0.0619332,0,0.0,0,0,0,0,0,0.0
0.0619854,1,1.0,1,1,1,1,1,1.0
0.0619854,0,0.0,0,0,0,0,0,0.0
0.0625173,1,1.0,1,1,1,1,1,1.0
0.0625173,0,0.0,0,0,0,0,0,0.0
0.0629863,1,1.0,1,1,1,1,1,1.0
0.0629863,0,0.0,0,0,0,0,0,0.0
0.0636332,1,1.0,1,1,1,1,1,1.0
0.0636332,0,0.0,0,0,0,0,0,0.0
0.0639876,1,1.0,1,1,1,1,1,1.0
0.0639876,0,0.0,0,0,0,0,0,0.0
0.0639876,1,1.0,1,1,1,1,1,1.0
0.0639876,0,0.0,0,0,0,0,0,0.0
0.0641804,1,1.0,1,1,1,1,1,1.0
0.0641804,0,0.0,0,0,0,0,0,0.0
0.0642308,1,1.0,1,1,1,1,1,1.0
0.0642308,0,0.0,0,0,0,0,0,0.0
0.0649464,1,1.0,1,1,1,1,1,1.0
0.0649464,0,0.0,0,0,0,0,0,0.0
0.0656306,1,1.0,1,1,1,1,1,1.0
0.0656306,0,0.0,0,0,0,0,0,0.0
0.0660123,1,1.0,1,1,1,1,1,1.0
0.0660123,0,0.0,0,0,0,0,0,0.0
0.0662098,1,1.0,1,1,1,1,1,1.0
0.0662098,0,0.0,0,0,0,0,0,0.0
0.0670427,1,1.0,1,1,1,1,1,1.0
0.0670427,0,0.0,0,0,0,0,0,0.0
0.0680559,1,1.0,1,1,1,1,1,1.0
0.0680559,0,0.0,0,0,0,0,0,0.0
0.0686065,1,1.0,1,1,1,1,1,1.0
0.0686065,0,0.0,0,0,0,0,0,0.0
0.0686443,1,1.0,1,1,1,1,1,1.0
0.0686443,0,0.0,0,0,0,0,0,0.0
0.0688615,1,1.0,1,1,1,1,1,1.0
0.0688615,0,0.0,0,0,0,0,0,0.0
0.0689645,1,1.0,1,1,1,1,1,1.0
0.0689645,0,0.0,0,0,0,0,0,0.0
0.0690572,1,1.0,1,1,1,1,1,1.0
0.0690572,0,0.0,0,0,0,0,0,0.0
0.0696059,1,1.0,1,1,1,1,1,1.0
0.0696059,0,0.0,0,0,0,0,0,0.0
0.0710591,1,1.0,1,1,1,1,1,1.0
0.0710591,0,0.0,0,0,0,0,0,0.0
0.0710631,1,1.0,1,1,1,1,1,1.0
0.0710631,0,0.0,0,0,0,0,0,0.0
0.0720634,1,1.0,1,1,1,1,1,1.0
0.0720634,0,0.0,0,0,0,0,0,0.0
0.0728731,1,1.0,1,1,1,1,1,1.0
0.0728731,0,0.0,0,0,0,0,0,0.0
0.0730647,1,1.0,1,1,1,1,1,1.0
0.0730647,0,0.0,0,0,0,0,0,0.0
0.0730853,1,1.0,1,1,1,1,1,1.0
0.0730853,0,0.0,0,0,0,0,0,0.0
0.0738314,1,1.0,1,1,1,1,1,1.0
0.0738314,0,0.0,0,0,0,0,0,0.0
0.0739896,1,1.0,1,1,1,1,1,1.0
0.0739896,0,0.0,0,0,0,0,0,0.0
0.0740846,1,1.0,1,1,1,1,1,1.0
0.0740846,0,0.0,0,0,0,0,0,0.0
0.0742266,1,1.0,1,1,1,1,1,1.0
0.0742266,0,0.0,0,0,0,0,0,0.0
0.0744774,1,1.0,1,1,1,1,1,1.0
0.0744774,0,0.0,0,0,0,0,0,0.0
0.0751037,1,1.0,1,1,1,1,1,1.0
0.0751037,0,0.0,0,0,0,0,0,0.0
0.0754452,1,1.0,1,1,1,1,1,1.0
0.0754452,0,0.0,0,0,0,0,0,0.0
0.0761047,1,1.0,1,1,1,1,1,1.0
0.0761047,0,0.0,0,0,0,0,0,0.0
0.0762056,1,1.0,1,1,1,1,1,1.0
0.0762056,0,0.0,0,0,0,0,0,0.0
0.077116,1,1.0,1,1,1,1,1,1.0
0.077116,0,0.0,0,0,0,0,0,0.0
0.0775856,1,1.0,1,1,1,1,1,1.0
0.0775856,0,0.0,0,0,0,0,0,0.0
0.0776569,1,1.0,1,1,1,1,1,1.0
0.0776569,0,0.0,0,0,0,0,0,0.0
0.0781286,1,1.0,1,1,1,1,1,1.0
0.0781286,0,0.0,0,0,0,0,0,0.0
0.079152,1,1.0,1,1,1,1,1,1.0
0.079152,0,0.0,0,0,0,0,0,0.0
0.0798128,1,1.0,1,1,1,1,1,1.0
0.0798128,0,0.0,0,0,0,0,0,0.0
0.0801533,1,1.0,1,1,1,1,1,1.0
0.0801533,0,0.0,0,0,0,0,0,0.0
0.0802098,1,1.0,1,1,1,1,1,1.0
0.0802098,0,0.0,0,0,0,0,0,0.0
0.0812889,1,1.0,1,1,1,1,1,1.0
0.0812889,0,0.0,0,0,0,0,0,0.0
0.0814283,1,1.0,1,1,1,1,1,1.0
0.0814283,0,0.0,0,0,0,0,0,0.0
0.0817923,1,1.0,1,1,1,1,1,1.0
0.0817923,0,0.0,0,0,0,0,0,0.0
0.0818087,1,1.0,1,1,1,1,1,1.0
0.0818087,0,0.0,0,0,0,0,0,0.0
0.0821028,1,1.0,1,1,1,1,1,1.0
0.0821028,0,0.0,0,0,0,0,0,0.0
0.0821619,1,1.0,1,1,1,1,1,1.0
0.0821619,0,0.0,0,0,0,0,0,0.0
0.0826306,1,1.0,1,1,1,1,1,1.0
0.0826306,0,0.0,0,0,0,0,0,0.0
0.0831629,1,1.0,1,1,1,1,1,1.0
0.0831629,0,0.0,0,0,0,0,0,0.0
0.0832854,1,1.0,1,1,1,1,1,1.0
0.0832854,0,0.0,0,0,0,0,0,0.0
0.0837989,1,1.0,1,1,1,1,1,1.0
0.0837989,0,0.0,0,0,0,0,0,0.0
0.0840001,1,1.0,1,1,1,1,1,1.0
0.0840001,0,0.0,0,0,0,0,0,0.0
0.0841936,1,1.0,1,1,1,1,1,1.0
0.0841936,0,0.0,0,0,0,0,0,0.0
0.0848958,1,1.0,1,1,1,1,1,1.0
0.0848958,0,0.0,0,0,0,0,0,0.0
0.0851553,1,1.0,1,1,1,1,1,1.0
0.0851553,0,0.0,0,0,0,0,0,0.0
0.0851962,1,1.0,1,1,1,1,1,1.0
0.0851962,0,0.0,0,0,0,0,0,0.0
0.085443,1,1.0,1,1,1,1,1,1.0
0.085443,0,0.0,0,0,0,0,0,0.0
