Simulation Time,Red_sj,Pie_sj,CoDel_sj,FqCoDel_sj,Cobalt_sj,dAQM9_sj,dAQM10_sj,dAQM11_sj
0.0311481,0,0.0,0,0,0,0,0,0
0.0321484,0,0.0,0,0,0,0,0,0
0.0331496,0,0.0,0,0,0,0,0,0
0.0334798,0,0.0,0,0,0,0,0,0
0.0351516,0,0.0,0,0,0,0,0,0
0.0354391,0,0.0,0,0,0,0,0,0
0.0356441,0,0.0,0,0,0,0,0,0
0.0362915,0,0.0,0,0,0,0,0,0
0.0364404,0,0.0,0,0,0,0,0,0
0.0372323,0,0.0,0,0,0,0,0,0
0.0385336,0,0.0,0,0,0,0,0,0
0.0395348,0,0.0,0,0,0,0,0,0
0.0398099,0,0.0,0,0,0,0,0,0
0.0407693,0,0.0,0,0,0,0,0,0
0.0414423,0,0.0,0,0,0,0,0,0
0.0416131,0,0.0,0,0,0,0,0,0
0.0416387,0,0.0,0,0,0,0,0,0
0.0425368,0,0.0,0,0,0,0,0,0
0.0426484,0,0.0,0,0,0,0,0,0
0.0436496,0,0.0,0,0,0,0,0,0
0.0437439,0,0.0,0,0,0,0,0,0
0.0456579,0,0.0,0,0,0,0,0,0
0.0466516,0,0.0,0,0,0,0,0,0
0.0466591,0,0.0,0,0,0,0,0,0
0.0471454,0,0.0,0,0,0,0,0,0
0.0472029,0,0.0,0,0,0,0,0,0
0.0476599,0,0.0,0,0,0,0,0,0
0.0483809,0,0.0,0,0,0,0,0,0
0.0486611,0,0.0,0,0,0,0,0,0
0.0505878,0,0.0,0,0,0,0,0,0
0.0507296,0,0.0,0,0,0,0,0,0
0.0512332,0,0.0,0,0,0,0,0,0
0.0517432,0,0.0,0,0,0,0,0,0
0.052456,0,0.0,0,0,0,0,0,0
0.0528306,0,0.0,0,0,0,0,0,0
0.0531518,0,0.0,0,0,0,0,0,0
0.0534565,0,0.0,0,0,0,0,0,0
0.0539422,0,0.0,0,0,0,0,0,0
0.0547245,0,0.0,0,0,0,0,0,0
0.0549432,0,0.0,0,0,0,0,0,0
0.0549465,0,0.0,0,0,0,0,0,0
0.0552021,0,0.0,0,0,0,0,0,0
0.0552236,0,0.0,0,0,0,0,0,0
0.0552323,0,0.0,0,0,0,0,0,0
0.0556101,0,0.0,0,0,0,0,0,0
0.0559444,0,0.0,0,0,0,0,0,0
0.0559551,0,0.0,0,0,0,0,0,0
0.0562915,0,0.0,0,0,0,0,0,0
0.0572032,0,0.0,0,0,0,0,0,0
0.0579613,0,0.0,0,0,0,0,0,0
0.0584462,0,0.0,0,0,0,0,0,0
0.0589626,0,0.0,0,0,0,0,0,0
0.0593131,0,0.0,0,0,0,0,0,0
0.0603809,0,0.0,0,0,0,0,0,0
0.0609772,0,0.0,0,0,0,0,0,0
0.0611644,0,0.0,0,0,0,0,0,0
0.0612605,0,0.0,0,0,0,0,0,0
0.0612644,0,0.0,0,0,0,0,0,0
0.0615732,0,0.0,0,0,0,0,0,0
0.0619332,0,0.0,0,0,0,0,0,0
0.0619854,0,0.0,0,0,0,0,0,0
0.0625173,0,0.0,0,0,0,0,0,0
0.0629863,0,0.0,0,0,0,0,0,0
0.0636332,0,0.0,0,0,0,0,0,0
0.0639876,0,0.0,0,0,0,0,0,0
0.0639876,0,0.0,0,0,0,0,0,0
0.0641804,0,0.0,0,0,0,0,0,0
0.0642308,0,0.0,0,0,0,0,0,0
0.0649464,0,0.0,0,0,0,0,0,0
0.0656306,0,0.0,0,0,0,0,0,0
0.0660123,0,0.0,0,0,0,0,0,0
0.0662098,0,0.0,0,0,0,0,0,0
0.0670427,0,0.0,0,0,0,0,0,0
0.0680559,0,0.0,0,0,0,0,0,0
0.0686065,0,0.0,0,0,0,0,0,0
0.0686443,0,0.0,0,0,0,0,0,0
0.0688615,0,0.0,0,0,0,0,0,0
0.0689645,0,0.0,0,0,0,0,0,0
0.0690572,0,0.0,0,0,0,0,0,0
0.0696059,0,0.0,0,0,0,0,0,0
0.0710591,0,0.0,0,0,0,0,0,0
0.0710631,0,0.0,0,0,0,0,0,0
