Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM9_th,dAQM10_th,dAQM11_th
0.1,170.255,184.173,143.997,148.878,186.589,122.625,122.625,122.625
0.2,36.3333,84.3698,36.5227,54.2185,41.2341,46.3229,46.3229,46.3229
0.3,32.9238,35.7194,32.1505,32.0286,33.7885,29.2988,29.2988,29.2988
0.4,30.9679,30.3661,30.7481,27.5037,32.2273,25.7481,25.7481,25.7481
0.5,27.6258,30.5391,28.5789,24.4351,28.7098,25.6428,25.6428,25.6428
0.6,26.3183,25.659,26.0424,22.5495,25.9087,22.3642,22.3642,22.3642
0.7,23.5292,24.5997,25.9552,22.4342,24.0407,21.9535,21.9535,21.9535
0.8,22.9067,24.3088,24.2397,20.8412,22.7821,21.2633,21.2633,21.2633
0.9,20.8112,23.1603,22.666,20.2318,22.2596,21.045,21.045,21.045
1.0,19.1776,21.2568,21.477,19.5992,20.515,20.0417,20.0417,20.0417
1.1,18.9887,21.1381,21.3055,19.526,20.281,19.2303,19.2303,19.2303
1.2,18.8376,20.2701,20.6493,19.076,19.8358,18.9754,18.9754,18.9754
1.3,18.1602,20.1407,19.8402,18.2765,19.3981,18.4036,18.4036,18.4036
1.4,17.8837,19.7742,19.263,17.9054,18.921,18.2189,18.2189,18.2189
1.5,18.1231,19.3744,18.9321,17.3201,18.9548,17.8481,17.8481,17.8481
1.6,18.0122,19.0096,18.4604,16.9162,18.9008,17.4774,17.4774,17.4774
1.7,17.7852,18.2531,18.0462,16.8072,18.3554,17.5539,17.5539,17.5539
1.8,17.9042,18.0848,17.9781,16.9129,18.0898,17.1894,17.1894,17.1894
1.9,17.5283,17.9503,17.9302,16.4843,17.7803,17.0438,17.0438,17.0438
2.0,17.2336,17.966,17.3854,16.5606,17.6938,17.0543,17.0543,17.0543
2.1,17.0518,18.002,17.2577,16.626,17.3792,17.0294,17.0294,17.0294
2.2,16.9751,17.9842,17.2618,16.6023,17.4107,16.8376,16.8376,16.8376
2.3,16.7774,18.1306,17.2602,16.6451,17.4084,16.9462,16.9462,16.9462
2.4,16.9652,17.8334,17.1499,16.6963,17.1929,16.9466,16.9466,16.9466
2.5,16.9611,17.6561,16.9137,16.6748,17.1558,16.806,16.806,16.806
2.6,17.0058,17.2004,16.9747,16.7262,17.0548,16.6212,16.6212,16.6212
2.7,17.0423,17.2025,16.7502,16.7708,16.842,16.6857,16.6857,16.6857
2.8,16.9934,17.0496,16.7803,16.8436,16.8013,16.7786,16.7786,16.7786
2.9,17.0605,17.0504,16.8394,16.8256,16.8799,16.7346,16.7346,16.7346
3.0,16.9795,16.9487,16.7681,16.812,16.8022,16.8313,16.8313,16.8313
3.1,17.0153,16.9845,16.7056,16.8364,16.8631,16.8828,16.8828,16.8828
3.2,16.8059,16.8775,16.7239,16.9104,16.8395,16.8509,16.8509,16.8509
3.3,16.8248,16.8907,16.8166,16.8735,16.8921,16.8831,16.8831,16.8831
3.4,16.8693,16.8545,16.763,16.8402,16.865,16.8097,16.8097,16.8097
3.5,16.8801,16.8938,16.7634,16.8869,16.8829,16.8049,16.8049,16.8049
3.6,16.8512,16.924,16.7996,16.9236,16.8088,16.8796,16.8796,16.8796
3.7,16.8665,16.8985,16.8202,16.8864,16.8085,16.8734,16.8734,16.8734
3.8,16.8195,16.9415,16.8771,16.92,16.8021,16.8326,16.8326,16.8326
3.9,16.8125,16.9572,16.8725,16.9126,16.7643,16.889,16.889,16.889
4.0,16.8452,16.9294,16.901,16.93,16.7564,16.8692,16.8692,16.8692
4.1,16.8972,16.9394,16.9257,16.9152,16.7887,16.8952,16.8952,16.8952
4.2,16.8857,17.0262,16.8828,16.9258,16.849,16.8349,16.8349,16.8349
4.3,16.8701,17.0403,16.8932,16.908,16.8496,16.8795,16.8795,16.8795
4.4,16.8728,17.0204,16.9182,16.8862,16.8032,16.9103,16.9103,16.9103
4.5,16.9176,17.0424,16.8994,16.9037,16.8402,16.8942,16.8942,16.8942
4.6,16.9101,17.0325,16.9692,16.9466,16.8285,16.8902,16.8902,16.8902
4.7,16.8885,17.0508,16.9571,16.9376,16.8852,16.9062,16.9062,16.9062
4.8,16.9356,17.0813,16.9877,16.9431,16.903,16.9229,16.9229,16.9229
4.9,16.9508,17.0951,17.0134,16.9331,16.9152,16.9096,16.9096,16.9096
5.0,16.9671,17.0868,16.9715,16.9979,16.8757,16.9269,16.9269,16.9269
5.1,16.9313,17.091,16.977,16.9599,16.9397,16.9235,16.9235,16.9235
5.2,16.9125,17.0876,17.0337,17.0183,16.9069,16.898,16.898,16.898
5.3,16.9167,17.1028,17.0232,16.9686,16.9311,16.9647,16.9647,16.9647
5.4,16.9413,17.1224,17.0307,16.9463,16.9496,16.9859,16.9859,16.9859
5.5,16.9642,17.1242,17.0,16.9414,16.9288,16.9696,16.9696,16.9696
5.6,16.9644,17.143,17.002,16.9552,16.96,16.981,16.981,16.981
5.7,16.972,17.1446,16.9815,16.9688,16.944,16.9635,16.9635,16.9635
5.8,16.9763,17.1788,16.9991,16.9785,16.943,17.0128,17.0128,17.0128
5.9,16.9736,17.2065,17.0117,16.9658,16.96,17.0175,17.0175,17.0175
6.0,16.9527,17.1428,17.0011,16.9644,16.9953,17.0233,17.0233,17.0233
6.1,16.9479,17.1321,17.0098,16.9694,16.9797,16.9911,16.9911,16.9911
6.2,16.9467,17.1582,17.0017,16.9942,16.9927,17.0238,17.0238,17.0238
6.3,16.9804,17.1607,17.0143,17.0045,17.0105,17.0431,17.0431,17.0431
6.4,16.9747,17.1561,17.0373,17.0096,16.99,17.0438,17.0438,17.0438
6.5,16.9826,17.1273,17.003,16.9578,17.0152,17.0269,17.0269,17.0269
6.6,16.9851,17.1464,17.0066,16.9853,17.0325,17.0038,17.0038,17.0038
6.7,17.0132,17.1574,17.0175,16.9637,17.0279,17.0119,17.0119,17.0119
6.8,17.0231,17.1956,16.984,16.9985,17.0334,17.0255,17.0255,17.0255
6.9,17.0039,17.1449,16.9918,17.0137,17.0338,17.0319,17.0319,17.0319
7.0,16.982,17.165,17.0014,17.0021,17.0295,17.0226,17.0226,17.0226
7.1,16.9758,17.153,17.0124,17.0279,17.068,17.0401,17.0401,17.0401
7.2,16.9938,17.1526,17.0208,17.0128,17.0533,17.0567,17.0567,17.0567
7.3,17.004,17.1626,16.9946,17.029,17.047,17.0456,17.0456,17.0456
7.4,17.0304,17.1688,16.9994,17.028,17.0462,17.0531,17.0531,17.0531
7.5,17.0058,17.1853,17.0341,16.9983,17.0628,17.0702,17.0702,17.0702
7.6,17.0188,17.1824,17.0108,17.0164,17.0261,17.02,17.02,17.02
7.7,17.0349,17.1817,17.0263,17.0374,17.0252,17.0205,17.0205,17.0205
7.8,17.0242,17.223,17.005,17.0103,17.0343,17.0757,17.0757,17.0757
7.9,17.0232,17.2118,17.0084,17.0232,17.0316,17.0882,17.0882,17.0882
8.0,17.0409,17.2121,17.0221,17.0026,17.0498,17.0644,17.0644,17.0644
8.1,17.0533,17.2033,17.0169,17.0151,17.0428,17.0925,17.0925,17.0925
8.2,17.0458,17.1997,17.0301,16.9879,17.0194,17.1042,17.1042,17.1042
8.3,17.0889,17.2043,17.042,16.9992,17.0392,17.1012,17.1012,17.1012
8.4,17.0903,17.2269,17.0049,17.007,17.0719,17.0815,17.0815,17.0815
8.5,17.07,17.2165,17.0543,17.0302,17.0657,17.0894,17.0894,17.0894
8.6,17.0623,17.2342,17.0257,17.0433,17.07,17.106,17.106,17.106
8.7,17.0471,17.2368,17.0252,17.0466,17.0618,17.139,17.139,17.139
8.8,17.0577,17.2266,17.0222,17.0173,17.0749,17.1093,17.1093,17.1093
8.9,17.0872,17.2138,17.029,17.0282,17.0542,17.1183,17.1183,17.1183
9.0,17.1079,17.2083,17.0201,17.0238,17.0741,17.0964,17.0964,17.0964
9.1,17.0622,17.2115,17.0485,17.0296,17.091,17.097,17.097,17.097
9.2,17.0589,17.2096,17.0305,17.0219,17.0553,17.0954,17.0954,17.0954
9.3,17.0572,17.2375,17.0332,17.038,17.0487,17.1241,17.1241,17.1241
9.4,17.0699,17.2257,17.0478,17.0557,17.0554,17.133,17.133,17.133
9.5,17.0637,17.2405,17.0393,17.0436,17.0402,17.1181,17.1181,17.1181
9.6,17.0789,17.2328,17.0741,17.0344,17.0637,17.1076,17.1076,17.1076
9.7,17.0709,17.2241,17.0547,17.0448,17.0607,17.1268,17.1268,17.1268
9.8,17.0466,17.2435,17.0584,17.0561,17.0564,17.1056,17.1056,17.1056
9.9,17.0846,17.2406,17.0667,17.0425,17.0421,17.111,17.111,17.111
10.0,17.123,17.2268,17.0964,17.0562,17.0861,17.1221,17.1221,17.1221
10.1,17.1003,17.2365,17.0798,17.0536,17.0757,17.1265,17.1265,17.1265
10.2,17.1087,17.2271,17.0997,17.0502,17.0849,17.1144,17.1144,17.1144
10.3,17.1103,17.2286,17.0925,17.0541,17.089,17.1314,17.1314,17.1314
10.4,17.1007,17.2327,17.0895,17.0842,17.1212,17.1448,17.1448,17.1448
10.5,17.0801,17.2395,17.1057,17.0963,17.105,17.1205,17.1205,17.1205
10.6,17.0756,17.2492,17.1072,17.0854,17.088,17.1407,17.1407,17.1407
10.7,17.0932,17.2477,17.116,17.1015,17.1,17.1516,17.1516,17.1516
10.8,17.106,17.2429,17.1142,17.1138,17.1026,17.1318,17.1318,17.1318
10.9,17.1017,17.2506,17.1202,17.0944,17.1165,17.127,17.127,17.127
