Simulation Time,Red_delay,Pie_delay,CoDel_delay,FqCoDel_delay,Cobalt_delay,dAQM9_delay,dAQM10_delay,dAQM11_delay
0.1,11.432,21.7879,26.5627,26.3078,34.3405,19.3499,27.2755,27.2755
0.2,121.156,129.34,124.699,131.702,127.174,120.164,108.513,108.513
0.3,188.321,184.076,185.245,186.632,180.227,179.075,181.724,181.724
0.4,210.77,208.674,213.569,210.415,211.732,213.251,214.749,214.749
0.5,215.785,218.347,222.3,219.281,223.45,218.627,222.815,222.815
0.6,259.562,263.567,255.51,263.836,261.301,259.587,260.239,260.239
0.7,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
0.8,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
0.9,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
1.0,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
1.1,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
1.2,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
1.3,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
1.4,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
1.5,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
1.6,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
1.7,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
1.8,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
1.9,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
2.0,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
2.1,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
2.2,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
2.3,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
2.4,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
2.5,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
2.6,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
2.7,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
2.8,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
2.9,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
3.0,266.224,267.467,264.186,269.615,269.872,268.572,264.021,264.021
3.1,219.234,223.445,220.02,222.524,225.328,224.883,217.523,217.523
3.2,191.131,197.603,193.506,196.719,193.844,193.601,187.928,187.928
3.3,183.672,196.631,177.921,191.938,180.465,178.217,171.534,171.534
3.4,190.474,208.268,181.51,202.494,187.084,177.972,176.782,176.782
3.5,204.183,220.258,191.064,210.991,201.034,189.551,190.404,190.404
3.6,216.735,231.618,201.151,222.815,214.47,204.554,205.27,205.27
3.7,230.607,245.561,213.4,236.487,230.398,221.355,223.965,223.965
3.8,247.639,260.659,225.665,250.319,245.637,240.15,239.871,239.871
