Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
0.1,0.011432,0.0217879,0.0265627,0.0263078,0.0343405,0.0193499,0.0272755,0.0272755
0.2,0.121156,0.12934,0.124699,0.131702,0.127174,0.120164,0.108513,0.108513
0.3,0.188321,0.184076,0.185245,0.186632,0.180227,0.179075,0.181724,0.181724
0.4,0.21077,0.208674,0.213569,0.210415,0.211732,0.213251,0.214749,0.214749
0.5,0.215785,0.218347,0.2223,0.219281,0.22345,0.218627,0.222815,0.222815
0.6,0.259562,0.263567,0.25551,0.263836,0.261301,0.259587,0.260239,0.260239
0.7,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
0.8,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
0.9,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
1.0,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
1.1,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
1.2,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
1.3,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
1.4,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
1.5,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
1.6,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
1.7,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
1.8,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
1.9,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
2.0,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
2.1,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
2.2,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
2.3,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
2.4,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
2.5,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
2.6,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
2.7,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
2.8,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
2.9,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
3.0,0.266224,0.267467,0.264186,0.269615,0.269872,0.268572,0.264021,0.264021
3.1,1.11884,1.13028,1.0968,1.13659,1.17296,1.11672,1.08858,1.08858
3.2,1.74332,1.73224,1.69401,1.73878,1.80846,1.70566,1.74227,1.74227
3.3,2.28397,2.13288,2.26706,2.22145,2.34668,2.23814,2.18523,2.18523
3.4,2.58841,2.40602,2.50252,2.50726,2.59631,2.60065,2.58259,2.58259
3.5,2.7586,2.55072,2.69803,2.6344,2.66871,2.74711,2.78886,2.78886
3.6,2.8464,2.6549,2.75447,2.74601,2.73845,2.7898,2.84733,2.84733
3.7,2.92421,2.70715,2.84506,2.81836,2.79782,2.83374,2.91632,2.91632
3.8,3.01483,2.79525,2.92261,2.91166,2.87834,2.90491,2.99482,2.99482
3.9,3.0791,2.86763,3.01782,3.03064,3.0023,2.97454,3.07817,3.07817
4.0,3.18687,2.96732,3.09569,3.13068,3.18121,3.03163,3.18817,3.18817
4.1,3.23339,3.14142,3.17414,3.25768,3.26067,3.09726,3.24191,3.24191
4.2,3.31638,3.2587,3.25754,3.3423,3.32345,3.17361,3.33957,3.33957
4.3,3.41494,3.31603,3.3733,3.47447,3.47781,3.28223,3.39916,3.39916
4.4,3.51523,3.44429,3.42465,3.52951,3.61186,3.35465,3.50874,3.50874
4.5,3.59053,3.55897,3.53585,3.60487,3.7124,3.48679,3.57109,3.57109
4.6,3.67615,3.6159,3.62021,3.70279,3.77756,3.58346,3.66773,3.66773
4.7,3.79156,3.70051,3.75673,3.75491,3.92621,3.68015,3.7311,3.7311
4.8,3.90268,3.81664,3.86882,3.83595,3.97318,3.84272,3.85071,3.85071
4.9,3.97188,3.92785,3.99064,3.95336,4.0935,3.91282,3.95358,3.95358
5.0,4.07666,4.06997,4.04579,4.00839,4.18091,4.006,4.02596,4.02596
5.1,4.2156,4.1325,4.12298,4.11608,4.27413,4.0711,4.08259,4.08259
5.2,4.28362,4.21314,4.18606,4.23046,4.34862,4.22355,4.13801,4.13801
5.3,4.38307,4.28607,4.28859,4.37981,4.41162,4.29545,4.24489,4.24489
5.4,4.52687,4.40533,4.36353,4.44996,4.50674,4.37234,4.29643,4.29643
5.5,4.57382,4.45357,4.45455,4.53464,4.55544,4.45021,4.37487,4.37487
5.6,4.65664,4.55355,4.55844,4.62756,4.61197,4.5278,4.52396,4.52396
5.7,4.76153,4.59724,4.61436,4.67821,4.70464,4.64837,4.60511,4.60511
5.8,4.83416,4.67947,4.67662,4.74192,4.75685,4.69761,4.66469,4.66469
5.9,4.92585,4.83152,4.73038,4.8493,4.83111,4.82042,4.79378,4.79378
6.0,5.04777,4.91725,4.7971,4.94477,4.92138,4.92461,4.92406,4.92406
6.1,5.15577,5.00214,4.89587,5.01267,5.01187,5.01539,4.99211,4.99211
6.2,5.29441,5.11053,4.95927,5.09867,5.11446,5.11755,5.07385,5.07385
6.3,5.46372,5.16706,5.03776,5.20339,5.17895,5.19564,5.19022,5.19022
6.4,5.56871,5.2542,5.09498,5.25131,5.22591,5.30847,5.27684,5.27684
6.5,5.64346,5.3642,5.33298,5.30826,5.28491,5.37416,5.39107,5.39107
6.6,5.7194,5.47016,5.41221,5.39927,5.34948,5.4674,5.48733,5.48733
6.7,5.80885,5.53293,5.50967,5.49709,5.451,5.53215,5.60252,5.60252
6.8,5.90267,5.60669,5.59545,5.56729,5.51393,5.61878,5.71485,5.71485
6.9,5.971,5.68954,5.65269,5.65295,5.59005,5.728,5.80679,5.80679
7.0,6.03437,5.76622,5.73108,5.73053,5.67584,5.78492,5.86515,5.86515
7.1,6.11698,5.82138,5.83759,5.79567,5.75053,5.8593,5.96187,5.96187
7.2,6.19248,5.94745,5.93149,5.89217,5.83389,5.93813,6.06567,6.06567
7.3,6.31143,6.00843,6.05486,5.98977,5.93768,5.98585,6.18396,6.18396
7.4,6.39565,6.10488,6.13191,6.15708,6.05425,6.07248,6.27251,6.27251
7.5,6.48736,6.19703,6.19391,6.2306,6.12291,6.17363,6.36932,6.36932
7.6,6.54544,6.27358,6.26639,6.28742,6.22937,6.23388,6.42518,6.42518
7.7,6.61932,6.36376,6.36525,6.3813,6.35026,6.33417,6.51601,6.51601
7.8,6.69723,6.4852,6.50226,6.45736,6.43282,6.433,6.56357,6.56357
7.9,6.76252,6.58129,6.60957,6.54751,6.4842,6.50083,6.65577,6.65577
8.0,6.82993,6.66145,6.74274,6.60856,6.59751,6.58145,6.73549,6.73549
8.1,6.88512,6.74282,6.83159,6.71579,6.6695,6.63833,6.84981,6.84981
8.2,6.95288,6.88173,6.89069,6.78877,6.73219,6.72156,6.95494,6.95494
8.3,7.04645,6.95513,6.9909,6.86002,6.86677,6.78825,7.05583,7.05583
8.4,7.16105,7.03169,7.04537,6.91197,6.91724,6.90738,7.14415,7.14415
8.5,7.2167,7.08551,7.11435,6.99622,6.98868,7.00636,7.27059,7.27059
8.6,7.31611,7.18045,7.19864,7.05828,7.12368,7.10501,7.34408,7.34408
8.7,7.3906,7.25057,7.25506,7.12065,7.25625,7.18909,7.38221,7.38221
8.8,7.45879,7.34422,7.36994,7.17731,7.3493,7.26815,7.48223,7.48223
8.9,7.53638,7.40203,7.42941,7.3035,7.43828,7.39726,7.58563,7.58563
9.0,7.62759,7.47878,7.49059,7.34293,7.50949,7.51028,7.70612,7.70612
9.1,7.70501,7.60654,7.66581,7.4786,7.68283,7.73013,7.86653,7.86653
9.2,7.79324,7.74134,7.73062,7.66348,7.74706,7.80889,7.96136,7.96136
9.3,7.91389,7.8341,7.85056,7.76945,7.84089,7.9043,8.08457,8.08457
9.4,7.99375,7.92964,7.93573,7.88516,7.94912,7.96104,8.16052,8.16052
9.5,8.10224,7.95834,7.97649,7.99472,8.05191,8.02976,8.28133,8.28133
9.6,8.193,8.05867,8.06002,8.0772,8.17464,8.10543,8.38399,8.38399
9.7,8.30162,8.12799,8.13675,8.13668,8.2225,8.18364,8.4577,8.4577
9.8,8.38323,8.19234,8.21901,8.23472,8.30242,8.27405,8.58434,8.58434
9.9,8.49561,8.25145,8.34816,8.30111,8.34948,8.36934,8.69805,8.69805
10.0,8.66732,8.31365,8.44365,8.38866,8.40659,8.4307,8.8114,8.8114
10.1,8.77536,8.38778,8.56355,8.46133,8.54844,8.51866,8.92495,8.92495
10.2,8.89762,8.50255,8.6118,8.51724,8.60699,8.65786,9.00121,9.00121
10.3,8.97504,8.60132,8.7093,8.64768,8.72443,8.70954,9.1064,9.1064
10.4,9.03977,8.67206,8.79807,8.78799,8.79207,8.80831,9.17326,9.17326
10.5,9.10603,8.78073,8.86453,8.88032,8.90495,8.8753,9.24981,9.24981
10.6,9.18495,8.87176,9.03497,8.95254,9.03349,8.94024,9.32022,9.32022
10.7,9.23509,9.08284,9.11614,9.02617,9.10667,9.00864,9.38718,9.38718
10.8,9.35579,9.14153,9.22561,9.09259,9.28044,9.06845,9.45522,9.45522
10.9,9.41785,9.30738,9.30515,9.13272,9.35311,9.14426,9.5268,9.5268
