Simulation Time,Red_delay,Pie_delay,CoDel_delay,FqCoDel_delay,Cobalt_delay,dAQM9_delay,dAQM10_delay,dAQM11_delay
0.1,33.3799,36.6535,27.8456,37.2259,36.3083,33.2947,33.2947,41.4049
0.2,118.571,127.628,118.729,131.094,126.614,111.041,111.041,115.148
0.3,186.186,192.178,186.568,190.688,188.642,186.594,186.594,178.82
0.4,221.391,221.893,212.037,212.781,215.029,218.361,218.361,218.511
0.5,230.625,230.898,223.339,222.304,227.98,226.946,226.946,231.352
0.6,264.237,264.57,261.966,268.297,263.65,255.291,255.291,259.657
0.7,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
0.8,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
0.9,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
1.0,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
1.1,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
1.2,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
1.3,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
1.4,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
1.5,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
1.6,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
1.7,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
1.8,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
1.9,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
2.0,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
2.1,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
2.2,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
2.3,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
2.4,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
2.5,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
2.6,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
2.7,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
2.8,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
2.9,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
3.0,270.033,270.171,265.347,272.762,271.605,260.566,260.566,262.24
3.1,223.957,222.504,218.176,230.891,225.625,218.012,218.012,216.037
3.2,194.965,195.8,188.921,205.631,192.745,195.167,195.167,195.499
3.3,181.146,186.513,183.775,205.334,181.157,196.355,196.355,184.342
3.4,175.541,194.053,190.813,208.707,192.546,201.171,201.171,185.812
3.5,181.456,204.611,198.834,217.853,200.294,210.182,210.182,194.534
3.6,191.779,217.058,211.691,230.595,212.039,221.216,221.216,204.711
3.7,205.686,232.499,226.015,244.259,227.634,233.867,233.867,215.181
