Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
0.1,0.0333799,0.0366535,0.0278456,0.0372259,0.0363083,0.0332947,0.0332947,0.0414049
0.2,0.118571,0.127628,0.118729,0.131094,0.126614,0.111041,0.111041,0.115148
0.3,0.186186,0.192178,0.186568,0.190688,0.188642,0.186594,0.186594,0.17882
0.4,0.221391,0.221893,0.212037,0.212781,0.215029,0.218361,0.218361,0.218511
0.5,0.230625,0.230898,0.223339,0.222304,0.22798,0.226946,0.226946,0.231352
0.6,0.264237,0.26457,0.261966,0.268297,0.26365,0.255291,0.255291,0.259657
0.7,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
0.8,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
0.9,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
1.0,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
1.1,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
1.2,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
1.3,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
1.4,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
1.5,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
1.6,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
1.7,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
1.8,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
1.9,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
2.0,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
2.1,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
2.2,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
2.3,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
2.4,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
2.5,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
2.6,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
2.7,0.270033,0.270171,0.265347,0.272762,0.271605,0.260566,0.260566,0.26224
