Simulation Time,Red_sj,Pie_sj,CoDel_sj,FqCoDel_sj,Cobalt_sj,dAQM9_sj,dAQM10_sj,dAQM11_sj
8.6568e-05,0.0,0,0,0,0,0,0,0
0.000115453,0.0,0,0,0,0,0,0,0
0.000612263,0.0,0,0,0,0,0,0,0
0.00102552,0.0,0,0,0,0,0,0,0
0.00108682,0.0,0,0,0,0,0,0,0
0.00127925,0.0,0,0,0,0,0,0,0
0.00135184,0.0,0,0,0,0,0,0,0
0.00208808,0.0,0,0,0,0,0,0,0
0.00223839,0.0,0,0,0,0,0,0,0
0.00230818,0.0,0,0,0,0,0,0,0
0.00237842,0.0,0,0,0,0,0,0,0
0.00257108,0.0,0,0,0,0,0,0,0
0.00271697,0.0,0,0,0,0,0,0,0
0.00278837,0.0,0,0,0,0,0,0,0
0.00288474,0.0,0,0,0,0,0,0,0
0.00297302,0.0,0,0,0,0,0,0,0
0.0031376,0.0,0,0,0,0,0,0,0
0.00316763,0.0,0,0,0,0,0,0,0
0.00321247,0.0,0,0,0,0,0,0,0
0.00369255,0.0,0,0,0,0,0,0,0
0.00378304,0.0,0,0,0,0,0,0,0
0.00384622,0.0,0,0,0,0,0,0,0
0.0039422,0.0,0,0,0,0,0,0,0
0.00394928,0.0,0,0,0,0,0,0,0
0.00398124,0.0,0,0,0,0,0,0,0
0.00412152,0.0,0,0,0,0,0,0,0
0.00418959,0.0,0,0,0,0,0,0,0
0.00444748,0.0,0,0,0,0,0,0,0
0.00449599,0.0,0,0,0,0,0,0,0
0.0046602,0.0,0,0,0,0,0,0,0
0.00481193,0.0,0,0,0,0,0,0,0
0.00487299,0.0,0,0,0,0,0,0,0
0.00487861,0.0,0,0,0,0,0,0,0
0.0049381,0.0,0,0,0,0,0,0,0
0.00512277,0.0,0,0,0,0,0,0,0
0.00528164,0.0,0,0,0,0,0,0,0
0.00537118,0.0,0,0,0,0,0,0,0
0.0057427,0.0,0,0,0,0,0,0,0
0.00584882,0.0,0,0,0,0,0,0,0
0.0059032,0.0,0,0,0,0,0,0,0
0.00597686,0.0,0,0,0,0,0,0,0
0.00624495,0.0,0,0,0,0,0,0,0
0.00638508,0.0,0,0,0,0,0,0,0
0.00659069,0.0,0,0,0,0,0,0,0
0.00661986,0.0,0,0,0,0,0,0,0
0.0066661,0.0,0,0,0,0,0,0,0
0.00713212,0.0,0,0,0,0,0,0,0
0.0071431,0.0,0,0,0,0,0,0,0
0.00715523,0.0,0,0,0,0,0,0,0
0.00730552,0.0,0,0,0,0,0,0,0
0.00748799,0.0,0,0,0,0,0,0,0
0.00750107,0.0,0,0,0,0,0,0,0
0.00753574,0.0,0,0,0,0,0,0,0
0.00758632,0.0,0,0,0,0,0,0,0
0.00770795,0.0,0,0,0,0,0,0,0
0.00780798,0.0,0,0,0,0,0,0,0
0.00782461,0.0,0,0,0,0,0,0,0
0.00795957,0.0,0,0,0,0,0,0,0
0.00798879,0.0,0,0,0,0,0,0,0
0.00805627,0.0,0,0,0,0,0,0,0
0.00812269,0.0,0,0,0,0,0,0,0
0.00813337,0.0,0,0,0,0,0,0,0
0.00824778,0.0,0,0,0,0,0,0,0
0.00824935,0.0,0,0,0,0,0,0,0
0.00832046,0.0,0,0,0,0,0,0,0
0.00844451,0.0,0,0,0,0,0,0,0
0.00848426,0.0,0,0,0,0,0,0,0
0.008663,0.0,0,0,0,0,0,0,0
0.00866765,0.0,0,0,0,0,0,0,0
0.00871666,0.0,0,0,0,0,0,0,0
0.00883243,0.0,0,0,0,0,0,0,0
0.00884455,0.0,0,0,0,0,0,0,0
0.00885234,0.0,0,0,0,0,0,0,0
0.00888618,0.0,0,0,0,0,0,0,0
0.00889958,0.0,0,0,0,0,0,0,0
0.00906564,0.0,0,0,0,0,0,0,0
0.00908938,0.0,0,0,0,0,0,0,0
0.00913077,0.0,0,0,0,0,0,0,0
0.00913453,0.0,0,0,0,0,0,0,0
0.00914681,0.0,0,0,0,0,0,0,0
0.00952395,0.0,0,0,0,0,0,0,0
0.00963395,0.0,0,0,0,0,0,0,0
0.00968113,0.0,0,0,0,0,0,0,0
0.00982171,0.0,0,0,0,0,0,0,0
0.00985325,0.0,0,0,0,0,0,0,0
0.00987793,0.0,0,0,0,0,0,0,0
0.00988622,0.0,0,0,0,0,0,0,0
0.010056,0.0,0,0,0,0,0,0,0
0.0101366,0.0,0,0,0,0,0,0,0
0.0103278,0.0,0,0,0,0,0,0,0
0.0103628,0.0,0,0,0,0,0,0,0
0.0104172,0.0,0,0,0,0,0,0,0
0.0105043,0.0,0,0,0,0,0,0,0
0.0109609,0.0,0,0,0,0,0,0,0
0.0110216,0.0,0,0,0,0,0,0,0
0.0110705,0.0,0,0,0,0,0,0,0
0.0110772,0.0,0,0,0,0,0,0,0
0.011126,0.0,0,0,0,0,0,0,0
0.0111379,0.0,0,0,0,0,0,0,0
0.0113755,0.0,0,0,0,0,0,0,0
0.0114136,0.0,0,0,0,0,0,0,0
0.0116728,0.0,0,0,0,0,0,0,0
0.0118311,0.0,0,0,0,0,0,0,0
0.0119796,0.0,0,0,0,0,0,0,0
0.0121463,0.0,0,0,0,0,0,0,0
0.0124568,0.0,0,0,0,0,0,0,0
0.0125629,0.0,0,0,0,0,0,0,0
0.0126523,0.0,0,0,0,0,0,0,0
0.0131241,0.0,0,0,0,0,0,0,0
0.0131507,0.0,0,0,0,0,0,0,0
0.014151,0.0,0,0,0,0,0,0,0
0.0148439,0.0,0,0,0,0,0,0,0
0.0151541,0.0,0,0,0,0,0,0,0
0.016155,0.0,0,0,0,0,0,0,0
0.0171562,0.0,0,0,0,0,0,0,0
0.0177007,0.0,0,0,0,0,0,0,0
0.0178824,0.0,0,0,0,0,0,0,0
0.0191607,0.0,0,0,0,0,0,0,0
0.0201629,0.0,0,0,0,0,0,0,0
0.0211575,0.0,0,0,0,0,0,0,0
0.0211642,0.0,0,0,0,0,0,0,0
0.0231664,0.0,0,0,0,0,0,0,0
0.0241655,0.0,0,0,0,0,0,0,0
0.0241667,0.0,0,0,0,0,0,0,0
0.0251699,0.0,0,0,0,0,0,0,0
0.0261725,0.0,0,0,0,0,0,0,0
0.027184,0.0,0,0,0,0,0,0,0
0.0281869,0.0,0,0,0,0,0,0,0
0.0291887,0.0,0,0,0,0,0,0,0
0.0301925,0.0,0,0,0,0,0,0,0
0.0311967,0.0,0,0,0,0,0,0,0
0.0322035,0.0,0,0,0,0,0,0,0
0.0332056,0.0,0,0,0,0,0,0,0
0.0342062,0.0,0,0,0,0,0,0,0
0.0352099,0.0,0,0,0,0,0,0,0
0.0362279,0.0,0,0,0,0,0,0,0
0.0372292,0.0,0,0,0,0,0,0,0
0.0382355,0.0,0,0,0,0,0,0,0
0.039237,0.0,0,0,0,0,0,0,0
0.0402512,0.0,0,0,0,0,0,0,0
0.0412518,0.0,0,0,0,0,0,0,0
0.0422545,0.0,0,0,0,0,0,0,0
0.0432549,0.0,0,0,0,0,0,0,0
0.0442586,0.0,0,0,0,0,0,0,0
0.0452595,0.0,0,0,0,0,0,0,0
0.0462675,0.0,0,0,0,0,0,0,0
0.0472702,0.0,0,0,0,0,0,0,0
0.0482718,0.0,0,0,0,0,0,0,0
0.0492739,0.0,0,0,0,0,0,0,0
0.0512768,0.0,0,0,0,0,0,0,0
0.0522819,0.0,0,0,0,0,0,0,0
0.0542851,0.0,0,0,0,0,0,0,0
0.0552906,0.0,0,0,0,0,0,0,0
0.0562752,0.0,0,0,0,0,0,0,0
0.0562922,0.0,0,0,0,0,0,0,0
0.0572992,0.0,0,0,0,0,0,0,0
0.0583036,0.0,0,0,0,0,0,0,0
0.0593061,0.0,0,0,0,0,0,0,0
0.0603188,0.0,0,0,0,0,0,0,0
0.0613197,0.0,0,0,0,0,0,0,0
0.0622832,0.0,0,0,0,0,0,0,0
0.0623312,0.0,0,0,0,0,0,0,0
0.0633336,0.0,0,0,0,0,0,0,0
0.065361,0.0,0,0,0,0,0,0,0
0.0663639,0.0,0,0,0,0,0,0,0
0.0673705,0.0,0,0,0,0,0,0,0
0.0683773,0.0,0,0,0,0,0,0,0
0.069378,0.0,0,0,0,0,0,0,0
0.0713349,0.0,0,0,0,0,0,0,0
0.0714287,0.0,0,0,0,0,0,0,0
0.0724524,0.0,0,0,0,0,0,0,0
0.0734669,0.0,0,0,0,0,0,0,0
0.0744714,0.0,0,0,0,0,0,0,0
0.0754812,0.0,0,0,0,0,0,0,0
0.0764868,0.0,0,0,0,0,0,0,0
0.0775158,0.0,0,0,0,0,0,0,0
0.0785189,0.0,0,0,0,0,0,0,0
0.0795202,0.0,0,0,0,0,0,0,0
0.0805209,0.0,0,0,0,0,0,0,0
0.0815393,0.0,0,0,0,0,0,0,0
0.0825651,0.0,0,0,0,0,0,0,0
0.0835745,0.0,0,0,0,0,0,0,0
0.0845832,0.0,0,0,0,0,0,0,0
0.0856014,0.0,0,0,0,0,0,0,0
0.0866063,0.0,0,0,0,0,0,0,0
0.0876372,0.0,0,0,0,0,0,0,0
0.0886387,0.0,0,0,0,0,0,0,0
0.0896644,0.0,0,0,0,0,0,0,0
0.0906735,0.0,0,0,0,0,0,0,0
0.0917084,0.0,0,0,0,0,0,0,0
0.0927127,0.0,0,0,0,0,0,0,0
0.0937203,0.0,0,0,0,0,0,0,0
0.0947628,0.0,0,0,0,0,0,0,0
0.0957635,0.0,0,0,0,0,0,0,0
0.0967702,0.0,0,0,0,0,0,0,0
0.0978508,0.0,0,0,0,0,0,0,0
0.0988621,0.0,0,0,0,0,0,0,0
0.0998645,0.0,0,0,0,0,0,0,0
0.100875,0.0,0,0,0,0,0,0,0
0.101963,0.0,0,0,0,0,0,0,0
0.102965,0.0,0,0,0,0,0,0,0
0.104009,0.0,0,0,0,0,0,0,0
0.105018,0.0,0,0,0,0,0,0,0
0.10602,0.0,0,0,0,0,0,0,0
0.107021,0.0,0,0,0,0,0,0,0
0.108021,0.0,0,0,0,0,0,0,0
0.10904,0.0,0,0,0,0,0,0,0
0.111059,0.0,0,0,0,0,0,0,0
0.11206,0.0,0,0,0,0,0,0,0
0.113042,0.0,0,0,0,0,0,0,0
0.114118,0.0,0,0,0,0,0,0,0
0.115127,0.0,0,0,0,0,0,0,0
0.116135,0.0,0,0,0,0,0,0,0
0.118061,0.0,0,0,0,0,0,0,0
0.118166,0.0,0,0,0,0,0,0,0
0.120168,0.0,0,0,0,0,0,0,0
0.121172,0.0,0,0,0,0,0,0,0
0.122168,0.0,0,0,0,0,0,0,0
0.122174,0.0,0,0,0,0,0,0,0
0.123183,0.0,0,0,0,0,0,0,0
0.124212,0.0,0,0,0,0,0,0,0
0.125136,0.0,0,0,0,0,0,0,0
0.126213,0.0,0,0,0,0,0,0,0
0.12626,0.0,0,0,0,0,0,0,0
0.127324,0.0,0,0,0,0,0,0,0
0.128358,0.0,0,0,0,0,0,0,0
0.129418,0.0,0,0,0,0,0,0,0
0.131474,0.0,0,0,0,0,0,0,0
0.132475,0.0,0,0,0,0,0,0,0
0.133476,0.0,0,0,0,0,0,0,0
0.134538,0.0,0,0,0,0,0,0,0
0.135558,0.0,0,0,0,0,0,0,0
0.136559,0.0,0,0,0,0,0,0,0
0.137419,0.0,0,0,0,0,0,0,0
0.1376,0.0,0,0,0,0,0,0,0
0.139612,0.0,0,0,0,0,0,0,0
0.140633,0.0,0,0,0,0,0,0,0
0.142602,0.0,0,0,0,0,0,0,0
0.142769,0.0,0,0,0,0,0,0,0
0.143646,0.0,0,0,0,0,0,0,0
0.144959,0.0,0,0,0,0,0,0,0
0.14577,0.0,0,0,0,0,0,0,0
0.14596,0.0,0,0,0,0,0,0,0
0.147305,0.0,0,0,0,0,0,0,0
0.148306,0.0,0,0,0,0,0,0,0
0.149681,0.0,0,0,0,0,0,0,0
0.150682,0.0,0,0,0,0,0,0,0
0.151693,0.0,0,0,0,0,0,0,0
0.152746,0.0,0,0,0,0,0,0,0
0.154748,0.0,0,0,0,0,0,0,0
0.154766,0.0,0,0,0,0,0,0,0
0.156794,0.0,0,0,0,0,0,0,0
0.157795,0.0,0,0,0,0,0,0,0
0.158824,0.0,0,0,0,0,0,0,0
0.160922,0.0,0,0,0,0,0,0,0
0.162767,0.0,0,0,0,0,0,0,0
0.162954,0.0,0,0,0,0,0,0,0
0.165273,0.0,0,0,0,0,0,0,0
0.167454,0.0,0,0,0,0,0,0,0
0.168826,0.0,0,0,0,0,0,0,0
0.169521,0.0,0,0,0,0,0,0,0
0.169924,0.0,0,0,0,0,0,0,0
0.171613,0.0,0,0,0,0,0,0,0
0.172955,0.0,0,0,0,0,0,0,0
0.173455,0.0,0,0,0,0,0,0,0
0.173808,0.0,0,0,0,0,0,0,0
0.175274,0.0,0,0,0,0,0,0,0
0.17581,0.0,0,0,0,0,0,0,0
0.175859,0.0,0,0,0,0,0,0,0
0.177522,0.0,0,0,0,0,0,0,0
0.177981,0.0,0,0,0,0,0,0,0
0.180095,0.0,0,0,0,0,0,0,0
0.181096,0.0,0,0,0,0,0,0,0
0.181614,0.0,0,0,0,0,0,0,0
0.182274,0.0,0,0,0,0,0,0,0
0.18286,0.0,0,0,0,0,0,0,0
0.182982,0.0,0,0,0,0,0,0,0
0.184316,0.0,0,0,0,0,0,0,0
0.186368,0.0,0,0,0,0,0,0,0
0.18737,0.0,0,0,0,0,0,0,0
0.18838,0.0,0,0,0,0,0,0,0
0.189276,0.0,0,0,0,0,0,0,0
0.19048,0.0,0,0,0,0,0,0,0
0.191482,0.0,0,0,0,0,0,0,0
0.192381,0.0,0,0,0,0,0,0,0
0.192598,0.0,0,0,0,0,0,0,0
0.193317,0.0,0,0,0,0,0,0,0
0.194602,0.0,0,0,0,0,0,0,0
0.195603,0.0,0,0,0,0,0,0,0
0.196734,0.0,0,0,0,0,0,0,0
0.198877,0.0,0,0,0,0,0,0,0
0.200968,0.0,0,0,0,0,0,0,0
0.201735,0.0,0,0,0,0,0,0,0
0.201969,0.0,0,0,0,0,0,0,0
0.202599,0.0,0,0,0,0,0,0,0
0.202878,0.0,0,0,0,0,0,0,0
0.20411,0.0,0,0,0,0,0,0,0
0.206112,0.0,0,0,0,0,0,0,0
0.206165,0.0,0,0,0,0,0,0,0
0.208366,0.0,0,0,0,0,0,0,0
0.210507,0.0,0,0,0,0,0,0,0
0.21097,0.0,0,0,0,0,0,0,0
0.211367,0.0,0,0,0,0,0,0,0
0.212663,0.0,0,0,0,0,0,0,0
0.213166,0.0,0,0,0,0,0,0,0
0.214948,0.0,0,0,0,0,0,0,0
0.218074,0.0,0,0,0,0,0,0,0
0.218508,0.0,0,0,0,0,0,0,0
0.218664,0.0,0,0,0,0,0,0,0
0.220205,0.0,0,0,0,0,0,0,0
0.221047,0.0,0,0,0,0,0,0,0
0.22195,0.0,0,0,0,0,0,0,0
0.222246,0.0,0,0,0,0,0,0,0
0.223247,0.0,0,0,0,0,0,0,0
