Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM9_th,dAQM10_th,dAQM11_th
0.1,31.9443,37.7796,37.6992,39.3102,29.5958,38.995,38.995,31.7254
0.2,12.5568,12.6311,14.1107,11.3108,9.87836,17.4162,17.4162,14.342
0.3,6.85914,6.72594,7.4721,6.46549,5.7572,8.44827,8.44827,8.00885
0.4,5.49277,5.61264,6.32404,5.6298,4.95573,6.85686,6.85686,6.24283
0.5,5.1813,5.18801,5.91193,5.29991,4.5726,6.42123,6.42123,5.65012
0.6,3.84058,3.86774,4.24218,3.71858,3.37351,4.75639,4.75639,4.25808
0.7,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
0.8,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
0.9,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
1.0,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
1.1,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
1.2,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
1.3,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
1.4,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
1.5,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
1.6,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
1.7,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
1.8,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
1.9,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
2.0,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
2.1,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
2.2,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
2.3,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
2.4,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
2.5,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
2.6,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
2.7,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
2.8,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
2.9,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
3.0,3.46578,3.49062,3.85476,3.41397,3.06701,4.29956,4.29956,3.90022
3.1,2.4349,2.35115,3.54041,1.6107,2.16482,3.93763,3.93763,3.25847
3.2,2.36631,1.78895,1.54497,1.60583,1.70301,2.12544,2.12544,2.58168
3.3,2.59268,1.88162,1.87769,2.34742,1.89382,2.84928,2.84928,2.16297
3.4,3.31579,2.90188,3.13552,3.12749,2.89974,4.05929,4.05929,2.93993
3.5,3.77369,4.20149,4.35509,4.53124,4.27338,5.19598,5.19598,4.16113
3.6,5.01459,5.6419,5.62632,5.91089,5.66712,6.52369,6.52369,5.33277
3.7,6.22715,7.00883,6.99722,7.25762,6.97456,7.81593,7.81593,6.42127
3.8,7.32081,8.28704,8.25414,8.447,8.24126,9.07963,9.07963,7.4415
3.9,8.3898,9.46309,9.51204,9.59716,9.44434,10.3928,10.3928,8.53557
4.0,9.37283,10.5716,10.6067,10.7367,10.6372,11.4869,11.4869,9.44517
4.1,10.2884,11.6196,11.7371,11.7655,11.7868,12.6007,12.6007,10.4006
4.2,11.3567,12.638,12.849,12.8749,12.8269,13.0397,13.0397,11.1682
4.3,12.4287,13.6755,13.878,13.9185,13.8512,14.0119,14.0119,11.9826
4.4,13.4487,14.5926,14.8149,14.8715,14.7932,14.9254,14.9254,12.8064
4.5,14.4121,15.5018,15.6966,15.7248,15.7132,15.8415,15.8415,13.423
4.6,15.3132,16.4389,16.5556,16.5218,16.5118,16.7425,16.7425,14.2587
4.7,16.2536,17.2507,17.4465,17.3944,17.3616,17.6608,17.6608,14.9373
4.8,16.8103,18.0776,18.2934,18.2116,18.1907,18.5032,18.5032,15.6144
4.9,17.7138,18.8794,19.0729,18.9982,18.9192,19.2365,19.2365,16.2505
5.0,18.4655,19.5983,19.7748,19.7865,19.6533,19.9461,19.9461,17.099
5.1,19.2428,20.2987,20.528,20.4801,20.4077,20.6704,20.6704,17.8834
5.2,19.9645,21.0292,21.266,21.1978,21.0851,21.3115,21.3115,18.5843
5.3,20.6759,21.7348,21.9216,21.8996,21.7617,22.0139,22.0139,19.2608
5.4,21.3054,22.3347,22.5887,22.524,22.4226,22.6401,22.6401,19.9389
5.5,21.9333,22.9425,23.1894,23.1593,23.0112,23.2232,23.2232,20.5641
5.6,22.6216,23.589,23.7364,23.747,23.63,23.8129,23.8129,21.1177
5.7,23.1734,24.1661,24.2946,24.3456,24.2447,24.45,24.45,21.7662
5.8,23.7777,24.7433,24.896,24.8227,24.8111,25.0412,25.0412,22.4098
5.9,24.3413,25.3303,25.4391,25.381,25.3656,25.5768,25.5768,22.9075
6.0,24.8802,25.8347,25.9643,25.9293,25.8757,26.0613,26.0613,23.4798
6.1,25.442,26.3693,26.4479,26.4044,26.3912,26.5628,26.5628,23.9618
6.2,25.9048,26.8534,26.9392,26.8939,26.8586,27.0466,27.0466,24.5004
6.3,26.4505,27.3606,27.3621,27.3868,27.3141,27.4925,27.4925,25.0946
6.4,26.9418,27.7982,27.7908,27.8567,27.8237,27.9304,27.9304,25.6414
6.5,27.3659,28.2205,28.264,28.2803,28.2909,28.3901,28.3901,26.1403
6.6,27.7793,28.6616,28.6451,28.6605,28.7523,28.7737,28.7737,26.5906
6.7,28.2183,29.0295,29.119,29.1562,29.1538,29.1605,29.1605,27.0415
6.8,28.6161,29.4819,29.4935,29.5111,29.5758,29.5504,29.5504,27.5017
6.9,29.0285,29.9331,29.9329,29.8418,29.9466,29.9643,29.9643,27.8872
7.0,29.3964,30.3176,30.3328,30.2224,30.3625,30.3535,30.3535,28.3284
7.1,29.8207,30.7182,30.686,30.6707,30.7669,30.6978,30.6978,28.7087
7.2,30.2137,31.0974,31.0317,31.0486,31.1084,31.0972,31.0972,29.1226
7.3,30.596,31.4899,31.3824,31.3777,31.4816,31.4316,31.4316,29.4371
7.4,30.9376,31.8435,31.7748,31.7793,31.8409,31.7864,31.7864,29.8629
7.5,31.2901,32.1885,32.0424,32.1857,32.2193,32.1034,32.1034,30.1912
7.6,31.6196,32.466,32.3862,32.5449,32.5237,32.4466,32.4466,30.6064
7.7,31.9499,32.7731,32.679,32.8691,32.8509,32.8527,32.8527,30.9621
7.8,32.2856,33.1233,32.9631,33.2162,33.18,33.1504,33.1504,31.2794
7.9,32.5797,33.4256,33.2486,33.5642,33.4938,33.4546,33.4546,31.5249
8.0,32.9459,33.7578,33.6028,33.9676,33.8824,33.7296,33.7296,31.8847
8.1,33.2714,33.9996,33.8306,34.3193,34.2051,33.9744,33.9744,32.1245
8.2,33.6005,34.3143,34.1633,34.6541,34.5184,34.2693,34.2693,32.4999
8.3,33.879,34.5062,34.4897,34.9999,34.8728,34.6098,34.6098,32.7794
8.4,34.2137,34.8754,34.6786,35.2848,35.1577,34.9138,34.9138,33.0951
8.5,34.5244,35.1968,35.0218,35.5688,35.4088,35.23,35.23,33.4637
8.6,34.7734,35.5475,35.365,35.8486,35.6851,35.4762,35.4762,33.7314
8.7,35.0613,35.8085,35.6056,36.1246,35.9346,35.7804,35.7804,34.0321
8.8,35.3059,36.0088,35.9167,36.3876,36.2354,36.1481,36.1481,34.3478
