Simulation Time,Red_delay,Pie_delay,CoDel_delay,FqCoDel_delay,Cobalt_delay,dAQM9_delay,dAQM10_delay,dAQM11_delay
0.1,15.3972,15.8472,15.2857,18.6843,17.2715,12.2848,12.2848,12.2848
0.2,54.0888,79.7837,66.1272,71.3328,64.4104,64.181,64.181,64.181
0.3,104.135,122.935,114.775,122.842,112.461,111.604,111.604,111.604
0.4,134.19,161.171,131.176,164.346,135.402,136.01,136.01,136.01
0.5,148.715,192.518,177.376,193.345,160.21,177.299,177.299,177.299
0.6,169.155,227.17,235.536,219.729,198.935,202.242,202.242,202.242
0.7,215.548,262.949,239.157,255.44,239.906,231.191,231.191,231.191
0.8,256.287,284.925,259.856,270.679,265.499,266.104,266.104,266.104
0.9,268.296,286.846,289.157,300.653,298.527,293.633,293.633,293.633
1.0,259.54,317.9,311.386,329.825,343.892,325.189,325.189,325.189
1.1,299.73,353.778,351.457,366.619,357.903,330.567,330.567,330.567
1.2,331.672,365.385,365.293,384.117,363.629,342.335,342.335,342.335
1.3,373.243,400.54,402.56,408.29,393.317,389.068,389.068,389.068
1.4,402.147,430.913,396.243,426.821,399.211,431.62,431.62,431.62
1.5,454.711,457.841,423.926,450.663,410.274,452.11,452.11,452.11
1.6,461.16,503.531,451.355,456.04,437.125,455.161,455.161,455.161
1.7,485.15,534.259,477.836,465.794,485.161,479.184,479.184,479.184
1.8,516.264,540.423,526.215,486.926,498.423,515.093,515.093,515.093
1.9,540.788,571.143,546.101,500.139,533.66,557.837,557.837,557.837
2.0,526.218,569.757,556.276,530.687,537.587,564.994,564.994,564.994
2.1,534.024,577.355,576.649,549.544,587.505,579.52,579.52,579.52
2.2,537.825,602.942,590.597,599.811,598.452,591.947,591.947,591.947
2.3,561.883,619.862,615.45,610.749,599.339,606.371,606.371,606.371
2.4,578.037,651.925,630.618,639.153,632.195,615.68,615.68,615.68
2.5,613.271,671.145,644.224,654.091,641.379,645.789,645.789,645.789
2.6,663.834,693.935,654.727,675.695,647.507,652.976,652.976,652.976
2.7,670.81,713.033,671.012,695.155,665.049,687.952,687.952,687.952
2.8,685.111,727.303,691.79,737.526,676.65,705.384,705.384,705.384
2.9,700.332,748.827,715.184,758.584,691.033,716.066,716.066,716.066
3.0,710.529,772.253,734.925,780.068,712.998,727.545,727.545,727.545
3.1,734.079,795.947,755.932,804.83,732.665,748.894,748.894,748.894
3.2,755.758,818.966,779.507,826.239,754.869,771.192,771.192,771.192
3.3,777.169,845.643,807.154,849.873,781.248,790.207,790.207,790.207
3.4,794.687,871.415,832.559,874.036,805.24,814.947,814.947,814.947
