Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
0.1,0.0249455,0.028768,0.021878,0.0331121,0.0321839,0.0297538,0.0297538,0.0297538
0.2,0.139526,0.127382,0.136856,0.132972,0.130983,0.095094,0.095094,0.095094
0.3,0.224773,0.225488,0.222499,0.226216,0.218308,0.220324,0.220324,0.220324
0.4,0.310346,0.313275,0.311866,0.30211,0.312573,0.30716,0.30716,0.30716
0.5,0.403353,0.390736,0.395359,0.38146,0.39995,0.399551,0.399551,0.399551
0.6,0.497832,0.485329,0.487813,0.462235,0.492501,0.486704,0.486704,0.486704
0.7,0.590792,0.571735,0.585743,0.566468,0.588041,0.582759,0.582759,0.582759
0.8,0.679963,0.670894,0.677582,0.672294,0.68503,0.671184,0.671184,0.671184
0.9,0.757052,0.756998,0.773562,0.760181,0.761675,0.774597,0.774597,0.774597
1.0,0.860412,0.854213,0.860134,0.842643,0.848874,0.865251,0.865251,0.865251
1.1,0.952912,0.939184,0.954092,0.935301,0.935157,0.947747,0.947747,0.947747
1.2,1.04155,1.04323,1.03325,1.02711,1.03932,1.05245,1.05245,1.05245
1.3,1.14259,1.14584,1.1402,1.1288,1.127,1.15874,1.15874,1.15874
1.4,1.24689,1.22882,1.25642,1.22786,1.23789,1.24026,1.24026,1.24026
1.5,1.33437,1.3293,1.3481,1.32922,1.34096,1.34801,1.34801,1.34801
1.6,1.43115,1.41981,1.43557,1.43211,1.44071,1.44258,1.44258,1.44258
1.7,1.5363,1.53196,1.53782,1.52715,1.54333,1.53535,1.53535,1.53535
1.8,1.62735,1.62459,1.64344,1.6233,1.63605,1.62855,1.62855,1.62855
1.9,1.72581,1.71495,1.7428,1.71214,1.73363,1.72096,1.72096,1.72096
2.0,1.82413,1.81405,1.84003,1.8092,1.84092,1.83539,1.83539,1.83539
2.1,1.91985,1.92859,1.9328,1.90258,1.93173,1.9361,1.9361,1.9361
2.2,2.00917,2.04197,2.03308,2.00908,2.03488,2.02815,2.02815,2.02815
2.3,2.11192,2.12385,2.13382,2.10531,2.12769,2.1298,2.1298,2.1298
