Simulation Time,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM9_ql,dAQM10_ql,dAQM11_ql
0.0280904,1,1.0,1,1,1,1,1,1.0
0.0280904,0,0.0,0,0,0,0,0,0.0
0.0290907,1,1.0,1,1,1,1,1,1.0
0.0290907,0,0.0,0,0,0,0,0,0.0
0.0300919,1,1.0,1,1,1,1,1,1.0
0.0300919,0,0.0,0,0,0,0,0,0.0
0.0301673,1,1.0,1,1,1,1,1,1.0
0.0301673,0,0.0,0,0,0,0,0,0.0
0.0310943,1,1.0,1,1,1,1,1,1.0
0.0310943,0,0.0,0,0,0,0,0,0.0
0.03184,1,1.0,1,1,1,1,1,1.0
0.03184,0,0.0,0,0,0,0,0,0.0
0.0320945,1,1.0,1,1,1,1,1,1.0
0.0320945,0,0.0,0,0,0,0,0,0.0
0.0330958,1,1.0,1,1,1,1,1,1.0
0.0330958,0,0.0,0,0,0,0,0,0.0
0.033728,1,1.0,1,1,1,1,1,1.0
0.033728,0,0.0,0,0,0,0,0,0.0
0.0340409,1,1.0,1,1,1,1,1,1.0
0.0340409,0,0.0,0,0,0,0,0,0.0
0.0351701,1,1.0,1,1,1,1,1,1.0
0.0351701,0,0.0,0,0,0,0,0,0.0
0.0361714,1,1.0,1,1,1,1,1,1.0
0.0361714,0,0.0,0,0,0,0,0,0.0
0.0366015,1,1.0,1,1,1,1,1,1.0
0.0366015,0,0.0,0,0,0,0,0,0.0
0.0371738,1,1.0,1,1,1,1,1,1.0
0.0371738,0,0.0,0,0,0,0,0,0.0
0.038174,1,1.0,1,1,1,1,1,1.0
0.038174,0,0.0,0,0,0,0,0,0.0
0.0391753,1,1.0,1,1,1,1,1,1.0
0.0391753,0,0.0,0,0,0,0,0,0.0
0.0395525,1,1.0,1,1,1,1,1,1.0
0.0395525,0,0.0,0,0,0,0,0,0.0
0.0400748,1,1.0,1,1,1,1,1,1.0
0.0400748,0,0.0,0,0,0,0,0,0.0
0.0403436,1,1.0,1,1,1,1,1,1.0
0.0403436,0,0.0,0,0,0,0,0,0.0
0.0407237,1,1.0,1,1,1,1,1,1.0
0.0407237,0,0.0,0,0,0,0,0,0.0
0.0408803,1,1.0,1,1,1,1,1,1.0
0.0408803,0,0.0,0,0,0,0,0,0.0
0.041245,1,1.0,1,1,1,1,1,1.0
0.041245,0,0.0,0,0,0,0,0,0.0
0.0416069,1,1.0,1,1,1,1,1,1.0
0.0416069,0,0.0,0,0,0,0,0,0.0
0.0422463,1,1.0,1,1,1,1,1,1.0
0.0422463,0,0.0,0,0,0,0,0,0.0
0.0422742,1,1.0,1,1,1,1,1,1.0
0.0422742,0,0.0,0,0,0,0,0,0.0
0.0427979,1,1.0,1,1,1,1,1,1.0
0.0427979,0,0.0,0,0,0,0,0,0.0
0.0439053,1,1.0,1,1,1,1,1,1.0
0.0439053,0,0.0,0,0,0,0,0,0.0
0.0443176,1,1.0,1,1,1,1,1,1.0
0.0443176,0,0.0,0,0,0,0,0,0.0
0.0447229,1,1.0,1,1,1,1,1,1.0
0.0447229,0,0.0,0,0,0,0,0,0.0
0.0450755,1,1.0,1,1,1,1,1,1.0
0.0450755,0,0.0,0,0,0,0,0,0.0
0.0453188,1,1.0,1,1,1,1,1,1.0
0.0453188,0,0.0,0,0,0,0,0,0.0
0.0454849,1,1.0,1,1,1,1,1,1.0
0.0454849,0,0.0,0,0,0,0,0,0.0
0.0464855,1,1.0,1,1,1,1,1,1.0
0.0464855,0,0.0,0,0,0,0,0,0.0
0.0468816,1,1.0,1,1,1,1,1,1.0
0.0468816,0,0.0,0,0,0,0,0,0.0
0.0473659,1,1.0,1,1,1,1,1,1.0
0.0473659,0,0.0,0,0,0,0,0,0.0
0.0483672,1,1.0,1,1,1,1,1,1.0
0.0483672,0,0.0,0,0,0,0,0,0.0
0.0487299,1,1.0,1,1,1,1,1,1.0
0.0487299,0,0.0,0,0,0,0,0,0.0
0.0492487,1,1.0,1,1,1,1,1,1.0
0.0492487,0,0.0,0,0,0,0,0,0.0
0.049309,1,1.0,1,1,1,1,1,1.0
0.049309,0,0.0,0,0,0,0,0,0.0
0.0499276,1,1.0,1,1,1,1,1,1.0
0.0499276,0,0.0,0,0,0,0,0,0.0
0.0500865,1,1.0,1,1,1,1,1,1.0
0.0500865,0,0.0,0,0,0,0,0,0.0
0.0504299,1,1.0,1,1,1,1,1,1.0
0.0504299,0,0.0,0,0,0,0,0,0.0
0.0511725,1,1.0,1,1,1,1,1,1.0
0.0511725,0,0.0,0,0,0,0,0,0.0
0.0512014,1,1.0,1,1,1,1,1,1.0
0.0512014,0,0.0,0,0,0,0,0,0.0
0.0513414,1,1.0,1,1,1,1,1,1.0
0.0513414,0,0.0,0,0,0,0,0,0.0
0.0514312,1,1.0,1,1,1,1,1,1.0
0.0514312,0,0.0,0,0,0,0,0,0.0
0.0522124,1,1.0,1,1,1,1,1,1.0
0.0522124,0,0.0,0,0,0,0,0,0.0
0.0524737,1,1.0,1,1,1,1,1,1.0
0.0524737,0,0.0,0,0,0,0,0,0.0
0.0534342,1,1.0,1,1,1,1,1,1.0
0.0534342,0,0.0,0,0,0,0,0,0.0
0.0544355,1,1.0,1,1,1,1,1,1.0
0.0544355,0,0.0,0,0,0,0,0,0.0
0.0553212,1,1.0,1,1,1,1,1,1.0
0.0553212,0,0.0,0,0,0,0,0,0.0
0.0558248,1,1.0,1,1,1,1,1,1.0
0.0558248,0,0.0,0,0,0,0,0,0.0
0.0563373,1,1.0,1,1,1,1,1,1.0
0.0563373,0,0.0,0,0,0,0,0,0.0
0.0563696,1,1.0,1,1,1,1,1,1.0
0.0563696,0,0.0,0,0,0,0,0,0.0
0.0564711,1,1.0,1,1,1,1,1,1.0
0.0564711,0,0.0,0,0,0,0,0,0.0
0.0574724,1,1.0,1,1,1,1,1,1.0
0.0574724,0,0.0,0,0,0,0,0,0.0
0.058249,1,1.0,1,1,1,1,1,1.0
0.058249,0,0.0,0,0,0,0,0,0.0
0.0584379,1,1.0,1,1,1,1,1,1.0
0.0584379,0,0.0,0,0,0,0,0,0.0
0.0587852,1,1.0,1,1,1,1,1,1.0
0.0587852,0,0.0,0,0,0,0,0,0.0
0.0589361,1,1.0,1,1,1,1,1,1.0
0.0589361,0,0.0,0,0,0,0,0,0.0
0.0594761,1,1.0,1,1,1,1,1,1.0
0.0594761,0,0.0,0,0,0,0,0,0.0
0.0600998,1,1.0,1,1,1,1,1,1.0
0.0600998,0,0.0,0,0,0,0,0,0.0
0.0604448,1,1.0,1,1,1,1,1,1.0
0.0604448,0,0.0,0,0,0,0,0,0.0
0.0604774,1,1.0,1,1,1,1,1,1.0
