Simulation Time,Red_sj,Pie_sj,CoDel_sj,FqCoDel_sj,Cobalt_sj,dAQM9_sj,dAQM10_sj,dAQM11_sj
0.0280904,0.0,0.0,0,0,0,0,0,0
0.0290907,0.0,0.0,0,0,0,0,0,0
0.0300919,0.0,0.0,0,0,0,0,0,0
0.0301673,0.0,0.0,0,0,0,0,0,0
0.0310943,0.0,0.0,0,0,0,0,0,0
0.03184,0.0,0.0,0,0,0,0,0,0
0.0320945,0.0,0.0,0,0,0,0,0,0
0.0330958,0.0,0.0,0,0,0,0,0,0
0.033728,0.0,0.0,0,0,0,0,0,0
0.0340409,0.0,0.0,0,0,0,0,0,0
0.0351701,0.0,0.0,0,0,0,0,0,0
0.0361714,0.0,0.0,0,0,0,0,0,0
0.0366015,0.0,0.0,0,0,0,0,0,0
0.0371738,0.0,0.0,0,0,0,0,0,0
0.038174,0.0,0.0,0,0,0,0,0,0
0.0391753,0.0,0.0,0,0,0,0,0,0
0.0395525,0.0,0.0,0,0,0,0,0,0
0.0400748,0.0,0.0,0,0,0,0,0,0
0.0403436,0.0,0.0,0,0,0,0,0,0
0.0407237,0.0,0.0,0,0,0,0,0,0
0.0408803,0.0,0.0,0,0,0,0,0,0
0.041245,0.0,0.0,0,0,0,0,0,0
0.0416069,0.0,0.0,0,0,0,0,0,0
0.0422463,0.0,0.0,0,0,0,0,0,0
0.0422742,0.0,0.0,0,0,0,0,0,0
0.0427979,0.0,0.0,0,0,0,0,0,0
0.0439053,0.0,0.0,0,0,0,0,0,0
0.0443176,0.0,0.0,0,0,0,0,0,0
0.0447229,0.0,0.0,0,0,0,0,0,0
0.0450755,0.0,0.0,0,0,0,0,0,0
0.0453188,0.0,0.0,0,0,0,0,0,0
0.0454849,0.0,0.0,0,0,0,0,0,0
0.0464855,0.0,0.0,0,0,0,0,0,0
0.0468816,0.0,0.0,0,0,0,0,0,0
0.0473659,0.0,0.0,0,0,0,0,0,0
0.0483672,0.0,0.0,0,0,0,0,0,0
0.0487299,0.0,0.0,0,0,0,0,0,0
0.0492487,0.0,0.0,0,0,0,0,0,0
0.049309,0.0,0.0,0,0,0,0,0,0
0.0499276,0.0,0.0,0,0,0,0,0,0
0.0500865,0.0,0.0,0,0,0,0,0,0
0.0504299,0.0,0.0,0,0,0,0,0,0
0.0511725,0.0,0.0,0,0,0,0,0,0
0.0512014,0.0,0.0,0,0,0,0,0,0
0.0513414,0.0,0.0,0,0,0,0,0,0
0.0514312,0.0,0.0,0,0,0,0,0,0
0.0522124,0.0,0.0,0,0,0,0,0,0
0.0524737,0.0,0.0,0,0,0,0,0,0
0.0534342,0.0,0.0,0,0,0,0,0,0
0.0544355,0.0,0.0,0,0,0,0,0,0
0.0553212,0.0,0.0,0,0,0,0,0,0
0.0558248,0.0,0.0,0,0,0,0,0,0
0.0563373,0.0,0.0,0,0,0,0,0,0
0.0563696,0.0,0.0,0,0,0,0,0,0
0.0564711,0.0,0.0,0,0,0,0,0,0
0.0574724,0.0,0.0,0,0,0,0,0,0
0.058249,0.0,0.0,0,0,0,0,0,0
0.0584379,0.0,0.0,0,0,0,0,0,0
0.0587852,0.0,0.0,0,0,0,0,0,0
0.0589361,0.0,0.0,0,0,0,0,0,0
0.0594761,0.0,0.0,0,0,0,0,0,0
0.0600998,0.0,0.0,0,0,0,0,0,0
0.0604448,0.0,0.0,0,0,0,0,0,0
0.0604774,0.0,0.0,0,0,0,0,0,0
0.060805,0.0,0.0,0,0,0,0,0,0
0.0610278,0.0,0.0,0,0,0,0,0,0
0.0625491,0.0,0.0,0,0,0,0,0,0
0.0626948,0.0,0.0,0,0,0,0,0,0
0.0633635,0.0,0.0,0,0,0,0,0,0
0.0635671,0.0,0.0,0,0,0,0,0,0
0.0645684,0.0,0.0,0,0,0,0,0,0
0.0654394,0.0,0.0,0,0,0,0,0,0
0.0660173,0.0,0.0,0,0,0,0,0,0
0.0664747,0.0,0.0,0,0,0,0,0,0
0.0665724,0.0,0.0,0,0,0,0,0,0
0.0669343,0.0,0.0,0,0,0,0,0,0
0.0672553,0.0,0.0,0,0,0,0,0,0
0.0674568,0.0,0.0,0,0,0,0,0,0
0.067582,0.0,0.0,0,0,0,0,0,0
0.0677928,0.0,0.0,0,0,0,0,0,0
0.0680683,0.0,0.0,0,0,0,0,0,0
0.0681407,0.0,0.0,0,0,0,0,0,0
0.0682641,0.0,0.0,0,0,0,0,0,0
0.0685985,0.0,0.0,0,0,0,0,0,0
0.0686728,0.0,0.0,0,0,0,0,0,0
