Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM9_th,dAQM10_th,dAQM11_th
0.1,258.259,283.439,266.387,206.525,189.261,232.646,232.646,232.646
0.2,55.7339,93.2529,61.2579,53.9449,52.7926,75.0661,75.0661,75.0661
0.3,51.1724,46.8618,45.5714,44.6997,49.7436,43.9107,43.9107,43.9107
0.4,44.5659,41.7851,43.6155,39.387,45.9424,45.1421,45.1421,45.1421
0.5,42.1305,38.9411,39.1227,35.2101,43.6349,40.7284,40.7284,40.7284
0.6,40.3525,35.5863,34.2913,33.8826,40.0123,40.083,40.083,40.083
0.7,36.042,32.019,33.4125,30.6609,35.5659,36.8154,36.8154,36.8154
0.8,32.7246,29.9277,32.2495,29.765,33.5066,34.3058,34.3058,34.3058
0.9,32.7367,30.0862,30.6146,28.8911,31.9209,32.2835,32.2835,32.2835
1.0,33.0603,28.9515,30.3912,27.8411,29.7497,30.8346,30.8346,30.8346
1.1,31.065,27.9969,28.7223,27.0842,29.2271,30.7287,30.7287,30.7287
1.2,30.0666,27.3461,28.7029,26.7371,28.5924,29.7058,29.7058,29.7058
1.3,28.7394,26.4636,27.0707,25.7171,27.8837,27.9423,27.9423,27.9423
1.4,28.2192,26.5842,26.8697,25.3628,27.748,27.0597,27.0597,27.0597
1.5,27.1458,25.8646,26.4876,24.636,27.5193,26.9664,26.9664,26.9664
1.6,26.5796,25.1683,26.2559,24.7928,27.1249,26.8065,26.8065,26.8065
1.7,25.9515,24.5685,25.6466,24.9195,26.2276,26.4017,26.4017,26.4017
1.8,25.4078,24.7641,24.7926,24.8483,26.178,25.7265,25.7265,25.7265
1.9,24.9898,24.1404,24.7015,25.0366,25.3664,25.0944,25.0944,25.0944
2.0,25.0914,24.2625,24.5883,24.9317,25.4023,25.0428,25.0428,25.0428
2.1,24.8108,24.1856,24.3594,25.0662,24.7424,24.4886,24.4886,24.4886
2.2,24.9825,23.8528,24.1796,24.5447,24.8138,24.6637,24.6637,24.6637
2.3,24.6599,24.113,24.0046,24.6011,24.8716,24.5374,24.5374,24.5374
2.4,24.5062,23.9491,23.98,24.4989,24.4019,24.6222,24.6222,24.6222
2.5,24.3514,23.8202,24.2222,24.2634,24.5851,24.2898,24.2898,24.2898
2.6,24.0294,24.0045,24.1279,24.2477,24.4823,24.3947,24.3947,24.3947
2.7,24.0227,23.9885,24.1591,24.2371,24.3498,24.0686,24.0686,24.0686
2.8,24.1133,24.1253,24.0687,24.1973,24.4144,24.1594,24.1594,24.1594
2.9,24.148,24.1664,24.0439,24.0856,24.5909,24.3281,24.3281,24.3281
3.0,24.2197,24.1415,24.0984,24.1131,24.5236,24.3034,24.3034,24.3034
3.1,24.0421,24.1852,24.2554,24.1495,24.5344,24.2758,24.2758,24.2758
3.2,24.0956,24.2255,24.282,24.2373,24.6383,24.3151,24.3151,24.3151
3.3,24.0313,24.3888,24.3108,24.3372,24.5476,24.3039,24.3039,24.3039
3.4,24.117,24.295,24.2839,24.2021,24.7066,24.4219,24.4219,24.4219
3.5,24.2609,24.4047,24.3532,24.1892,24.753,24.3623,24.3623,24.3623
3.6,24.0356,24.4111,24.3887,24.2887,24.7708,24.3501,24.3501,24.3501
3.7,24.103,24.5097,24.3243,24.322,24.7149,24.3657,24.3657,24.3657
3.8,24.1758,24.3455,24.2973,24.3017,24.7026,24.4386,24.4386,24.4386
3.9,24.1126,24.2872,24.2841,24.209,24.6718,24.4667,24.4667,24.4667
4.0,24.1643,24.2938,24.2886,24.2988,24.6838,24.4157,24.4157,24.4157
4.1,24.2087,24.3158,24.3159,24.2741,24.6973,24.329,24.329,24.329
4.2,24.2473,24.3919,24.3428,24.297,24.7292,24.3758,24.3758,24.3758
4.3,24.3101,24.4068,24.2938,24.3726,24.6871,24.4098,24.4098,24.4098
4.4,24.2533,24.369,24.3926,24.3952,24.7087,24.4413,24.4413,24.4413
4.5,24.261,24.4316,24.3638,24.4263,24.8026,24.4342,24.4342,24.4342
4.6,24.2198,24.4279,24.3409,24.4246,24.7729,24.5012,24.5012,24.5012
4.7,24.2605,24.4178,24.3913,24.3208,24.6918,24.5077,24.5077,24.5077
4.8,24.313,24.4297,24.4325,24.3792,24.6987,24.4824,24.4824,24.4824
4.9,24.3305,24.4273,24.4609,24.4838,24.6763,24.4553,24.4553,24.4553
5.0,24.374,24.4495,24.4337,24.4129,24.7589,24.4785,24.4785,24.4785
5.1,24.2501,24.5135,24.4256,24.3418,24.7671,24.435,24.435,24.435
5.2,24.2658,24.4943,24.4723,24.3719,24.8123,24.46,24.46,24.46
5.3,24.2461,24.5794,24.4455,24.4164,24.8415,24.4791,24.4791,24.4791
5.4,24.249,24.4874,24.4136,24.3879,24.8254,24.4817,24.4817,24.4817
5.5,24.3024,24.5035,24.3898,24.3886,24.8313,24.494,24.494,24.494
5.6,24.3254,24.4697,24.3681,24.4302,24.792,24.4581,24.4581,24.4581
5.7,24.3209,24.4927,24.4115,24.4004,24.8378,24.4888,24.4888,24.4888
5.8,24.2766,24.4735,24.422,24.3946,24.8769,24.4648,24.4648,24.4648
5.9,24.3395,24.4496,24.3928,24.4116,24.8375,24.4792,24.4792,24.4792
6.0,24.3819,24.4996,24.4084,24.4428,24.8134,24.4931,24.4931,24.4931
6.1,24.4154,24.5038,24.4741,24.4836,24.843,24.5161,24.5161,24.5161
6.2,24.4505,24.5377,24.4534,24.4469,24.8368,24.5092,24.5092,24.5092
6.3,24.4148,24.5938,24.4565,24.454,24.8348,24.5574,24.5574,24.5574
6.4,24.3514,24.576,24.4564,24.484,24.8804,24.5282,24.5282,24.5282
6.5,24.3742,24.5504,24.4796,24.517,24.8743,24.5709,24.5709,24.5709
6.6,24.3021,24.5723,24.5041,24.4552,24.8594,24.5645,24.5645,24.5645
6.7,24.3522,24.5498,24.5028,24.5057,24.8802,24.4894,24.4894,24.4894
6.8,24.3534,24.503,24.5464,24.4868,24.8374,24.4922,24.4922,24.4922
6.9,24.3635,24.5204,24.4728,24.4761,24.8429,24.5185,24.5185,24.5185
7.0,24.3886,24.5562,24.493,24.4976,24.8373,24.5179,24.5179,24.5179
7.1,24.3654,24.5684,24.4942,24.5234,24.7998,24.5735,24.5735,24.5735
7.2,24.3775,24.5683,24.5148,24.5334,24.7927,24.5767,24.5767,24.5767
7.3,24.4164,24.6109,24.5106,24.5304,24.8377,24.5968,24.5968,24.5968
7.4,24.4266,24.5778,24.5325,24.5149,24.8707,24.5903,24.5903,24.5903
7.5,24.459,24.5773,24.5271,24.4644,24.9005,24.5961,24.5961,24.5961
7.6,24.4435,24.6016,24.4903,24.4981,24.8954,24.6117,24.6117,24.6117
7.7,24.4656,24.6005,24.5092,24.5141,24.9014,24.6246,24.6246,24.6246
7.8,24.4224,24.5949,24.5208,24.507,24.8905,24.6247,24.6247,24.6247
7.9,24.4449,24.6265,24.5377,24.4997,24.8905,24.5648,24.5648,24.5648
8.0,24.4394,24.6071,24.5643,24.4911,24.8737,24.6035,24.6035,24.6035
8.1,24.4304,24.5644,24.569,24.5058,24.8563,24.6088,24.6088,24.6088
8.2,24.4154,24.58,24.6002,24.5124,24.8766,24.6087,24.6087,24.6087
8.3,24.4035,24.56,24.621,24.535,24.8678,24.6132,24.6132,24.6132
8.4,24.4229,24.568,24.5611,24.5361,24.8715,24.6039,24.6039,24.6039
8.5,24.445,24.6217,24.552,24.4938,24.8976,24.6184,24.6184,24.6184
8.6,24.4865,24.6475,24.5675,24.539,24.9025,24.6245,24.6245,24.6245
8.7,24.5036,24.6335,24.5732,24.5476,24.8805,24.5948,24.5948,24.5948
8.8,24.4737,24.6404,24.6017,24.5463,24.9052,24.5872,24.5872,24.5872
8.9,24.4669,24.6468,24.5804,24.5718,24.8683,24.6012,24.6012,24.6012
9.0,24.4776,24.6099,24.6056,24.553,24.8671,24.6069,24.6069,24.6069
9.1,24.4919,24.6165,24.5767,24.5599,24.8985,24.6167,24.6167,24.6167
9.2,24.4859,24.6385,24.5676,24.5391,24.9001,24.6283,24.6283,24.6283
9.3,24.4971,24.6495,24.6256,24.5851,24.868,24.6082,24.6082,24.6082
9.4,24.5205,24.638,24.6282,24.5523,24.8954,24.6037,24.6037,24.6037
9.5,24.5011,24.6222,24.6306,24.5582,24.8874,24.631,24.631,24.631
9.6,24.4905,24.6669,24.6144,24.5818,24.8907,24.6027,24.6027,24.6027
9.7,24.4976,24.65,24.6092,24.5286,24.8808,24.611,24.611,24.611
9.8,24.5189,24.6625,24.6101,24.5602,24.8827,24.6094,24.6094,24.6094
9.9,24.5503,24.6333,24.6097,24.536,24.9335,24.6052,24.6052,24.6052
10.0,24.5461,24.6523,24.5751,24.5385,24.9277,24.6425,24.6425,24.6425
