drop rate / (0.0-1.0),Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM1_fct,dAQM2_fct,dAQM3_fct,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM1_th,dAQM2_th,dAQM3_th,Red_sj,Pie_sj,CoDel_sj,FqCoDel_sj,Cobalt_sj,dAQM1_sj,dAQM2_sj,dAQM3_sj,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM1_ql,dAQM2_ql,dAQM3_ql,Red_delay,Pie_delay,CoDel_delay,FqCoDel_delay,Cobalt_delay,dAQM1_delay,dAQM2_delay,dAQM3_delay,Red_plr,Pie_plr,CoDel_plr,FqCoDel_plr,Cobalt_plr,dAQM1_plr,dAQM2_plr,dAQM3_plr
0.01,2.8077994156,2.8485794028,2.8048678807,2.8500635807,2.8440506606,2.8556691312,2.8381375716,2.832964911,437.4675688073,459.5620091743,450.9832568807,461.3614036697,444.4824678899,457.6098440367,458.1015137615,443.0171743119,1550.9730357973,224.7062240664,360.8964365256,372.4237012987,210.9349555452,56.6481626271,423.6505145798,604.7818356559,112.742912496,14.4296441397,26.2313677016,26.3729876804,19.1539179104,10.4891673586,25.3614002622,27.4527629234,209.2619843119,239.0499200917,190.7739757798,183.4663105505,165.2545207339,176.264366055,186.2334862385,204.7619100917,0,0.157564131,0.0847672608,0.0885725102,0.1242841303,0.0021878557,0.0068401639,0.0072673706
0.1,2.8077994156,2.8485794028,2.8048678807,2.8500635807,2.8440506606,2.8620215624,2.8414767917,2.8327777092,437.4675688073,459.5620091743,450.9832568807,461.3614036697,444.4824678899,460.1807706422,456.0715321101,460.3128256881,1550.9730357973,224.7062240664,360.8964365256,372.4237012987,210.9349555452,62.2131204443,407.8095676173,535.8263157895,112.742912496,14.4296441397,26.2313677016,26.3729876804,19.1539179104,10.9921920607,21.3579204796,33.9942999123,209.2619843119,239.0499200917,190.7739757798,183.4663105505,165.2545207339,191.7281082569,179.7192889908,242.2309715596,0,0.157564131,0.0847672608,0.0885725102,0.1242841303,0.0110599476,0.0201739097,0.0313242367
0.2,2.8077994156,2.8485794028,2.8048678807,2.8500635807,2.8440506606,2.8574032596,2.8325866541,2.8325866541,437.4675688073,459.5620091743,450.9832568807,461.3614036697,444.4824678899,456.648266055,464.9770458716,464.9770458716,1550.9730357973,224.7062240664,360.8964365256,372.4237012987,210.9349555452,90.0632071791,311.541015625,311.541015625,112.742912496,14.4296441397,26.2313677016,26.3729876804,19.1539179104,11.8847839226,18.081358478,18.081358478,209.2619843119,239.0499200917,190.7739757798,183.4663105505,165.2545207339,171.6647294495,211.0820569725,211.0820569725,0,0.157564131,0.0847672608,0.0885725102,0.1242841303,0.0238130145,0.0396306373,0.0396306373
0.3,2.8077994156,2.8485794028,2.8048678807,2.8500635807,2.8440506606,2.8106890725,2.8402587972,2.8354947606,437.4675688073,459.5620091743,450.9832568807,461.3614036697,444.4824678899,449.2141743119,459.8725412844,457.8049816514,1550.9730357973,224.7062240664,360.8964365256,372.4237012987,210.9349555452,118.5945537065,174.1700404858,352.3978201635,112.742912496,14.4296441397,26.2313677016,26.3729876804,19.1539179104,11.9495474223,13.5773569024,16.8494797273,209.2619843119,239.0499200917,190.7739757798,183.4663105505,165.2545207339,145.2965015596,179.846970367,196.0540336697,0,0.157564131,0.0847672608,0.0885725102,0.1242841303,0.0272767174,0.0511747056,0.0491819447
0.4,2.8077994156,2.8485794028,2.8048678807,2.8500635807,2.8440506606,2.8486591009,2.8385574495,2.8360091009,437.4675688073,459.5620091743,450.9832568807,461.3614036697,444.4824678899,453.3639357798,459.3389266055,459.809146789,1550.9730357973,224.7062240664,360.8964365256,372.4237012987,210.9349555452,76.8944906445,89.9327671621,223.3228795438,112.742912496,14.4296441397,26.2313677016,26.3729876804,19.1539179104,11.3185490519,11.3932811538,13.4965418126,209.2619843119,239.0499200917,190.7739757798,183.4663105505,165.2545207339,168.7174624771,164.3249450459,206.9644175229,0,0.157564131,0.0847672608,0.0885725102,0.1242841303,0.060986969,0.0676263672,0.0700497442
0.5,2.8077994156,2.8485794028,2.8048678807,2.8500635807,2.8440506606,2.844679278,2.8320438651,2.8305149661,437.4675688073,459.5620091743,450.9832568807,461.3614036697,444.4824678899,461.339587156,460.3347798165,470.9817522936,1550.9730357973,224.7062240664,360.8964365256,372.4237012987,210.9349555452,38.0989761092,97.360343184,131.2101960784,112.742912496,14.4296441397,26.2313677016,26.3729876804,19.1539179104,10.0914145024,11.4194472687,11.6875619202,209.2619843119,239.0499200917,190.7739757798,183.4663105505,165.2545207339,191.7763669725,177.0544431193,223.0452211009,0,0.157564131,0.0847672608,0.0885725102,0.1242841303,0.0406357996,0.0757545662,0.0927233103
0.6,2.8077994156,2.8485794028,2.8048678807,2.8500635807,2.8440506606,2.8483887183,2.8436500028,2.8025033972,437.4675688073,459.5620091743,450.9832568807,461.3614036697,444.4824678899,471.2861100917,471.929266055,469.818,1550.9730357973,224.7062240664,360.8964365256,372.4237012987,210.9349555452,37.8312236287,61.9931818182,173.7479564033,112.742912496,14.4296441397,26.2313677016,26.3729876804,19.1539179104,9.8056358382,10.5297337415,11.9643267024,209.2619843119,239.0499200917,190.7739757798,183.4663105505,165.2545207339,160.8584222936,159.566282844,215.1488865138,0,0.157564131,0.0847672608,0.0885725102,0.1242841303,0.0213547592,0.0803831429,0.0907142795
0.7,2.8077994156,2.8485794028,2.8048678807,2.8500635807,2.8440506606,2.8399764404,2.846468367,2.8250403853,437.4675688073,459.5620091743,450.9832568807,461.3614036697,444.4824678899,457.9610275229,448.7318073394,448.6389082569,1550.9730357973,224.7062240664,360.8964365256,372.4237012987,210.9349555452,39.837398374,77.7310344828,148.12,112.742912496,14.4296441397,26.2313677016,26.3729876804,19.1539179104,9.8438515607,11.0346269818,11.0729423361,209.2619843119,239.0499200917,190.7739757798,183.4663105505,165.2545207339,184.3212405505,161.8993185321,199.9505983486,0,0.157564131,0.0847672608,0.0885725102,0.1242841303,0.0501495096,0.0788873259,0.0925915289
0.8,2.8077994156,2.8485794028,2.8048678807,2.8500635807,2.8440506606,2.8436504394,2.8282045679,2.8168441092,437.4675688073,459.5620091743,450.9832568807,461.3614036697,444.4824678899,454.0406880734,464.923146789,466.1458440367,1550.9730357973,224.7062240664,360.8964365256,372.4237012987,210.9349555452,36.9775521112,74.429672447,120.8093220339,112.742912496,14.4296441397,26.2313677016,26.3729876804,19.1539179104,10.0731118797,11.1628318584,10.361794216,209.2619843119,239.0499200917,190.7739757798,183.4663105505,165.2545207339,189.7299995413,171.4168793578,206.9051114679,0,0.157564131,0.0847672608,0.0885725102,0.1242841303,0.0785741188,0.0768456368,0.1015404967
0.9,2.8077994156,2.8485794028,2.8048678807,2.8500635807,2.8440506606,2.8355218193,2.8141091587,2.8141091587,437.4675688073,459.5620091743,450.9832568807,461.3614036697,444.4824678899,466.7009633028,465.2124587156,465.2124587156,1550.9730357973,224.7062240664,360.8964365256,372.4237012987,210.9349555452,38.5840813884,110.7640449438,110.9016853933,112.742912496,14.4296441397,26.2313677016,26.3729876804,19.1539179104,10.3613771466,10.2249925794,10.2249925794,209.2619843119,239.0499200917,190.7739757798,183.4663105505,165.2545207339,181.4039578899,193.7661468807,193.7661468807,0,0.157564131,0.0847672608,0.0885725102,0.1242841303,0.0723921619,0.0949368161,0.0949368161
