data rate/ client (kbps),Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM1_fct,dAQM2_fct,dAQM3_fct,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM1_th,dAQM2_th,dAQM3_th,Red_sj,Pie_sj,CoDel_sj,FqCoDel_sj,Cobalt_sj,dAQM1_sj,dAQM2_sj,dAQM3_sj,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM1_ql,dAQM2_ql,dAQM3_ql,Red_delay,Pie_delay,CoDel_delay,FqCoDel_delay,Cobalt_delay,dAQM1_delay,dAQM2_delay,dAQM3_delay,Red_plr,Pie_plr,CoDel_plr,FqCoDel_plr,Cobalt_plr,dAQM1_plr,dAQM2_plr,dAQM3_plr
5,1.9885144303,1.9895157807,1.9892608486,1.9888374651,1.9893522752,1.9889417697,1.9886564761,1.9886564761,34.4760761468,32.5577651376,32.894140367,43.6526651376,29.3930082569,40.0135844037,32.4213963303,32.4213963303,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4.726189633,4.7969151376,5.1252802752,4.1295098165,5.6311961468,4.726910367,5.0307322018,5.0307322018,0,0,0,0,0,0,0,0
10,2.370420267,2.3701691679,2.3707471461,2.3701085202,2.3706386468,2.3708259569,2.3702744917,2.3702744917,24.3483440367,28.5107788991,24.6924804587,26.8256740367,21.8834480734,30.9806702752,26.0020431193,26.0020431193,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4.5071058716,3.7850241284,4.4161233945,4.4234142202,4.6757714679,3.7770180734,4.1200613761,4.1200613761,0,0,0,0,0,0,0,0
20,2.5888624486,2.5902612202,2.5896175413,2.5884510734,2.589023055,2.5896454312,2.5891651642,2.5891651642,25.2677752294,21.306106422,24.1285110092,28.3018981651,26.2226972477,25.0156807339,29.2633220183,29.2633220183,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3.7865913761,3.8602915596,3.5852513761,3.2592522936,3.4351646789,3.6288214679,3.3827806422,3.3827806422,0,0,0,0,0,0,0,0
50,2.7301273169,2.7308960508,2.7304709404,2.7292685371,2.7293899128,2.7304030688,2.7304759862,2.7304759862,42.6411422018,32.1499302752,31.4720247706,38.3112165138,31.2547697248,32.3083853211,33.9042275229,33.9042275229,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2.7025545872,3.676517156,3.6579274312,2.9732788073,3.7379105505,3.5567143119,3.4708193578,3.4708193578,0,0,0,0,0,0,0,0
100,2.7743282084,2.7741873277,2.7740613277,2.7746559892,2.7736078415,2.7739457495,2.7746411174,2.7746411174,55.3233055046,57.3373577982,60.717440367,51.7166,58.4685119266,54.8299201835,52.2013862385,52.2013862385,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3.5589031193,3.4253797248,3.5254553211,4.1605433945,3.4975575229,3.6986661468,4.2172566972,4.2172566972,0,0,0,0,0,0,0,0
200,2.7971779789,2.7980317211,2.797747244,2.7979713541,2.7979184092,2.7973163083,2.7971088679,2.7971088679,95.954406422,99.6700431193,97.8369779817,100.6652,99.0303706422,97.8752449541,106.8472385321,106.8472385321,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,5.1816848624,4.4553290826,4.7887555046,4.4110547706,4.5318325688,4.7835677064,4.1512776147,4.1512776147,0,0,0,0,0,0,0,0
400,2.8090495716,2.8099751431,2.8109552349,2.8093423266,2.8099924183,2.8093870055,2.8097111037,2.8097111037,190.540412844,185.9566697248,185.1071834862,190.7781743119,185.218559633,188.0740642202,199.926266055,199.926266055,0,3,2,3,0,0,0,0,1.0002093802,1.0002093802,1.0002093802,1.0002093802,1.0002093802,1.0002093802,1.0002093802,1.0002093802,7.2468648624,7.4188406422,7.5775919266,7.1933137615,7.6446578899,7.2062748624,6.4664970642,6.4664970642,0,0,0,0,0,0,0,0
800,2.8129606202,2.8123240697,2.8110252073,2.8108918468,2.7591604367,2.8114894248,2.8123947128,2.8120404009,341.5926788991,343.467266055,341.3403211009,355.1703486239,332.047293578,343.3682568807,338.8253761468,343.1853853211,220,221.8608695652,290.8224299065,529.1681034483,213.0555555556,41.82,168.1538461538,77.9069767442,2.8180078784,2.9718513574,3.3971323775,5.2228889374,2.8796285128,2.3433303491,2.494900272,2.2664135775,39.2694292661,45.6348630275,44.6665754128,46.0813254128,35.6320431193,32.370299633,37.5495211009,45.651987156,0,0.0032330323,0.0036450688,0.0046215356,0.0160510621,0,0.009481432,0.0141317913
1200,2.8106235716,2.8292977826,2.8432424798,2.8353291037,2.8473624679,2.847219489,2.8600282688,2.8332088193,413.3280091743,420.3253853211,425.5735137615,422.4233394495,425.7258899083,422.1842752294,414.076,415.2359266055,1153.011820331,214.1032388664,294.746541904,271.2576711251,119.9857635893,173.5309701493,46.7490384615,50.3882783883,54.3366195063,9.2166636347,17.4916903728,16.7076192596,10.1554982166,13.2865866957,6.1424356965,5.7320773931,153.9441497248,155.07778,155.1765622936,145.6861768807,125.4474118349,157.5579953211,138.2022705505,138.5959347706,0,0.0710917283,0.0482507919,0.0448494567,0.0859959728,0.0121042829,0.0475509125,0.0531281951
1500,2.8513590358,2.8454206413,2.8298149936,2.8286842752,2.8449924761,2.8451702651,2.8504740211,2.8320391587,451.5104862385,457.0363486239,460.8808256881,460.7947981651,445.5964862385,455.6473119266,465.2737706422,461.0115963303,1453.1931196247,278.4354485777,282.1335139319,291.0881498224,192.5784148398,98.5683682771,57.2194092827,50.6827956989,105.5294675604,14.5368258596,22.4472148541,25.8419818027,18.8438844035,12.8104350543,10.8743130012,9.7480369745,229.9951014679,227.1182384404,199.5720468807,215.4604473394,161.8383849541,156.2432573394,176.7088413761,185.2333945872,0,0.1454128747,0.0813515326,0.0866070641,0.1309907032,0.0059673789,0.0771308315,0.1047844841
